compendium,before_leader,before_size,destination,destination_kind,after_size,member_count,example_members
Disease.txt,MONDO:0000088,17,(dropped),dropped,0,2,MEDDRA:10044701;MEDDRA:10058084
Disease.txt,MONDO:0000088,17,MONDO:0000088,kept,15,15,HP:0000826;MEDDRA:10000359;MEDDRA:10000360;MEDDRA:10014054;MEDDRA:10026944
Disease.txt,MONDO:0000127,8,(dropped),dropped,0,1,MEDDRA:10063361
Disease.txt,MONDO:0000127,8,MONDO:0000127,kept,7,7,DOID:0111724;MONDO:0000127;OMIM.PS:231050;SNOMEDCT:28557005;UMLS:C3489726
Disease.txt,MONDO:0000330,11,(dropped),dropped,0,1,MEDDRA:10028282
Disease.txt,MONDO:0000330,11,MONDO:0000330,kept,10,10,DOID:0050481;MEDDRA:10028281;MEDDRA:10039133;MESH:D014437;MONDO:0000330
Disease.txt,MONDO:0000645,8,(dropped),dropped,0,1,MEDDRA:10053865
Disease.txt,MONDO:0000645,8,MONDO:0000645,kept,7,7,DOID:0060111;MONDO:0000645;NCIT:C4517;SNOMEDCT:92100009;UMLS:C0346190
Disease.txt,MONDO:0000703,10,(dropped),dropped,0,1,MEDDRA:10048928
Disease.txt,MONDO:0000703,10,MONDO:0000703,kept,9,9,DOID:0060183;EFO:1001293;ICD10:K52.831;MESH:D046729;MONDO:0000703
Disease.txt,MONDO:0000704,11,(dropped),dropped,0,1,MEDDRA:10025268
Disease.txt,MONDO:0000704,11,MONDO:0000704,kept,10,10,DOID:0060184;EFO:1001294;ICD10:K52.832;MESH:D046730;MONDO:0000704
Disease.txt,MONDO:0000705,26,(dropped),dropped,0,1,MEDDRA:10009657
Disease.txt,MONDO:0000705,26,MONDO:0000705,kept,25,25,DOID:0060185;HP:0032168;ICD10:A04.7;MEDDRA:10006833;MEDDRA:10009899
Disease.txt,MONDO:0000709,14,(moved-to-other-compendium),moved,0,4,HP:0032564;MEDDRA:10021312;NCIT:C84782;UMLS:C0020877
Disease.txt,MONDO:0000709,14,MONDO:0000709,kept,10,10,DOID:0060189;MEDDRA:10011406;MEDDRA:10021314;MESH:D007079;MONDO:0000709
Disease.txt,MONDO:0000739,8,(dropped),dropped,0,1,MEDDRA:10051962
Disease.txt,MONDO:0000739,8,MONDO:0000739,kept,7,7,DOID:0060310;ICD10:K12.2;MONDO:0000739;NCIT:C128385;SNOMEDCT:300932000
Disease.txt,MONDO:0000740,11,(dropped),dropped,0,1,MEDDRA:10001229
Disease.txt,MONDO:0000740,11,MONDO:0000740,kept,10,10,DOID:0060311;HP:0040261;ICD10:J35.2;ICD9:474.12;MONDO:0000740
Disease.txt,MONDO:0000827,15,(dropped),dropped,0,1,MEDDRA:10039447
Disease.txt,MONDO:0000827,15,MONDO:0000827,kept,14,14,DOID:0060859;ICD10:A02.0;ICD9:003.0;MEDDRA:10039430;MEDDRA:10039436
Disease.txt,MONDO:0000845,13,(dropped),dropped,0,1,MEDDRA:10016664
Disease.txt,MONDO:0000845,13,MONDO:0000845,kept,12,12,DOID:0080031;HP:0010734;MESH:D005357;MONDO:0000845;NCIT:C34609
Disease.txt,MONDO:0000889,17,MONDO:0000889,kept,14,14,DOID:0080179;EFO:1000955;ICD10:G00.0;ICD9:320.0;MEDDRA:10018955
Disease.txt,MONDO:0000889,17,UMLS:C0276028,regrouped,3,3,MEDDRA:10018953;MEDDRA:10060626;UMLS:C0276028
Disease.txt,MONDO:0001347,11,(dropped),dropped,0,1,MEDDRA:10064087
Disease.txt,MONDO:0001347,11,MONDO:0001347,kept,10,10,DOID:11727;ICD10:G71.02;MESH:D020391;MONDO:0001347;NCIT:C84704
Disease.txt,MONDO:0001444,13,(dropped),dropped,0,1,MEDDRA:10001935
Disease.txt,MONDO:0001444,13,MONDO:0001444,kept,12,12,DOID:12140;ICD10:B57;KEGG.DISEASE:05142;MEDDRA:10008384;MEDDRA:10044706
Disease.txt,MONDO:0001561,21,MONDO:0001561,kept,16,16,DOID:12639;DOID:3122;EFO:0009626;HP:0002021;ICD10:K31.1
Disease.txt,MONDO:0001561,21,UMLS:C0162651,regrouped,5,5,MEDDRA:10029968;MEDDRA:10062499;SNOMEDCT:244815007;UMLS:C0162651;UMLS:C1541124
Disease.txt,MONDO:0001569,13,(dropped),dropped,0,1,MEDDRA:10000523
Disease.txt,MONDO:0001569,13,MONDO:0001569,kept,12,12,DOID:12689;HP:0009588;MEDDRA:10000522;MEDDRA:10048925;MEDDRA:10083886
Disease.txt,MONDO:0001586,9,(dropped),dropped,0,1,MEDDRA:10056886
Disease.txt,MONDO:0001586,9,MONDO:0001586,kept,8,8,DOID:12802;MESH:D008059;MONDO:0001586;NCIT:C85053;SNOMEDCT:75610003
