dropped_curie,dropped_label,dropped_from_clique_leader,clique_leader_label
MEDDRA:10044701,,MONDO:0000088,precocious puberty
MEDDRA:10058084,,MONDO:0000088,precocious puberty
MEDDRA:10063361,,MONDO:0000127,geleophysic dysplasia
MEDDRA:10028282,,MONDO:0000330,endemic typhus
MEDDRA:10053865,,MONDO:0000645,fallopian tube benign neoplasm
MEDDRA:10048928,,MONDO:0000703,collagenous colitis
MEDDRA:10025268,,MONDO:0000704,lymphocytic colitis
MEDDRA:10009657,,MONDO:0000705,Clostridium difficile colitis
MEDDRA:10051962,,MONDO:0000739,uvulitis
MEDDRA:10001229,,MONDO:0000740,adenoid hypertrophy
MEDDRA:10039447,,MONDO:0000827,salmonellosis
MEDDRA:10016664,,MONDO:0000845,fibrous dysplasia
MEDDRA:10064087,,MONDO:0001347,facioscapulohumeral muscular dystrophy
MEDDRA:10001935,,MONDO:0001444,Chagas disease
MEDDRA:10000523,,MONDO:0001569,acoustic neuroma
MEDDRA:10056886,,MONDO:0001586,mucopolysaccharidosis type 1
MEDDRA:10004056,,MONDO:0001882,bacteriuria
MEDDRA:10007196,,MONDO:0001956,capillary leak syndrome
MEDDRA:10016221,,MONDO:0001971,farmer's lung disease
MEDDRA:10065151,,MONDO:0001999,idiopathic pulmonary arterial hypertension
MEDDRA:10025552,,MONDO:0002142,undifferentiated pleomorphic sarcoma
MEDDRA:10070597,,MONDO:0002145,disorder of sexual differentiation
MEDDRA:10025915,,MONDO:0002158,fallopian tube cancer
MEDDRA:10061990,,MONDO:0002412,disorder of glycogen metabolism
MEDDRA:10018464,,MONDO:0002413,glycogen storage disease I
MEDDRA:10057936,,MONDO:0002441,Jervell and Lange-Nielsen syndrome
MEDDRA:10051456,,MONDO:0002457,Treacher-Collins syndrome
MEDDRA:10061227,,MONDO:0002525,inherited lipid metabolism disorder
MEDDRA:10029234,,MONDO:0002546,schwannoma
MEDDRA:10036685,,MONDO:0002571,primary central nervous system lymphoma
MEDDRA:10031291,,MONDO:0002629,bone osteosarcoma
MEDDRA:10051938,,MONDO:0002752,ovarian adenocarcinoma
MEDDRA:10031130,,MONDO:0004241,Osgood-Schlatter disease
MEDDRA:10020231,,MONDO:0004604,"Hodgkin's lymphoma, lymphocytic-histiocytic predominance"
MEDDRA:10054651,,MONDO:0004653,"atypical chronic myeloid leukemia, BCR-ABL1 negative"
MEDDRA:10035154,,MONDO:0004684,plantar fibromatosis
MEDDRA:10021076,,MONDO:0004933,hypoplastic left heart syndrome
MEDDRA:10008958,,MONDO:0004948,B-cell chronic lymphocytic leukemia
MEDDRA:10002026,,MONDO:0004976,amyotrophic lateral sclerosis
MEDDRA:10002449,,MONDO:0004977,angioimmunoblastic T-cell lymphoma
MEDDRA:10007636,,MONDO:0004994,cardiomyopathy
MEDDRA:10056370,,MONDO:0005021,dilated cardiomyopathy
MEDDRA:10015493,,MONDO:0005029,essential thrombocythemia
MEDDRA:10017709,,MONDO:0005033,ganglioneuroma
MEDDRA:10017708,,MONDO:0005035,ganglioneuroblastoma
MEDDRA:10020871,,MONDO:0005045,hypertrophic cardiomyopathy
MEDDRA:10023284,,MONDO:0005055,Kaposi's sarcoma
MEDDRA:10024189,,MONDO:0005058,leiomyosarcoma
MEDDRA:10024627,,MONDO:0005060,liposarcoma
MEDDRA:10029260,,MONDO:0005072,neuroblastoma
MEDDRA:10034738,,MONDO:0005077,pertussis
MEDDRA:10036485,,MONDO:0005081,preeclampsia
MEDDRA:10067946,,MONDO:0005086,renal cell carcinoma
MEDDRA:10061982,,MONDO:0005091,severe acute respiratory syndrome
MEDDRA:10042953,,MONDO:0005100,systemic sclerosis
MEDDRA:10047931,,MONDO:0005116,Whipple disease
MEDDRA:10024229,,MONDO:0005124,leprosy
MEDDRA:10025487,,MONDO:0005136,malaria
MEDDRA:10016632,,MONDO:0005164,fibrosarcoma
MEDDRA:10038748,,MONDO:0005201,restrictive cardiomyopathy
MEDDRA:10039497,,MONDO:0005210,uterine corpus sarcoma
MEDDRA:10039022,,MONDO:0005212,rhabdomyosarcoma
MEDDRA:10038269,,MONDO:0005272,myelodysplastic syndrome with single lineage dysplasia
MEDDRA:10064212,,MONDO:0005361,eosinophilic esophagitis
MEDDRA:10004661,,MONDO:0005388,primary biliary cholangitis
MEDDRA:10019137,,MONDO:0005388,primary biliary cholangitis
MEDDRA:10001461,,MONDO:0005459,human African trypanosomiasis
MEDDRA:10006041,,MONDO:0005498,botulism
MEDDRA:10012310,,MONDO:0005502,dengue disease
MEDDRA:10013023,,MONDO:0005504,diphtheria
MEDDRA:10067807,,MONDO:0005507,gingival cancer
MEDDRA:10056558,,MONDO:0005512,malignant peritoneal mesothelioma
MEDDRA:10043376,,MONDO:0005526,tetanus
MEDDRA:10062647,,MONDO:0005534,ileocolitis
MEDDRA:10036051,,MONDO:0005571,polycythemia
MEDDRA:10035484,,MONDO:0005615,plasmacytoma
MEDDRA:10069408,,MONDO:0005629,Acanthamoeba keratitis
MEDDRA:10002255,,MONDO:0005645,ancylostomiasis
MEDDRA:10003488,,MONDO:0005657,aspergillosis
MEDDRA:10003965,,MONDO:0005661,babesiosis
MEDDRA:10004080,,MONDO:0005662,balantidiasis
MEDDRA:10004941,,MONDO:0005668,bird fancier's lung
MEDDRA:10006500,,MONDO:0005683,brucellosis
MEDDRA:10007729,,MONDO:0005692,cat-scratch disease
MEDDRA:10009825,,MONDO:0005706,coccidioidomycosis
MEDDRA:10010022,,MONDO:0005708,Colorado tick fever
MEDDRA:10010439,,MONDO:0005711,congenital diaphragmatic hernia
MEDDRA:10010652,,MONDO:0005715,congenital toxoplasmosis
MEDDRA:10011490,,MONDO:0005724,cryptococcosis
MEDDRA:10014587,,MONDO:0005736,eastern equine encephalitis
MEDDRA:10014071,,MONDO:0005737,Ebola hemorrhagic fever
MEDDRA:10048251,,MONDO:0005744,yolk sac tumor
MEDDRA:10016675,,MONDO:0005761,filarial elephantiasis
MEDDRA:10048608,,MONDO:0005773,Gerstmann syndrome
MEDDRA:10020546,,MONDO:0005802,hymenolepiasis
MEDDRA:10066431,,MONDO:0005817,Kluver-Bucy syndrome
MEDDRA:10023927,,MONDO:0005820,Lassa fever
MEDDRA:10061266,,MONDO:0005823,legionellosis
MEDDRA:10024238,,MONDO:0005825,leptospirosis
MEDDRA:10024641,,MONDO:0005828,listeriosis
MEDDRA:10053982,,MONDO:0005846,microsporidiosis
MEDDRA:10049567,,MONDO:0005851,Miller Fisher syndrome
MEDDRA:10027754,,MONDO:0005854,mixed connective tissue disease
MEDDRA:10061906,,MONDO:0005894,paracoccidioidomycosis
MEDDRA:10039012,,MONDO:0005942,Reye syndrome
MEDDRA:10041736,,MONDO:0005968,sporotrichosis
MEDDRA:10041896,,MONDO:0005969,st. Louis encephalitis
MEDDRA:10042254,,MONDO:0005974,strongyloidiasis
MEDDRA:10062120,,MONDO:0005976,syphilis
MEDDRA:10048627,,MONDO:0005979,thoracic outlet syndrome
MEDDRA:10044269,,MONDO:0005988,toxocariasis
MEDDRA:10044582,,MONDO:0005991,trench fever
MEDDRA:10047847,,MONDO:0006015,Waterhouse-Friderichsen syndrome
MEDDRA:10020481,,MONDO:0006248,hydatidiform mole
MEDDRA:10064886,,MONDO:0006260,kidney medullary carcinoma
MEDDRA:10035079,,MONDO:0006373,pituitary gland adenoma
MEDDRA:10063397,,MONDO:0006412,sinus histiocytosis with massive lymphadenopathy
MEDDRA:10061031,,MONDO:0006451,thymic carcinoma
MEDDRA:10043670,,MONDO:0006456,thymoma
MEDDRA:10002240,,MONDO:0006468,thyroid gland undifferentiated (anaplastic) carcinoma
MEDDRA:10061252,,MONDO:0006486,uveal melanoma
MEDDRA:10019939,,MONDO:0006558,pemphigoid gestationis
MEDDRA:10036175,,MONDO:0006602,porokeratosis
MEDDRA:10042342,,MONDO:0006614,subcorneal pustular dermatosis
MEDDRA:10020853,,MONDO:0006624,overactive bladder
MEDDRA:10000347,,MONDO:0006633,acalculous cholecystitis
MEDDRA:10001388,,MONDO:0006639,adrenal cortex carcinoma
MEDDRA:10056245,,MONDO:0006641,afferent loop syndrome
MEDDRA:10001610,,MONDO:0006642,alcohol withdrawal delirium
MEDDRA:10001616,,MONDO:0006643,alcoholic cardiomyopathy
MEDDRA:10001618,,MONDO:0006644,alcoholic liver cirrhosis
MEDDRA:10068250,,MONDO:0006649,anterior ischemic optic neuropathy
MEDDRA:10002703,,MONDO:0006650,anterior spinal artery syndrome
MEDDRA:10002709,,MONDO:0006651,anterior uveitis
MEDDRA:10068109,,MONDO:0006652,anterolateral myocardial infarction
MEDDRA:10050363,,MONDO:0006653,anthracosilicosis
MEDDRA:10073051,,MONDO:0006654,anthracosis
MEDDRA:10057454,,MONDO:0006655,aortic valve prolapse
MEDDRA:10002921,,MONDO:0006656,aortitis
MEDDRA:10065418,,MONDO:0006659,arteriosclerosis obliterans
