compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,OMIM:600209,,biolink:Disease,3,(dropped),,dropped,,,0,1,"OMIM:600209 """""
Disease.txt,OMIM:133701,,biolink:Disease,2,(dropped),,dropped,,,0,1,"OMIM:133701 """""
Disease.txt,DOID:0080409,familial adenomatous polyposis 1,biolink:Disease,1,(dropped),,dropped,,,0,1,"DOID:0080409 ""familial adenomatous polyposis 1"""
Disease.txt,orphanet:321,Multiple osteochondromas,biolink:Disease,1,(dropped),,dropped,,,0,1,"orphanet:321 ""Multiple osteochondromas"""
Disease.txt,orphanet:733,Familial adenomatous polyposis,biolink:Disease,1,(dropped),,dropped,,,0,1,"orphanet:733 ""Familial adenomatous polyposis"""
PhenotypicFeature.txt,HP:0100503,Decreased circulating vitamin B1 concentration,biolink:PhenotypicFeature,5,MONDO:0006676,beriberi,moved,Disease.txt,biolink:Disease,19,5,"HP:0100503 ""Decreased circulating vitamin B1 concentration""; MEDDRA:10047601 """"; MESH:D013832 ""Thiamine Deficiency""; SNOMEDCT:399357009 """"; UMLS:C0039841 ""Thiamine Deficiency"""
Disease.txt,OMIM:600209,,biolink:Disease,3,HP:0002762,Multiple exostoses,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,10,2,"MESH:C563975 ""Exostoses, Multiple, Type III""; UMLS:C1838420 ""Exostoses, Multiple, Type III"""
Disease.txt,OMIM:133701,,biolink:Disease,2,HP:0002762,Multiple exostoses,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,10,1,"UMLS:C1851413 ""EXOSTOSES, MULTIPLE, TYPE II"""
Disease.txt,DOID:2512,nevoid basal cell carcinoma syndrome,biolink:Disease,10,DOID:0070365,nevoid basal cell carcinoma syndrome 1,regrouped,Disease.txt,biolink:Disease,13,10,"DOID:2512 ""nevoid basal cell carcinoma syndrome""; MEDDRA:10004151 """"; MEDDRA:10062804 """"; MEDDRA:10078877 """"; MEDDRA:10078878 """""
Disease.txt,DOID:3012,Li-Fraumeni syndrome,biolink:Disease,9,DOID:0111503,Li-Fraumeni syndrome 1,regrouped,Disease.txt,biolink:Disease,12,9,"DOID:3012 ""Li-Fraumeni syndrome""; MEDDRA:10066795 """"; MESH:C567189 ""Li-Fraumeni-Like Syndrome""; MESH:D016864 ""Li-Fraumeni Syndrome""; NCIT:C3476 ""Li-Fraumeni Syndrome"""
Disease.txt,MONDO:0008762,autosomal recessive Alport syndrome,biolink:Disease,9,MONDO:0957811,"Alport syndrome 3b, autosomal recessive",regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0051080 ""Alport syndrome 3B"""
Disease.txt,OMIM:145001,,biolink:Disease,9,MONDO:0001741,hyperparathyroidism,regrouped,Disease.txt,biolink:Disease,27,9,"MEDDRA:10090585 """"; MEDDRA:10090586 """"; MESH:C563273 ""Hyperparathyroidism 2""; MESH:C564165 ""Parathyroid Adenomatosis, Familial Cystic""; NCIT:C48287 ""Hyperparathyroidism-Jaw Tumor Syndrome"""
Disease.txt,OMIM:305000,,biolink:Disease,8,DOID:0070025,X-linked dyskeratosis congenita,regrouped,Disease.txt,biolink:Disease,9,8,"MESH:C536068 ""Hoyeraal Hreidarsson syndrome""; NCIT:C126352 ""X-Linked Dyskeratosis Congenita""; OMIM:305000 """"; SNOMEDCT:707276009 """"; SNOMEDCT:708536001 """""
Disease.txt,MONDO:0017117,congenital non-communicating hydrocephalus,biolink:Disease,6,MONDO:0009360,"hydrocephalus, nonsyndromic, autosomal recessive 1",regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0070682 ""congenital hydrocephalus 1"""
Disease.txt,MONDO:0034092,optic atrophy-ataxia-peripheral neuropathy-global developmental delay syndrome,biolink:Disease,6,MONDO:0971174,multiple mitochondrial dysfunctions syndrome 9b,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0070736 ""multiple mitochondrial dysfunctions syndrome 9B"""
Disease.txt,DOID:0080688,mosaic variegated aneuploidy syndrome,biolink:Disease,5,DOID:0080141,mosaic variegated aneuploidy syndrome 1,regrouped,Disease.txt,biolink:Disease,8,5,"DOID:0080688 ""mosaic variegated aneuploidy syndrome""; MESH:C536987 ""Mosaic variegated aneuploidy syndrome""; NCIT:C128192 ""Mosaic Variegated Aneuploidy Syndrome 1""; OMIM:257300 """"; UMLS:C1850343 ""Mosaic variegated aneuploidy syndrome 1"""
Disease.txt,MONDO:0971064,orofacial clefting-cardiac anomalies-facial dysmorphism syndrome,biolink:Disease,5,MONDO:0978295,craniofaciocardiohepatic syndrome,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0070791 ""craniofaciocardiohepatic syndrome"""
