compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,DOID:0040008,isoniazide allergy,biolink:Disease,1,DOID:0040008,isoniazide allergy,kept,Disease.txt,biolink:Disease,2,1,"DOID:0040008 ""isoniazide allergy"""
Disease.txt,DOID:0040010,mepivacaine allergy,biolink:Disease,1,DOID:0040010,mepivacaine allergy,kept,Disease.txt,biolink:Disease,2,1,"DOID:0040010 ""mepivacaine allergy"""
Disease.txt,DOID:0040057,benzoic acid allergic contact dermatitis,biolink:Disease,2,DOID:0040057,benzoic acid allergic contact dermatitis,kept,Disease.txt,biolink:Disease,3,2,"DOID:0040057 ""benzoic acid allergic contact dermatitis""; UMLS:C0571102 ""Benzoic acid allergy"""
Disease.txt,DOID:0040067,neomycin sulfate allergic contact dermatitis,biolink:Disease,2,DOID:0040067,neomycin sulfate allergic contact dermatitis,kept,Disease.txt,biolink:Disease,3,2,"DOID:0040067 ""neomycin sulfate allergic contact dermatitis""; UMLS:C1443961 """""
Disease.txt,DOID:0040070,co-trimoxazole allergy,biolink:Disease,2,DOID:0040070,co-trimoxazole allergy,kept,Disease.txt,biolink:Disease,3,2,"DOID:0040070 ""co-trimoxazole allergy""; UMLS:C0571504 ""Co-trimoxazole allergy"""
Disease.txt,DOID:0050430,multiple endocrine neoplasia type 2A,biolink:Disease,15,DOID:0050430,multiple endocrine neoplasia type 2A,kept,Disease.txt,biolink:Disease,18,15,"DOID:0050430 ""multiple endocrine neoplasia type 2A""; DOID:0050547 ""familial medullary thyroid carcinoma""; MEDDRA:10056427 """"; MEDDRA:10073148 """"; MEDDRA:10073153 """""
Disease.txt,DOID:0050693,Brooke-Spiegler syndrome,biolink:Disease,6,DOID:0050693,Brooke-Spiegler syndrome,kept,Disease.txt,biolink:Disease,7,6,"DOID:0050693 ""Brooke-Spiegler syndrome""; MEDDRA:10087912 """"; NCIT:C43352 ""Brooke-Spiegler Syndrome""; OMIM:605041 """"; SNOMEDCT:703531009 """""
Disease.txt,DOID:0050769,N syndrome,biolink:Disease,5,DOID:0050769,N syndrome,kept,Disease.txt,biolink:Disease,6,5,"DOID:0050769 ""N syndrome""; MESH:C536108 ""N syndrome""; OMIM:310465 """"; SNOMEDCT:723410002 """"; UMLS:C2936859 ""N syndrome"""
Disease.txt,DOID:0051078,congenital anomalies of the kidney and urinary tract 3,biolink:Disease,1,MONDO:0032646,congenital anomalies of kidney and urinary tract 3,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0051078 ""congenital anomalies of the kidney and urinary tract 3"""
Disease.txt,DOID:0051081,polycystic kidney disease 8,biolink:Disease,1,MONDO:0971178,polycystic kidney disease 8,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0051081 ""polycystic kidney disease 8"""
Disease.txt,DOID:0051083,developmental and epileptic encephalopathy 111,biolink:Disease,1,MONDO:0957780,developmental and epileptic encephalopathy 111,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0051083 ""developmental and epileptic encephalopathy 111"""
Disease.txt,DOID:0051084,developmental and epileptic encephalopathy 112,biolink:Disease,1,MONDO:0957812,developmental and epileptic encephalopathy 112,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0051084 ""developmental and epileptic encephalopathy 112"""
Disease.txt,DOID:0051085,developmental and epileptic encephalopathy 113,biolink:Disease,1,MONDO:0958330,developmental and epileptic encephalopathy 113,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0051085 ""developmental and epileptic encephalopathy 113"""
Disease.txt,DOID:0051086,developmental and epileptic encephalopathy 114,biolink:Disease,1,MONDO:0958331,developmental and epileptic encephalopathy 114,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0051086 ""developmental and epileptic encephalopathy 114"""
Disease.txt,DOID:0051087,developmental and epileptic encephalopathy 115,biolink:Disease,1,MONDO:0968946,developmental and epileptic encephalopathy 115,regrouped,Disease.txt,biolink:Disease,5,1,"DOID:0051087 ""developmental and epileptic encephalopathy 115"""
Disease.txt,DOID:0051088,developmental and epileptic encephalopathy 119,biolink:Disease,1,MONDO:1060177,developmental and epileptic encephalopathy 119,regrouped,Disease.txt,biolink:Disease,4,1,"DOID:0051088 ""developmental and epileptic encephalopathy 119"""
Disease.txt,DOID:0051089,developmental and epileptic encephalopathy 120,biolink:Disease,1,MONDO:0980948,developmental and epileptic encephalopathy 120,regrouped,Disease.txt,biolink:Disease,4,1,"DOID:0051089 ""developmental and epileptic encephalopathy 120"""
