target,target_label,target_prefix,subject_count,subject,subject_label
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0050564,autosomal dominant nonsyndromic deafness
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0050565,autosomal recessive nonsyndromic deafness
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0050566,X-linked nonsyndromic deafness
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0060690,autosomal dominant auditory neuropathy 1
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110462,autosomal recessive nonsyndromic deafness 101
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110463,autosomal recessive nonsyndromic deafness 102
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110464,autosomal recessive nonsyndromic deafness 103
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110465,autosomal recessive nonsyndromic deafness 104
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110467,autosomal recessive nonsyndromic deafness 12
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110468,autosomal recessive nonsyndromic deafness 13
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110469,autosomal recessive nonsyndromic deafness 14
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110470,autosomal recessive nonsyndromic deafness 15
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110471,autosomal recessive nonsyndromic deafness 16
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110472,autosomal recessive nonsyndromic deafness 17
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110473,autosomal recessive nonsyndromic deafness 18A
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110474,autosomal recessive nonsyndromic deafness 18B
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110475,autosomal recessive nonsyndromic deafness 1A
ICD10:H90.3,"Sensorineural hearing loss, bilateral",ICD10,134,DOID:0110476,autosomal recessive nonsyndromic deafness 1B
