target,target_label,target_prefix,subject_count,subject,subject_label
MESH:D008579,Meningioma,MESH,18,DOID:0080842,intracranial meningioma
MESH:D008579,Meningioma,MESH,18,DOID:1138,spinal meningioma
MESH:D008579,Meningioma,MESH,18,DOID:3565,meningioma
MESH:D008579,Meningioma,MESH,18,DOID:3772,intraventricular meningioma
MESH:D008579,Meningioma,MESH,18,DOID:4141,intraorbital meningioma
MESH:D008579,Meningioma,MESH,18,DOID:4210,clear cell meningioma
MESH:D008579,Meningioma,MESH,18,DOID:4211,posterior fossa meningioma
MESH:D008579,Meningioma,MESH,18,DOID:4587,benign meningioma
MESH:D008579,Meningioma,MESH,18,DOID:4588,secretory meningioma
MESH:D008579,Meningioma,MESH,18,DOID:4594,microcystic meningioma
MESH:D008579,Meningioma,MESH,18,DOID:6114,cerebral convexity meningioma
MESH:D008579,Meningioma,MESH,18,DOID:6548,angiomatous meningioma
MESH:D008579,Meningioma,MESH,18,DOID:6869,parasagittal meningioma
MESH:D008579,Meningioma,MESH,18,DOID:7210,psammomatous meningioma
MESH:D008579,Meningioma,MESH,18,DOID:7211,fibrous meningioma
MESH:D008579,Meningioma,MESH,18,DOID:7212,meningothelial meningioma
MESH:D008579,Meningioma,MESH,18,DOID:7213,transitional meningioma
MESH:D008579,Meningioma,MESH,18,DOID:8057,olfactory groove meningioma
MESH:D001254,Astrocytoma,MESH,9,DOID:3069,malignant astrocytoma
MESH:D001254,Astrocytoma,MESH,9,DOID:3078,anaplastic astrocytoma
MESH:D001254,Astrocytoma,MESH,9,DOID:4851,pilocytic astrocytoma
MESH:D001254,Astrocytoma,MESH,9,DOID:5077,subependymal giant cell astrocytoma
MESH:D001254,Astrocytoma,MESH,9,DOID:6726,fibrillary astrocytoma
MESH:D001254,Astrocytoma,MESH,9,DOID:6811,juvenile pilocytic astrocytoma
MESH:D001254,Astrocytoma,MESH,9,DOID:7005,gemistocytic astrocytoma
MESH:D001254,Astrocytoma,MESH,9,DOID:7007,childhood cerebral astrocytoma
MESH:D001254,Astrocytoma,MESH,9,DOID:7008,protoplasmic astrocytoma
ORDO:2440,,ORDO,7,DOID:0090020,split hand-foot malformation
ORDO:2440,,ORDO,7,DOID:0090021,split hand-foot malformation 1
ORDO:2440,,ORDO,7,DOID:0090022,split hand-foot malformation 5
ORDO:2440,,ORDO,7,DOID:0090023,split hand-foot malformation 4
ORDO:2440,,ORDO,7,DOID:0090025,split hand-foot malformation 3
ORDO:2440,,ORDO,7,DOID:0090026,split hand-foot malformation 6
ORDO:2440,,ORDO,7,DOID:0090027,split hand-foot malformation 2
ORDO:2542,,ORDO,7,DOID:0060835,isolated microphthalmia 6
ORDO:2542,,ORDO,7,DOID:0060836,isolated microphthalmia 4
ORDO:2542,,ORDO,7,DOID:0060838,isolated microphthalmia 7
ORDO:2542,,ORDO,7,DOID:0060839,isolated microphthalmia 2
ORDO:2542,,ORDO,7,DOID:0060840,isolated microphthalmia 1
ORDO:2542,,ORDO,7,DOID:0060841,isolated microphthalmia 8
ORDO:2542,,ORDO,7,DOID:0060842,syndromic microphthalmia 16
SNOMEDCT_US_2025_09_01:266218008,,SNOMEDCT_US_2025_09_01,7,DOID:0050133,superficial mycosis
SNOMEDCT_US_2025_09_01:266218008,,SNOMEDCT_US_2025_09_01,7,DOID:12711,black piedra
SNOMEDCT_US_2025_09_01:266218008,,SNOMEDCT_US_2025_09_01,7,DOID:13450,coccidioidomycosis
SNOMEDCT_US_2025_09_01:266218008,,SNOMEDCT_US_2025_09_01,7,DOID:13564,aspergillosis
SNOMEDCT_US_2025_09_01:266218008,,SNOMEDCT_US_2025_09_01,7,DOID:13902,white piedra
SNOMEDCT_US_2025_09_01:266218008,,SNOMEDCT_US_2025_09_01,7,DOID:14484,sporotrichosis
SNOMEDCT_US_2025_09_01:266218008,,SNOMEDCT_US_2025_09_01,7,DOID:1731,histoplasmosis
MESH:C574275,Ectrodactyly,MESH,6,DOID:0090020,split hand-foot malformation
MESH:C574275,Ectrodactyly,MESH,6,DOID:0090022,split hand-foot malformation 5
MESH:C574275,Ectrodactyly,MESH,6,DOID:0090023,split hand-foot malformation 4
MESH:C574275,Ectrodactyly,MESH,6,DOID:0090025,split hand-foot malformation 3
MESH:C574275,Ectrodactyly,MESH,6,DOID:0090026,split hand-foot malformation 6
MESH:C574275,Ectrodactyly,MESH,6,DOID:0090027,split hand-foot malformation 2
MESH:D002292,"Carcinoma, Renal Cell",MESH,6,DOID:4450,renal cell carcinoma
MESH:D002292,"Carcinoma, Renal Cell",MESH,6,DOID:4464,collecting duct carcinoma
MESH:D002292,"Carcinoma, Renal Cell",MESH,6,DOID:4465,papillary renal cell carcinoma
MESH:D002292,"Carcinoma, Renal Cell",MESH,6,DOID:4467,clear cell renal cell carcinoma
MESH:D002292,"Carcinoma, Renal Cell",MESH,6,DOID:4471,chromophobe renal cell carcinoma
MESH:D002292,"Carcinoma, Renal Cell",MESH,6,DOID:4473,sarcomatoid renal cell carcinoma
MESH:D003117,Color Vision Defects,MESH,6,DOID:11661,blue color blindness
MESH:D003117,Color Vision Defects,MESH,6,DOID:13399,color blindness
MESH:D003117,Color Vision Defects,MESH,6,DOID:13909,red-green color blindness
MESH:D003117,Color Vision Defects,MESH,6,DOID:13910,red color blindness
MESH:D003117,Color Vision Defects,MESH,6,DOID:13911,achromatopsia
