target,target_prefix,doid_subject_count,doid_subjects
ICD10:H90.3,ICD10,134,DOID:0050564|DOID:0050565|DOID:0050566|DOID:0060690|DOID:0110462|DOID:0110463|DOID:0110464|DOID:0110465|DOID:0110467|DOID:0110468|DOID:0110469|DOID:0110470|DOID:0110471|DOID:0110472|DOID:0110473|DOID:0110474|DOID:0110475|DOID:0110476|DOID:0110477|DOID:0110478|DOID:0110479|DOID:0110480|DOID:0110481|DOID:0110482|DOID:0110483|DOID:0110484|DOID:0110485|DOID:0110486|DOID:0110487|DOID:0110488|DOID:0110489|DOID:0110490|DOID:0110491|DOID:0110492|DOID:0110493|DOID:0110494|DOID:0110495|DOID:0110496|DOID:0110497|DOID:0110498|DOID:0110499|DOID:0110500|DOID:0110501|DOID:0110502|DOID:0110503|DOID:0110504|DOID:0110505|DOID:0110506|DOID:0110507|DOID:0110508|DOID:0110509|DOID:0110510|DOID:0110511|DOID:0110512|DOID:0110513|DOID:0110514|DOID:0110515|DOID:0110516|DOID:0110517|DOID:0110518|DOID:0110519|DOID:0110520|DOID:0110521|DOID:0110522|DOID:0110523|DOID:0110524|DOID:0110525|DOID:0110526|DOID:0110527|DOID:0110528|DOID:0110529|DOID:0110530|DOID:0110531|DOID:0110532|DOID:0110533|DOID:0110534|DOID:0110535|DOID:0110536|DOID:0110537|DOID:0110538|DOID:0110539|DOID:0110540|DOID:0110541|DOID:0110542|DOID:0110543|DOID:0110544|DOID:0110545|DOID:0110546|DOID:0110547|DOID:0110548|DOID:0110549|DOID:0110550|DOID:0110551|DOID:0110552|DOID:0110553|DOID:0110554|DOID:0110555|DOID:0110556|DOID:0110557|DOID:0110558|DOID:0110559|DOID:0110560|DOID:0110561|DOID:0110562|DOID:0110563|DOID:0110564|DOID:0110565|DOID:0110566|DOID:0110567|DOID:0110568|DOID:0110569|DOID:0110570|DOID:0110571|DOID:0110572|DOID:0110573|DOID:0110574|DOID:0110575|DOID:0110576|DOID:0110577|DOID:0110579|DOID:0110580|DOID:0110581|DOID:0110582|DOID:0110583|DOID:0110584|DOID:0110585|DOID:0110586|DOID:0110587|DOID:0110588|DOID:0110589|DOID:0110590|DOID:0110591|DOID:0110592|DOID:0110593
ICD10:H35.5,ICD10,107,DOID:0050572|DOID:0050661|DOID:0060745|DOID:0060746|DOID:0060863|DOID:0080350|DOID:0110005|DOID:0110016|DOID:0110078|DOID:0110079|DOID:0110080|DOID:0110118|DOID:0110188|DOID:0110189|DOID:0110215|DOID:0110216|DOID:0110217|DOID:0110291|DOID:0110329|DOID:0110330|DOID:0110331|DOID:0110332|DOID:0110333|DOID:0110352|DOID:0110353|DOID:0110354|DOID:0110355|DOID:0110356|DOID:0110357|DOID:0110358|DOID:0110359|DOID:0110360|DOID:0110361|DOID:0110362|DOID:0110363|DOID:0110364|DOID:0110365|DOID:0110366|DOID:0110367|DOID:0110368|DOID:0110369|DOID:0110370|DOID:0110371|DOID:0110372|DOID:0110373|DOID:0110374|DOID:0110375|DOID:0110376|DOID:0110377|DOID:0110378|DOID:0110379|DOID:0110380|DOID:0110381|DOID:0110382|DOID:0110383|DOID:0110384|DOID:0110385|DOID:0110386|DOID:0110387|DOID:0110388|DOID:0110389|DOID:0110390|DOID:0110391|DOID:0110392|DOID:0110393|DOID:0110394|DOID:0110395|DOID:0110396|DOID:0110397|DOID:0110398|DOID:0110399|DOID:0110400|DOID:0110401|DOID:0110402|DOID:0110403|DOID:0110404|DOID:0110405|DOID:0110406|DOID:0110407|DOID:0110408|DOID:0110409|DOID:0110410|DOID:0110411|DOID:0110412|DOID:0110413|DOID:0110414|DOID:0110415|DOID:0110416|DOID:0110417|DOID:0110418|DOID:0110419|DOID:0110420|DOID:0110421|DOID:0110422|DOID:0110830|DOID:0110831|DOID:0110832|DOID:0110833|DOID:0110834|DOID:0110835|DOID:0110837|DOID:0110838|DOID:0110839|DOID:0110840|DOID:0110841|DOID:0110842|DOID:8500
ICD10:G11.4,ICD10,60,DOID:0050886|DOID:0060245|DOID:0060491|DOID:0110763|DOID:0110764|DOID:0110765|DOID:0110766|DOID:0110767|DOID:0110768|DOID:0110769|DOID:0110770|DOID:0110771|DOID:0110772|DOID:0110773|DOID:0110774|DOID:0110775|DOID:0110776|DOID:0110777|DOID:0110778|DOID:0110779|DOID:0110780|DOID:0110781|DOID:0110782|DOID:0110783|DOID:0110785|DOID:0110786|DOID:0110787|DOID:0110788|DOID:0110789|DOID:0110790|DOID:0110791|DOID:0110792|DOID:0110793|DOID:0110794|DOID:0110795|DOID:0110796|DOID:0110797|DOID:0110798|DOID:0110800|DOID:0110801|DOID:0110805|DOID:0110806|DOID:0110807|DOID:0110808|DOID:0110809|DOID:0110810|DOID:0110811|DOID:0110812|DOID:0110813|DOID:0110814|DOID:0110815|DOID:0110816|DOID:0110817|DOID:0110818|DOID:0110820|DOID:0110822|DOID:0110823|DOID:0110824|DOID:0110825|DOID:2476
ICD10:G60.0,ICD10,58,DOID:0090003|DOID:0110148|DOID:0110149|DOID:0110150|DOID:0110151|DOID:0110152|DOID:0110153|DOID:0110154|DOID:0110155|DOID:0110156|DOID:0110157|DOID:0110158|DOID:0110159|DOID:0110160|DOID:0110161|DOID:0110163|DOID:0110164|DOID:0110165|DOID:0110166|DOID:0110167|DOID:0110168|DOID:0110169|DOID:0110170|DOID:0110173|DOID:0110174|DOID:0110175|DOID:0110177|DOID:0110179|DOID:0110182|DOID:0110183|DOID:0110184|DOID:0110185|DOID:0110186|DOID:0110187|DOID:0110190|DOID:0110191|DOID:0110192|DOID:0110193|DOID:0110194|DOID:0110195|DOID:0110196|DOID:0110197|DOID:0110198|DOID:0110199|DOID:0110200|DOID:0110202|DOID:0110203|DOID:0110204|DOID:0110205|DOID:0110206|DOID:0110207|DOID:0110208|DOID:0110209|DOID:0110210|DOID:0110211|DOID:0110212|DOID:10595|DOID:2477
ICD10:Q12.0,ICD10,44,DOID:0110227|DOID:0110228|DOID:0110229|DOID:0110230|DOID:0110231|DOID:0110232|DOID:0110233|DOID:0110234|DOID:0110235|DOID:0110236|DOID:0110237|DOID:0110238|DOID:0110239|DOID:0110240|DOID:0110241|DOID:0110242|DOID:0110243|DOID:0110245|DOID:0110246|DOID:0110248|DOID:0110249|DOID:0110250|DOID:0110251|DOID:0110252|DOID:0110253|DOID:0110254|DOID:0110255|DOID:0110256|DOID:0110257|DOID:0110258|DOID:0110259|DOID:0110260|DOID:0110261|DOID:0110262|DOID:0110263|DOID:0110264|DOID:0110265|DOID:0110266|DOID:0110267|DOID:0110268|DOID:0110269|DOID:0110270|DOID:0110271|DOID:0110272
ICD10:I42.0,ICD10,38,DOID:0110423|DOID:0110424|DOID:0110426|DOID:0110427|DOID:0110428|DOID:0110429|DOID:0110430|DOID:0110431|DOID:0110432|DOID:0110433|DOID:0110434|DOID:0110435|DOID:0110436|DOID:0110437|DOID:0110438|DOID:0110439|DOID:0110441|DOID:0110442|DOID:0110443|DOID:0110444|DOID:0110445|DOID:0110446|DOID:0110447|DOID:0110448|DOID:0110449|DOID:0110450|DOID:0110451|DOID:0110452|DOID:0110453|DOID:0110454|DOID:0110455|DOID:0110456|DOID:0110457|DOID:0110458|DOID:0110459|DOID:0110460|DOID:0110461|DOID:12930
ICD10:E23.0,ICD10,32,DOID:0060870|DOID:0060872|DOID:0060873|DOID:0060874|DOID:0060875|DOID:0090070|DOID:0090071|DOID:0090072|DOID:0090073|DOID:0090074|DOID:0090075|DOID:0090076|DOID:0090077|DOID:0090078|DOID:0090079|DOID:0090080|DOID:0090081|DOID:0090082|DOID:0090083|DOID:0090084|DOID:0090085|DOID:0090086|DOID:0090087|DOID:0090089|DOID:0090090|DOID:0090092|DOID:0090093|DOID:0090094|DOID:3614|DOID:9406|DOID:9410|DOID:9476
ICD10:Q34.8,ICD10,32,DOID:0110594|DOID:0110596|DOID:0110597|DOID:0110598|DOID:0110599|DOID:0110600|DOID:0110601|DOID:0110602|DOID:0110603|DOID:0110604|DOID:0110605|DOID:0110606|DOID:0110607|DOID:0110608|DOID:0110609|DOID:0110611|DOID:0110612|DOID:0110613|DOID:0110614|DOID:0110615|DOID:0110616|DOID:0110617|DOID:0110618|DOID:0110619|DOID:0110621|DOID:0110622|DOID:0110623|DOID:0110624|DOID:0110625|DOID:0110626|DOID:0110627|DOID:0110628
ICD10:G71.0,ICD10,31,DOID:0070247|DOID:0080092|DOID:0080094|DOID:0110273|DOID:0110274|DOID:0110275|DOID:0110276|DOID:0110277|DOID:0110278|DOID:0110279|DOID:0110280|DOID:0110281|DOID:0110282|DOID:0110283|DOID:0110284|DOID:0110285|DOID:0110287|DOID:0110289|DOID:0110292|DOID:0110293|DOID:0110294|DOID:0110295|DOID:0110296|DOID:0110297|DOID:0110298|DOID:0110299|DOID:0110303|DOID:0110304|DOID:0110305|DOID:0110306|DOID:9884
ICD10:E10,ICD10,21,DOID:0110741|DOID:0110742|DOID:0110743|DOID:0110744|DOID:0110745|DOID:0110746|DOID:0110747|DOID:0110749|DOID:0110750|DOID:0110751|DOID:0110752|DOID:0110753|DOID:0110754|DOID:0110755|DOID:0110756|DOID:0110757|DOID:0110758|DOID:0110759|DOID:0110760|DOID:0110761|DOID:9744
ICD10:Q87.8,ICD10,20,DOID:0050764|DOID:0050779|DOID:0060225|DOID:0060233|DOID:0060464|DOID:0060482|DOID:0060641|DOID:0060747|DOID:0060802|DOID:0060804|DOID:0060809|DOID:0060811|DOID:0060813|DOID:0060816|DOID:0060820|DOID:0060822|DOID:0060824|DOID:0060826|DOID:0060830|DOID:0110595
ICD10:Q87.89,ICD10,19,DOID:0110123|DOID:0110124|DOID:0110125|DOID:0110126|DOID:0110127|DOID:0110128|DOID:0110129|DOID:0110130|DOID:0110131|DOID:0110132|DOID:0110133|DOID:0110134|DOID:0110135|DOID:0110136|DOID:0110137|DOID:0110138|DOID:0110139|DOID:0110140|DOID:0110141
ICD10:Q93.5,ICD10,19,DOID:0060390|DOID:0060391|DOID:0060394|DOID:0060395|DOID:0060397|DOID:0060400|DOID:0060404|DOID:0060405|DOID:0060407|DOID:0060409|DOID:0060411|DOID:0060412|DOID:0060415|DOID:0060417|DOID:0060422|DOID:0060425|DOID:0060428|DOID:0060732|DOID:0060768
ICD10:K00.5,ICD10,18,DOID:0110052|DOID:0110053|DOID:0110054|DOID:0110055|DOID:0110056|DOID:0110057|DOID:0110058|DOID:0110059|DOID:0110060|DOID:0110061|DOID:0110062|DOID:0110063|DOID:0110064|DOID:0110065|DOID:0110066|DOID:2187|DOID:4154|DOID:701
ICD10:Q78.0,ICD10,18,DOID:0110335|DOID:0110336|DOID:0110337|DOID:0110338|DOID:0110339|DOID:0110340|DOID:0110341|DOID:0110342|DOID:0110343|DOID:0110344|DOID:0110345|DOID:0110346|DOID:0110347|DOID:0110348|DOID:0110349|DOID:0110350|DOID:0110351|DOID:12347
