drugbank_curie,label,biolink_type,unii,ncit,signal
DRUGBANK:DB10351,Cynodon dactylon pollen,biolink:ComplexMolecularMixture,175F461W10,NCIT:C85157,allergen-text
DRUGBANK:DB10357,Zea mays pollen,biolink:ComplexMolecularMixture,74PD8J616H,NCIT:C85205,allergen-text
DRUGBANK:DB10379,Dactylis glomerata pollen,biolink:ComplexMolecularMixture,83N78IDA7P,NCIT:C85158,allergen-text
DRUGBANK:DB10385,Ambrosia artemisiifolia pollen,biolink:ComplexMolecularMixture,9W34L2CQ9A,,allergen-text
DRUGBANK:DB10389,Lolium perenne pollen,biolink:ComplexMolecularMixture,4T81LB52R0,NCIT:C85282,allergen-text
DRUGBANK:DB10394,Phleum pratense pollen,biolink:ComplexMolecularMixture,0P46LFE4VC,NCIT:C72397,allergen-text
DRUGBANK:DB10403,Agrostis gigantea pollen,biolink:ComplexMolecularMixture,HU8V6E7HOA,NCIT:C85089,allergen-text
DRUGBANK:DB10417,Periplaneta americana,biolink:ComplexMolecularMixture,2RQ1L9N089,,allergen-text
DRUGBANK:DB10418,Blatella germanica,biolink:ComplexMolecularMixture,G9O67I0A8Q,NCIT:C87504,allergen-text
DRUGBANK:DB10419,Solenopsis invicta,biolink:ComplexMolecularMixture,5O7CR4P444,,allergen-text
DRUGBANK:DB10424,Alternaria alternata,biolink:ComplexMolecularMixture,52B29REC7H,NCIT:C87529,allergen-text
DRUGBANK:DB10441,Rhizopus arrhizus var. arrhizus,biolink:ComplexMolecularMixture,8476849N1Y,,allergen-text
DRUGBANK:DB10443,Ustilago maydis,biolink:ComplexMolecularMixture,4K7Z7K7SWG,NCIT:C87523,allergen-text
DRUGBANK:DB10451,Acacia,biolink:ComplexMolecularMixture,5C5403N26O,NCIT:C80123,allergen-text
DRUGBANK:DB10499,Felis catus hair,biolink:ComplexMolecularMixture,1564HD0N96,NCIT:C80294,allergen-text
DRUGBANK:DB10516,Casein,biolink:ComplexMolecularMixture,48268V50D5,NCIT:C73337,allergen-text
DRUGBANK:DB10531,Flounder,biolink:ComplexMolecularMixture,F8PTG78KRB,,allergen-text
DRUGBANK:DB10535,Karaya gum,biolink:ComplexMolecularMixture,73W9IQY50Q,NCIT:C83852,allergen-text
DRUGBANK:DB10541,Lobster,biolink:ComplexMolecularMixture,6T362S6JF6,,allergen-text
DRUGBANK:DB10544,Cultivated mushroom,biolink:ComplexMolecularMixture,54C8E6W6JY,NCIT:C71949,allergen-text
DRUGBANK:DB10576,Vanilla,biolink:ComplexMolecularMixture,Q74T35078H,NCIT:C84613,allergen-text
DRUGBANK:DB10580,Tea leaf,biolink:ComplexMolecularMixture,GH42T47V24,NCIT:C87164,allergen-text
DRUGBANK:DB10603,Meriones unguiculatus skin,biolink:ComplexMolecularMixture,9WN2H714TG,,allergen-text
DRUGBANK:DB10609,Bombyx mori fiber,biolink:ComplexMolecularMixture,6LK42KUV6W,NCIT:C79611,allergen-text
DRUGBANK:DB10611,Allergenic extract- beef liver,biolink:ComplexMolecularMixture,,,allergen-text
DRUGBANK:DB10622,European pilchard,biolink:ComplexMolecularMixture,76780GX08D,,allergen-text
DRUGBANK:DB10666,Arabica coffee bean,biolink:ComplexMolecularMixture,3SW678MX72,,allergen-text
DRUGBANK:DB10667,Tragacanth,biolink:ComplexMolecularMixture,2944357O2O,NCIT:C84223,allergen-text
DRUGBANK:DB10670,Laurus nobilis,biolink:ComplexMolecularMixture,WS0Y3M85RF,,allergen-text
DRUGBANK:DB10672,Clove,biolink:ComplexMolecularMixture,K48IKT5321,NCIT:C73872,allergen-text
DRUGBANK:DB10688,Musca domestica,biolink:ComplexMolecularMixture,PV7823W303,NCIT:C87500,allergen-text
DRUGBANK:DB10690,Ctenocephalides canis,biolink:ComplexMolecularMixture,LN7IM9RDEA,,allergen-text
DRUGBANK:DB10691,Aedes taeniorhynchus,biolink:ComplexMolecularMixture,BN2DNW66IQ,NCIT:C87499,allergen-text
DRUGBANK:DB10693,Ctenocephalides felis,biolink:ComplexMolecularMixture,5X9Y89ENI9,,allergen-text
DRUGBANK:DB10697,Curvularia inaequalis,biolink:ComplexMolecularMixture,W042YAB8JC,,allergen-text
DRUGBANK:DB10704,Ustilago avenae,biolink:ComplexMolecularMixture,YIH315U1TU,NCIT:C87521,allergen-text
DRUGBANK:DB10708,Flax seed,biolink:ComplexMolecularMixture,4110YT348C,NCIT:C26650,allergen-text
DRUGBANK:DB10812,Penicillium roqueforti,biolink:ComplexMolecularMixture,7ORP6R724L,,allergen-text
DRUGBANK:DB10819,Myrothecium verrucaria,biolink:ComplexMolecularMixture,8Z8C642TPL,,allergen-text
DRUGBANK:DB10845,Phycomyces blakesleeanus,biolink:ComplexMolecularMixture,41Y752Y34M,,allergen-text
DRUGBANK:DB10866,Acheta domesticus,biolink:ComplexMolecularMixture,P9S201X6LH,,allergen-text
DRUGBANK:DB10893,Melopsittacus undulatus feather,biolink:ComplexMolecularMixture,1XY644QKWG,,allergen-text
DRUGBANK:DB10905,Safflower,biolink:ComplexMolecularMixture,4VBL71TY4Y,,allergen-text
DRUGBANK:DB10964,Lolium perenne subsp. multiflorum pollen,biolink:ComplexMolecularMixture,VJI0WKK736,NCIT:C85390,allergen-text
DRUGBANK:DB10977,Cocoa,biolink:ComplexMolecularMixture,D9108TZ9KG,NCIT:C121851,allergen-text
DRUGBANK:DB10982,Sage,biolink:ComplexMolecularMixture,065C5D077J,NCIT:C71519,allergen-text
DRUGBANK:DB11026,Solenopsis richteri,biolink:ComplexMolecularMixture,739684T11W,,allergen-text
DRUGBANK:DB11087,Pyrethrum extract,biolink:ComplexMolecularMixture,ZUM06L90GV,,allergen-text
DRUGBANK:DB13904,Cat dander extract,biolink:ComplexMolecularMixture,ZDN2AC0L08,NCIT:C84494,allergen-text
DRUGBANK:DB14168,Sarocladium strictum,biolink:ComplexMolecularMixture,3F36V0451W,NCIT:C87527,allergen-text
DRUGBANK:DB14171,Penicillium glaucum,biolink:ComplexMolecularMixture,E3X33F517C,,allergen-text
DRUGBANK:DB14272,Rosemary,biolink:ComplexMolecularMixture,8JM482TI79,,allergen-text
DRUGBANK:DB14276,Turmeric,biolink:ComplexMolecularMixture,856YO1Z64F,,allergen-text
DRUGBANK:DB14312,Glycyrrhiza glabra,biolink:ComplexMolecularMixture,2788Z9758H,NCIT:C80295,allergen-text
DRUGBANK:DB14313,Lawsonia inermis leaf,biolink:ComplexMolecularMixture,E5818YZ355,NCIT:C72518,allergen-text
DRUGBANK:DB15542,Atlantic mackerel,biolink:ComplexMolecularMixture,HO615U86UJ,,allergen-text
DRUGBANK:DB19080,Freneslerbart,biolink:ComplexMolecularMixture,AL6PH7LX2Y,NCIT:C190340,allergen-text
