drugbank_curie,label,unii,unii_ncit
DRUGBANK:DB00028,Human immunoglobulin G,UNII:66Y330CJHS,NCIT:C80829
DRUGBANK:DB00076,Digoxin Immune Fab (Ovine),UNII:YB12NQZ1YN,NCIT:C80835
DRUGBANK:DB00098,Antithymocyte immunoglobulin (rabbit),UNII:D7RD81HE4W,NCIT:C80833
DRUGBANK:DB05276,Hepatitis B immune globulin,UNII:XII270YC6M,NCIT:C80827
DRUGBANK:DB06415,Calfactant,UNII:Q4K217VGA9,NCIT:C80989
DRUGBANK:DB06688,Sipuleucel-T,UNII:8Q622VDR18,NCIT:C1985
DRUGBANK:DB09057,Anthrax immune globulin human,UNII:VKZ83S945Z,
DRUGBANK:DB09100,"Thyroid, porcine",UNII:6RV024OAUQ,NCIT:C185191
DRUGBANK:DB09113,Poractant alfa,UNII:KE3U2023NP,NCIT:C81353
DRUGBANK:DB09312,Antilymphocyte immunoglobulin (horse),UNII:475247QF1Z,NCIT:C80824
DRUGBANK:DB09379,Sutilain,UNII:2PU6O23V1G,NCIT:C87679
DRUGBANK:DB09493,Technetium Tc-99m red blood cells,UNII:D8L75GM22O,NCIT:C90870
DRUGBANK:DB09876,Clostridium tetani,UNII:751E8J54VM,NCIT:C86298
DRUGBANK:DB09877,Corynebacterium diphtheriae,UNII:3U7E3O07S8,NCIT:C86312
DRUGBANK:DB10076,Haemophilus influenzae type B strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen,UNII:FLV5I5W26R,NCIT:C77710
DRUGBANK:DB10286,Streptococcus pneumoniae type 4 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:TGJ6YZC4W7,NCIT:C77788
DRUGBANK:DB10287,Streptococcus pneumoniae type 6B capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:4M543JVT7G,NCIT:C77791
DRUGBANK:DB10288,Streptococcus pneumoniae type 9V capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:5Q768OY0GI,NCIT:C77796
DRUGBANK:DB10289,Streptococcus pneumoniae type 14 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:SK54I0S386,NCIT:C77772
