drugbank_curie,label,unii,unii_ncit,organism_flags,current_ncit_retype
DRUGBANK:DB00028,Human immunoglobulin G,UNII:66Y330CJHS,NCIT:C80829,NCBI,
DRUGBANK:DB00076,Digoxin Immune Fab (Ovine),UNII:YB12NQZ1YN,NCIT:C80835,NCBI,
DRUGBANK:DB00098,Antithymocyte immunoglobulin (rabbit),UNII:D7RD81HE4W,NCIT:C80833,NCBI,
DRUGBANK:DB00965,Ethiodized oil,UNII:KZW0R0686Q,NCIT:C487,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB01323,St. John's Wort,UNII:UFH8805FKA,NCIT:C2589,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB01363,Ephedra sinica root,UNII:D0P20CT40D,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB01381,Ginkgo biloba,UNII:19FUJ2C58T,NCIT:C29072,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB01404,Ginseng,UNII:CUQ3A77YXI,NCIT:C69298,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB05051,BZL101,UNII:J52LXC6DTW,NCIT:C69134,NCBI|GRIN|MPNS,
DRUGBANK:DB05276,Hepatitis B immune globulin,UNII:XII270YC6M,NCIT:C80827,NCBI,
DRUGBANK:DB06415,Calfactant,UNII:Q4K217VGA9,NCIT:C80989,NCBI,
DRUGBANK:DB06688,Sipuleucel-T,UNII:8Q622VDR18,NCIT:C1985,NCBI,
DRUGBANK:DB09057,Anthrax immune globulin human,UNII:VKZ83S945Z,,NCBI,
DRUGBANK:DB09100,"Thyroid, porcine",UNII:6RV024OAUQ,NCIT:C185191,NCBI,
DRUGBANK:DB09113,Poractant alfa,UNII:KE3U2023NP,NCIT:C81353,NCBI,
DRUGBANK:DB09312,Antilymphocyte immunoglobulin (horse),UNII:475247QF1Z,NCIT:C80824,NCBI,
DRUGBANK:DB09363,Rauwolfia serpentina root,UNII:H192N84N1G,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB09379,Sutilain,UNII:2PU6O23V1G,NCIT:C87679,NCBI,
DRUGBANK:DB09422,Soybean oil,UNII:241ATL177A,NCIT:C838,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB09446,Safflower oil,UNII:65UEH262IS,NCIT:C820,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB09493,Technetium Tc-99m red blood cells,UNII:D8L75GM22O,NCIT:C90870,NCBI,
DRUGBANK:DB09567,Olive oil,UNII:6UYK2W1W1E,NCIT:C1175,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB09876,Clostridium tetani,UNII:751E8J54VM,NCIT:C86298,NCBI,
DRUGBANK:DB09877,Corynebacterium diphtheriae,UNII:3U7E3O07S8,NCIT:C86312,NCBI,
DRUGBANK:DB10076,Haemophilus influenzae type B strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen,UNII:FLV5I5W26R,NCIT:C77710,NCBI,
DRUGBANK:DB10286,Streptococcus pneumoniae type 4 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:TGJ6YZC4W7,NCIT:C77788,NCBI,
DRUGBANK:DB10287,Streptococcus pneumoniae type 6B capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:4M543JVT7G,NCIT:C77791,NCBI,
DRUGBANK:DB10288,Streptococcus pneumoniae type 9V capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:5Q768OY0GI,NCIT:C77796,NCBI,
DRUGBANK:DB10289,Streptococcus pneumoniae type 14 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:SK54I0S386,NCIT:C77772,NCBI,
DRUGBANK:DB10290,Streptococcus pneumoniae type 18C capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:XK87D9J012,NCIT:C77776,NCBI,
DRUGBANK:DB10291,Streptococcus pneumoniae type 19F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:2E1M7F958B,NCIT:C77779,NCBI,
DRUGBANK:DB10292,Streptococcus pneumoniae type 23F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:25N8E57V6T,NCIT:C77784,NCBI,
DRUGBANK:DB10293,Streptococcus pneumoniae type 1 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:54EC0SE5PZ,,NCBI,
DRUGBANK:DB10294,Streptococcus pneumoniae type 3 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:2VF3V7175U,,NCBI,
DRUGBANK:DB10295,Streptococcus pneumoniae type 5 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:5SKG37872O,,NCBI,
DRUGBANK:DB10297,Streptococcus pneumoniae type 7F capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:0K0S2P98ZJ,,NCBI,
DRUGBANK:DB10298,Streptococcus pneumoniae type 19A capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:B970MQT365,,NCBI,
DRUGBANK:DB10315,Measles virus vaccine live attenuated,UNII:MFZ8I7277D,NCIT:C77754,NCBI,
DRUGBANK:DB10316,Mumps virus strain B level jeryl lynn live antigen,UNII:47QB6MX9KU,NCIT:C77755,NCBI,
DRUGBANK:DB10317,Rubella virus vaccine,UNII:52202H034Z,NCIT:C77764,NCBI,
DRUGBANK:DB10318,Varicella zoster vaccine (live/attenuated),UNII:GPV39ZGD8C,NCIT:C77799,NCBI,
DRUGBANK:DB10320,Streptococcus pneumoniae type 2 capsular polysaccharide antigen,UNII:E11P4F3X4S,NCIT:C77780,NCBI,
DRUGBANK:DB10323,Streptococcus pneumoniae type 5 capsular polysaccharide antigen,UNII:N8R9GL539D,NCIT:C77789,NCBI,
DRUGBANK:DB10324,Streptococcus pneumoniae type 6b capsular polysaccharide antigen,UNII:57F7254B6Q,NCIT:C77790,NCBI,
DRUGBANK:DB10325,Streptococcus pneumoniae type 7f capsular polysaccharide antigen,UNII:X1K54R2P9I,NCIT:C77792,NCBI,
DRUGBANK:DB10326,Streptococcus pneumoniae type 8 capsular polysaccharide antigen,UNII:669818346F,NCIT:C77793,NCBI,
DRUGBANK:DB10327,Streptococcus pneumoniae type 9n capsular polysaccharide antigen,UNII:313LJP87ET,NCIT:C77794,NCBI,
DRUGBANK:DB10328,Streptococcus pneumoniae type 9v capsular polysaccharide antigen,UNII:DL82PE6ANE,NCIT:C77795,NCBI,
DRUGBANK:DB10335,Streptococcus pneumoniae type 18c capsular polysaccharide antigen,UNII:23036553F6,NCIT:C77775,NCBI,
DRUGBANK:DB10336,Streptococcus pneumoniae type 19f capsular polysaccharide antigen,UNII:5K0VU709JD,NCIT:C77778,NCBI,
DRUGBANK:DB10337,Streptococcus pneumoniae type 19a capsular polysaccharide antigen,UNII:9W2T4OSF98,NCIT:C77777,NCBI,
DRUGBANK:DB10338,Streptococcus pneumoniae type 20 capsular polysaccharide antigen,UNII:V3FC0DK9XS,NCIT:C77781,NCBI,
DRUGBANK:DB10339,Streptococcus pneumoniae type 22f capsular polysaccharide antigen,UNII:7NLV25LOSI,NCIT:C77782,NCBI,
DRUGBANK:DB10340,Streptococcus pneumoniae type 23f capsular polysaccharide antigen,UNII:PYD255827T,NCIT:C77783,NCBI,
DRUGBANK:DB10341,Streptococcus pneumoniae type 33f capsular polysaccharide antigen,UNII:2MGG3XW1L2,NCIT:C77786,NCBI,
DRUGBANK:DB10343,Bacillus calmette-guerin substrain tice live antigen,UNII:2XQ558L16Z,NCIT:C75774,NCBI,
DRUGBANK:DB10344,Ginger,UNII:C5529G5JPQ,NCIT:C66725,NCBI|PLANTS|GRIN|MPNS,biolink:Food
DRUGBANK:DB10346,Acacia longifolia pollen,UNII:24SO2J296O,NCIT:C85201,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10348,Fraxinus americana pollen,UNII:G684LX721Q,NCIT:C85167,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10349,Paspalum notatum pollen,UNII:V003SHB7VK,NCIT:C85293,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10350,Fagus grandifolia pollen,UNII:34X886W1H4,NCIT:C85165,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10351,Cynodon dactylon pollen,UNII:175F461W10,NCIT:C85157,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10352,Betula lenta pollen,UNII:JQ5HI5004M,NCIT:C85131,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10353,Poa annua pollen,UNII:7U437HHU5C,NCIT:C85319,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10354,Acer negundo pollen,UNII:P6K070AR8V,NCIT:C80312,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10355,Bromus inermis pollen,UNII:766QT72BK6,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10356,Xanthium strumarium pollen,UNII:2QOF601J1M,NCIT:C85388,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10357,Zea mays pollen,UNII:74PD8J616H,NCIT:C85205,NCBI|PLANTS|GRIN|MPNS,biolink:ComplexMolecularMixture
DRUGBANK:DB10359,Rumex acetosella pollen,UNII:N52MIQ81ZW,NCIT:C85352,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10360,Rumex crispus pollen,UNII:V825XJG64G,NCIT:C85354,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10361,Ulmus americana pollen,UNII:89BAT511BD,NCIT:C85382,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10362,Ulmus pumila pollen,UNII:030R993R8E,NCIT:C85385,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10363,Corylus americana pollen,UNII:ZGS382Y3AV,NCIT:C85156,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10364,Carya ovata pollen,UNII:54UN9R2798,NCIT:C85148,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10365,Sorghum halepense pollen,UNII:577VA5B4HP,NCIT:C85370,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10366,Poa pratensis pollen,UNII:SCB8J7LS3T,NCIT:C85321,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10368,Chenopodium album pollen,UNII:098LKX5NCN,NCIT:C85152,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10369,Acer saccharum pollen,UNII:V38QUQ7861,NCIT:C80315,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10370,Festuca pratensis pollen,UNII:A0WFQ8P6N1,NCIT:C85166,NCBI|PLANTS|GRIN,
DRUGBANK:DB10371,Prosopis juliflora pollen,UNII:6EIJ3D04MR,NCIT:C85332,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10372,Artemisia vulgaris pollen,UNII:ANT994T71D,NCIT:C85120,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10373,Morus rubra pollen,UNII:9LYI4RTZ52,NCIT:C85291,NCBI|PLANTS|GRIN|MPNS,
