drugbank_curie,label,unii,ncit,ncit_label,biolink_type,future_biolink_type,signal
DRUGBANK:DB00638,Inulin,UNII:JOS53KRJ01,NCIT:C61506,Inulin,biolink:Food,,ncit-food
DRUGBANK:DB00965,Ethiodized oil,UNII:KZW0R0686Q,NCIT:C487,Ethiodized Oil,biolink:Food,,botanical-flag
DRUGBANK:DB01323,St. John's Wort,UNII:UFH8805FKA,NCIT:C2589,St. John's Wort,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB01363,Ephedra sinica root,UNII:D0P20CT40D,,,biolink:Food,,botanical-flag
DRUGBANK:DB01381,Ginkgo biloba,UNII:19FUJ2C58T,NCIT:C29072,Ginkgo,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB01404,Ginseng,UNII:CUQ3A77YXI,NCIT:C69298,Asian Ginseng,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB05051,BZL101,UNII:J52LXC6DTW,NCIT:C69134,Apoptosis Inducer BZL101,biolink:Food,,botanical-flag
DRUGBANK:DB09341,"Dextrose, unspecified form",UNII:IY9XDZ35W2,NCIT:C2831,Glucose,biolink:Food,,ncit-food
DRUGBANK:DB09344,Invert sugar,UNII:ED959S6ACY,NCIT:C73853,Invert Sugar,biolink:Food,,ncit-food
DRUGBANK:DB09363,Rauwolfia serpentina root,UNII:H192N84N1G,,,biolink:Food,,botanical-flag
DRUGBANK:DB09422,Soybean oil,UNII:241ATL177A,NCIT:C838,Soybean Oil,biolink:Food,,ncit-food
DRUGBANK:DB09446,Safflower oil,UNII:65UEH262IS,NCIT:C820,Safflower Oil,biolink:Food,,ncit-food
DRUGBANK:DB09567,Olive oil,UNII:6UYK2W1W1E,NCIT:C1175,Olive Oil,biolink:Food,,ncit-food
DRUGBANK:DB10344,Ginger,UNII:C5529G5JPQ,NCIT:C66725,Ginger,biolink:Food,,ncit-food
DRUGBANK:DB10346,Acacia longifolia pollen,UNII:24SO2J296O,NCIT:C85201,Acacia longifolia Pollen,biolink:Food,,botanical-flag
DRUGBANK:DB10348,Fraxinus americana pollen,UNII:G684LX721Q,NCIT:C85167,Fraxinus americana Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10349,Paspalum notatum pollen,UNII:V003SHB7VK,NCIT:C85293,Paspalum notatum Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10350,Fagus grandifolia pollen,UNII:34X886W1H4,NCIT:C85165,Fagus grandifolia Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10351,Cynodon dactylon pollen,UNII:175F461W10,NCIT:C85157,Cynodon dactylon Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10352,Betula lenta pollen,UNII:JQ5HI5004M,NCIT:C85131,Betula lenta Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10353,Poa annua pollen,UNII:7U437HHU5C,NCIT:C85319,Poa annua Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10354,Acer negundo pollen,UNII:P6K070AR8V,NCIT:C80312,Acer negundo Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10355,Bromus inermis pollen,UNII:766QT72BK6,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10356,Xanthium strumarium pollen,UNII:2QOF601J1M,NCIT:C85388,Xanthium strumarium Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10357,Zea mays pollen,UNII:74PD8J616H,NCIT:C85205,Zea mays Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10359,Rumex acetosella pollen,UNII:N52MIQ81ZW,NCIT:C85352,Rumex acetosella Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB10360,Rumex crispus pollen,UNII:V825XJG64G,NCIT:C85354,Rumex crispus Pollen,biolink:Food,,botanical-flag
DRUGBANK:DB10361,Ulmus americana pollen,UNII:89BAT511BD,NCIT:C85382,Ulmus americana Pollen,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
