drugbank_curie,label,unii,unii_preferred_name,ncbitaxon,ncbitaxon_label,unii_ncit,unii_ncit_label,unii_ncit_parents,unii_ncit_semantic_types,has_extract_marker
DRUGBANK:DB00028,Human immunoglobulin G,UNII:66Y330CJHS,HUMAN IMMUNOGLOBULIN G,NCBITaxon:9606,Homo sapiens (human),NCIT:C80829,Human Immunoglobulin G,NCIT:C2701 (Therapeutic Immune Globulin),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB00076,Digoxin Immune Fab (Ovine),UNII:YB12NQZ1YN,OVINE DIGOXIN IMMUNE FAB,NCBITaxon:9940,Ovis aries (sheep),NCIT:C80835,Ovine Digoxin Immune Fab,NCIT:C307 (Biological Agent),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB00098,Antithymocyte immunoglobulin (rabbit),UNII:D7RD81HE4W,LAPINE T-LYMPHOCYTE IMMUNE GLOBULIN,NCBITaxon:9986,Oryctolagus cuniculus (rabbit),NCIT:C80833,Lapine T-Lymphocyte Immune Globulin,NCIT:C2701 (Therapeutic Immune Globulin)|NCIT:C278 (Anti-Thymocyte Globulin),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB05276,Hepatitis B immune globulin,UNII:XII270YC6M,HUMAN HEPATITIS B VIRUS IMMUNE GLOBULIN,NCBITaxon:9606,Homo sapiens (human),NCIT:C80827,Human Hepatitis B Virus Immune Globulin,NCIT:C2701 (Therapeutic Immune Globulin),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB06415,Calfactant,UNII:Q4K217VGA9,CALFACTANT,NCBITaxon:9913,Bos taurus (domestic cattle),NCIT:C80989,Calfactant,NCIT:C212865 (Therapeutic Lung Surfactant),T109=Organic Chemical|T121=Pharmacologic Substance|T200=Clinical Drug,True
DRUGBANK:DB06688,Sipuleucel-T,UNII:8Q622VDR18,SIPULEUCEL-T,NCBITaxon:9606,Homo sapiens (human),NCIT:C1985,Sipuleucel-T,NCIT:C129826 (Antineoplastic Immune Cell)|NCIT:C1987 (Dendritic Cell Tumor Peptide Vaccine),T121=Pharmacologic Substance|T129=Immunologic Factor,False
DRUGBANK:DB09057,Anthrax immune globulin human,UNII:VKZ83S945Z,ANTHRAX IMMUNE GLOBULIN HUMAN,NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB09100,"Thyroid, porcine",UNII:6RV024OAUQ,THYROID,NCBITaxon:9823,Sus scrofa (pig),NCIT:C185191,"Thyroid, Porcine",NCIT:C1553 (Thyroid Agent)|NCIT:C29703 (Antilipidemic Agent),T109=Organic Chemical|T121=Pharmacologic Substance,True
DRUGBANK:DB09113,Poractant alfa,UNII:KE3U2023NP,PORACTANT ALFA,NCBITaxon:9823,Sus scrofa (pig),NCIT:C81353,Poractant Alfa,NCIT:C212865 (Therapeutic Lung Surfactant),T109=Organic Chemical|T121=Pharmacologic Substance,False
DRUGBANK:DB09312,Antilymphocyte immunoglobulin (horse),UNII:475247QF1Z,EQUINE THYMOCYTE IMMUNE GLOBULIN,NCBITaxon:9796,Equus caballus (horse),NCIT:C80824,Equine Thymocyte Immune Globulin,NCIT:C2701 (Therapeutic Immune Globulin)|NCIT:C278 (Anti-Thymocyte Globulin),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB09379,Sutilain,UNII:2PU6O23V1G,SUTILAINS,NCBITaxon:1423,Bacillus subtilis,NCIT:C87679,Sutilains,NCIT:C29726 (Enzyme Replacement or Supplement Agent),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T126=Enzyme",False
DRUGBANK:DB09493,Technetium Tc-99m red blood cells,UNII:D8L75GM22O,TECHNETIUM TC-99M RED BLOOD CELLS,NCBITaxon:9606,Homo sapiens (human),NCIT:C90870,Technetium Tc-99m Red Blood Cells,NCIT:C1512 (Immunoconjugate),"T130=Indicator, Reagent, or Diagnostic Aid",False
DRUGBANK:DB09876,Clostridium tetani,UNII:751E8J54VM,CLOSTRIDIUM TETANI,NCBITaxon:1513,Clostridium tetani,NCIT:C86298,Clostridium tetani,NCIT:C76275 (Clostridium),T007=Bacterium,False
DRUGBANK:DB09877,Corynebacterium diphtheriae,UNII:3U7E3O07S8,CORYNEBACTERIUM DIPHTHERIAE,NCBITaxon:1717,Corynebacterium diphtheriae,NCIT:C86312,Corynebacterium diphtheriae,NCIT:C76308 (Corynebacterium),T007=Bacterium,False
DRUGBANK:DB10076,Haemophilus influenzae type B strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen,UNII:FLV5I5W26R,HAEMOPHILUS INFLUENZAE TYPE B STRAIN 1482 CAPSULAR POLYSACCHARIDE TETANUS TOXOID CONJUGATE ANTIGEN,NCBITaxon:727,Haemophilus influenzae,NCIT:C77710,Haemophilus influenzae Type B Strain 1482 Capsular Polysaccharide Tetanus Toxoid Conjugate Antigen,NCIT:C75787 (Haemophilus Influenzae Type B Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10286,Streptococcus pneumoniae type 4 capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:TGJ6YZC4W7,STREPTOCOCCUS PNEUMONIAE TYPE 4 CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77788,Streptococcus pneumoniae Type 4 Capsular Polysaccharide Diphtheria CRM197 Protein Conjugate Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10287,Streptococcus pneumoniae type 6B capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:4M543JVT7G,STREPTOCOCCUS PNEUMONIAE TYPE 6B CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77791,Streptococcus pneumoniae Type 6B Capsular Polysaccharide Diphtheria CRM197 Protein Conjugate Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB10288,Streptococcus pneumoniae type 9V capsular polysaccharide diphtheria CRM197 protein conjugate antigen,UNII:5Q768OY0GI,STREPTOCOCCUS PNEUMONIAE TYPE 9V CAPSULAR POLYSACCHARIDE DIPHTHERIA CRM197 PROTEIN CONJUGATE ANTIGEN,NCBITaxon:1313,Streptococcus pneumoniae,NCIT:C77796,Streptococcus pneumoniae Type 9V Capsular Polysaccharide Diphtheria CRM197 Protein Conjugate Antigen,NCIT:C75821 (Streptococcus pneumoniae Antigen),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
