compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
AnatomicalEntity.txt,UBERON:0000044,dorsal root ganglion,biolink:AnatomicalEntity,10,EMAPA:16668,dorsal root ganglion,regrouped,AnatomicalEntity.txt,biolink:AnatomicalEntity,1,1,"EMAPA:16668 ""dorsal root ganglion"""
AnatomicalEntity.txt,UBERON:0000044,dorsal root ganglion,biolink:AnatomicalEntity,10,EMAPA:18372,tail dorsal root ganglion,regrouped,AnatomicalEntity.txt,biolink:AnatomicalEntity,1,1,"EMAPA:18372 ""tail dorsal root ganglion"""
AnatomicalEntity.txt,UBERON:0000044,dorsal root ganglion,biolink:AnatomicalEntity,10,UBERON:0000044,dorsal root ganglion,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,8,8,"EMAPA:16667 ""spinal ganglion""; FMA:5888 """"; FMA:70767 """"; MESH:D005727 """"; NCIT:C12462 ""Dorsal Root Ganglion"""
AnatomicalEntity.txt,UBERON:0000167,oral cavity,biolink:AnatomicalEntity,9,EMAPA:18399,oral region cavity,regrouped,AnatomicalEntity.txt,biolink:AnatomicalEntity,1,1,"EMAPA:18399 ""oral region cavity"""
AnatomicalEntity.txt,UBERON:0000167,oral cavity,biolink:AnatomicalEntity,9,UBERON:0000167,oral cavity,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,8,8,"EMAPA:17411 ""oral cavity""; FMA:20292 """"; MESH:D009055 """"; NCIT:C12421 ""Oral Cavity""; UBERON:0000167 ""oral cavity"""
AnatomicalEntity.txt,UBERON:0001021,nerve,biolink:AnatomicalEntity,12,EMAPA:32815,peripheral nerve,regrouped,AnatomicalEntity.txt,biolink:AnatomicalEntity,1,1,"EMAPA:32815 ""peripheral nerve"""
AnatomicalEntity.txt,UBERON:0001021,nerve,biolink:AnatomicalEntity,12,UBERON:0001021,nerve,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,11,11,"EMAPA:32808 ""nerve""; FBbt:00005105 ""nerve""; FMA:65132 """"; FMA:65239 """"; MESH:D010525 """""
AnatomicalEntity.txt,UBERON:0001074,pericardial cavity,biolink:AnatomicalEntity,7,EMAPA:16132,pericardial cavity,regrouped,AnatomicalEntity.txt,biolink:AnatomicalEntity,1,1,"EMAPA:16132 ""pericardial cavity"""
AnatomicalEntity.txt,UBERON:0001074,pericardial cavity,biolink:AnatomicalEntity,7,UBERON:0001074,pericardial cavity,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,6,6,"EMAPA:16131 ""pericardial component""; FMA:11350 """"; NCIT:C38662 ""Pericardial Cavity""; UBERON:0001074 ""pericardial cavity""; UMLS:C0225972 ""Pericardial cavity"""
AnatomicalEntity.txt,UBERON:0001286,Bowman's space,biolink:AnatomicalEntity,8,UBERON:0001286,Bowman's space,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,7,7,"EMAPA:27985 ""urinary space of maturing renal corpuscle""; FMA:17676 """"; NCIT:C33840 ""Urinary Space""; UBERON:0001286 ""Bowman's space""; UMLS:C0227643 ""Structure of Bowman's space"""
AnatomicalEntity.txt,UBERON:0001286,Bowman's space,biolink:AnatomicalEntity,8,EMAPA:28263,urinary space of mature renal corpuscle,moved,GrossAnatomicalStructure.txt,biolink:GrossAnatomicalStructure,1,1,"EMAPA:28263 ""urinary space of mature renal corpuscle"""
AnatomicalEntity.txt,UBERON:0001876,amygdala,biolink:AnatomicalEntity,7,UBERON:0001876,amygdala,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,6,6,"EMAPA:32672 ""amygdala""; FMA:61841 """"; MESH:D000679 """"; NCIT:C12440 ""Amygdala""; UBERON:0001876 ""amygdala"""
AnatomicalEntity.txt,UBERON:0001876,amygdala,biolink:AnatomicalEntity,7,EMAPA:36051,amygdaloid nucleus,moved,GrossAnatomicalStructure.txt,biolink:GrossAnatomicalStructure,1,1,"EMAPA:36051 ""amygdaloid nucleus"""
AnatomicalEntity.txt,UBERON:0001887,internal capsule of telencephalon,biolink:AnatomicalEntity,7,UBERON:0001887,internal capsule of telencephalon,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,6,6,"EMAPA:18206 ""diencephalon internal capsule""; FMA:61950 """"; MESH:D020772 """"; NCIT:C13082 ""Internal Capsule""; UBERON:0001887 ""internal capsule of telencephalon"""
AnatomicalEntity.txt,UBERON:0001887,internal capsule of telencephalon,biolink:AnatomicalEntity,7,EMAPA:35437,cerebral internal capsule,moved,GrossAnatomicalStructure.txt,biolink:GrossAnatomicalStructure,1,1,"EMAPA:35437 ""cerebral internal capsule"""
AnatomicalEntity.txt,UBERON:0002192,ventricular system choroidal fissure,biolink:AnatomicalEntity,7,UBERON:0002192,ventricular system choroidal fissure,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,6,6,"EMAPA:17548 ""choroid invagination""; FMA:74512 """"; NCIT:C32311 ""Choroidal Fissure""; UBERON:0002192 ""ventricular system choroidal fissure""; UMLS:C0262212 ""Choroidal fissure"""
AnatomicalEntity.txt,UBERON:0002192,ventricular system choroidal fissure,biolink:AnatomicalEntity,7,EMAPA:17768,choroid fissure,moved,GrossAnatomicalStructure.txt,biolink:GrossAnatomicalStructure,1,1,"EMAPA:17768 ""choroid fissure"""
AnatomicalEntity.txt,UBERON:0002256,dorsal horn of spinal cord,biolink:AnatomicalEntity,9,EMAPA:35790,spinal cord dorsal horn,regrouped,AnatomicalEntity.txt,biolink:AnatomicalEntity,1,1,"EMAPA:35790 ""spinal cord dorsal horn"""
AnatomicalEntity.txt,UBERON:0002256,dorsal horn of spinal cord,biolink:AnatomicalEntity,9,UBERON:0002256,dorsal horn of spinal cord,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,8,8,"EMAPA:18574 ""dorsal grey horn""; FMA:256530 """"; MESH:D066148 """"; NCIT:C32473 ""Dorsal Horn of the Spinal Cord""; UBERON:0002256 ""dorsal horn of spinal cord"""
AnatomicalEntity.txt,UBERON:0002257,ventral horn of spinal cord,biolink:AnatomicalEntity,8,EMAPA:35794,spinal cord ventral horn,regrouped,AnatomicalEntity.txt,biolink:AnatomicalEntity,1,1,"EMAPA:35794 ""spinal cord ventral horn"""
AnatomicalEntity.txt,UBERON:0002257,ventral horn of spinal cord,biolink:AnatomicalEntity,8,UBERON:0002257,ventral horn of spinal cord,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,7,7,"EMAPA:18575 ""ventral grey horn""; FMA:256541 """"; NCIT:C33859 ""Ventral Horn of the Spinal Cord""; UBERON:0002257 ""ventral horn of spinal cord""; UMLS:C0228569 """""
AnatomicalEntity.txt,UBERON:0002263,lentiform nucleus,biolink:AnatomicalEntity,7,UBERON:0002263,lentiform nucleus,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,6,6,"EMAPA:18208 ""lentiform nucleus""; FMA:77615 """"; FMA:84037 """"; NCIT:C32977 ""Lenticular Nucleus""; UBERON:0002263 ""lentiform nucleus"""
AnatomicalEntity.txt,UBERON:0002263,lentiform nucleus,biolink:AnatomicalEntity,7,EMAPA:19147,lenticular nucleus,moved,GrossAnatomicalStructure.txt,biolink:GrossAnatomicalStructure,1,1,"EMAPA:19147 ""lenticular nucleus"""
AnatomicalEntity.txt,UBERON:0002402,pleural cavity,biolink:AnatomicalEntity,7,EMAPA:16774,pleural cavity,regrouped,AnatomicalEntity.txt,biolink:AnatomicalEntity,1,1,"EMAPA:16774 ""pleural cavity"""
AnatomicalEntity.txt,UBERON:0002402,pleural cavity,biolink:AnatomicalEntity,7,UBERON:0002402,pleural cavity,kept,AnatomicalEntity.txt,biolink:AnatomicalEntity,6,6,"EMAPA:16773 ""pleural component""; FMA:9740 """"; MESH:D035422 """"; NCIT:C12840 ""Pleural Cavity""; UBERON:0002402 ""pleural cavity"""
