semantic_type,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,equivalent_ids
anatomy,CL:0000166,chromaffin cell,biolink:Cell,expanded,promoted,EMAPA:18428,adrenal medulla,biolink:AnatomicalEntity,CL:0000166|UMLS:C0001629|UMLS:C0376604|NCIT:C12397|NCIT:C12554|MESH:D000313|MESH:D019439|UBERON:0001236|SNOMEDCT:38254008|AAO:0011010|EFO:0000852|EMAPA:18428|EV:0100137|FMA:15633|FMA:69263|GAID:451|MA:0000119|MAT:0000495|SCTID:362585001|VHOG:0001378|Wikipedia:Adrenal_medulla|XAO:0000166
anatomy,GO:0042600,egg chorion,biolink:CellularComponent,expanded,promoted,EMAPA:16112,chorion,biolink:AnatomicalEntity,GO:0042600|MESH:D002823|UMLS:C0008503|UMLS:C1516505|NCIT:C34122|NCIT:C34124|SNOMEDCT:74439004|UBERON:0003124|EFO:0002780|EHDAA2:0000245|EHDAA:150|EMAPA:16112|EV:0100121|FMA:305900|FMA:80224|GAID:1299|VHOG:0000200|Wikipedia:Chorion
anatomy,UBERON:0000002,uterine cervix,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:29927,cervix uteri,biolink:AnatomicalEntity,UBERON:0000002|UMLS:C0007874|MESH:D002584|NCIT:C12311|EFO:0000979|EMAPA:29927|EV:0100114|FMA:17740|GAID:376|MA:0000392|MAT:0000292|SCTID:181453009|SNOMEDCT:71252005|VHOG:0001359|Wikipedia:Cervix|galen:CervixUteri
anatomy,UBERON:0000003,naris,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:17847,naris,biolink:AnatomicalEntity,UBERON:0000003|AAO:0000311|EHDAA2:0001225|EHDAA:9083|EMAPA:17847|MA:0000282|SCTID:272650008|VHOG:0000663|galen:Naris
anatomy,UBERON:0000004,nose,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:16542,nose,biolink:AnatomicalEntity,UBERON:0000004|UMLS:C0028429|MESH:D009666|NCIT:C12756|NCIT:C27958|EHDAA2:0001274|EHDAA:1502|EMAPA:16542|EV:0100037|EV:0100370|FMA:46472|GAID:77|MA:0000281|MAT:0000139|MIAA:0000139|SCTID:181195007|SNOMEDCT:45206002|TAO:0000047|Wikipedia:Nose|ZFA:0000047|galen:Nose
anatomy,UBERON:0000006,islet of Langerhans,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:32927,islets of Langerhans,biolink:AnatomicalEntity,UBERON:0000006|UMLS:C0022131|MESH:D007515|NCIT:C12608|AAO:0010406|EFO:0000856|EMAPA:32927|EV:0100130|FMA:16016|FMA:76489|FMA:87192|GAID:324|MA:0000127|MAT:0000076|MIAA:0000076|SNOMEDCT:78696007|VHOG:0000646|XAO:0000159
anatomy,UBERON:0000007,pituitary gland,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35998,pituitary gland,biolink:AnatomicalEntity,UBERON:0000007|UMLS:C0032005|MESH:D010902|NCIT:C12399|AAO:0010536|BIRNLEX:1353|BM:Die-Hy-HY|DHBA:10505|EFO:0000857|EHDAA2:0001471|EHDAA:2183|EHDAA:4477|EMAPA:35998|EV:0100132|FMA:13889|GAID:457|HBA:4634|MA:0000176|MAT:0000077|MIAA:0000077|SCTID:181125003|SNOMEDCT:56329008|TAO:0000118|VHOG:0000143|Wikipedia:Pituitary_gland|XAO:0000017|ZFA:0000118|neuronames:399
anatomy,UBERON:0000010,peripheral nervous system,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:16665,peripheral nervous system,biolink:AnatomicalEntity,UBERON:0000010|UMLS:C0206417|UMLS:C1305921|MESH:D017933|NCIT:C12465|AAO:0000429|BILA:0000081|BIRNLEX:1111|EFO:0000891|EHDAA2:0001445|EHDAA:2893|EMAPA:16665|EV:0100335|FBbt:00005098|FMA:9903|GAID:715|MA:0000218|MAT:0000338|MIAA:0000338|SCTID:362292005|SNOMEDCT:3058005|SNOMEDCT:362292005|TAO:0000142|VHOG:0000399|Wikipedia:Peripheral_nervous_system|XAO:0000178|ZFA:0000142|neuronames:3232
anatomy,UBERON:0000011,parasympathetic nervous system,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:17270,parasympathetic nervous system,biolink:AnatomicalEntity,UBERON:0000011|UMLS:C0030510|UMLS:C1305770|MESH:D010275|NCIT:C12764|AAO:0010488|BIRNLEX:2517|EFO:0000894|EHDA:10096|EHDAA2:0001402|EHDAA:4655|EMAPA:17270|FMA:9907|GAID:708|MA:0000223|MAT:0000101|MIAA:0000101|SCTID:362496006|SNOMEDCT:23424009|SNOMEDCT:362496006|TAO:0001575|VHOG:0000755|Wikipedia:Parasympathetic_nervous_system|ZFA:0001575
anatomy,UBERON:0000013,sympathetic nervous system,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:16985,sympathetic nervous system,biolink:AnatomicalEntity,UBERON:0000013|UMLS:C0039044|UMLS:C1269646|MESH:D013564|NCIT:C12795|AAO:0010487|BIRNLEX:2516|EFO:0000893|EHDAA2:0001971|EHDAA:3769|EMAPA:16985|FMA:9906|GAID:710|MA:0000225|MIAA:0000100|SCTID:362484004|SNOMEDCT:362484004|SNOMEDCT:68365008|TAO:0001576|VHOG:0000384|Wikipedia:Sympathetic_nervous_system|ZFA:0001576
anatomy,UBERON:0000016,endocrine pancreas,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35305,endocrine pancreas,biolink:AnatomicalEntity,UBERON:0000016|NCIT:C32509|EFO:0002542|EMAPA:35305|EV:0100129|MA:0001582|SCTID:361339003|TAO:0001260|VHOG:0000049|ZFA:0001260
anatomy,UBERON:0000017,exocrine pancreas,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35328,exocrine pancreas,biolink:AnatomicalEntity,UBERON:0000017|UMLS:C0553695|MESH:D046790|NCIT:C32546|AAO:0010407|EMAPA:35328|EV:0100093|FMA:16017|MA:0002415|SCTID:248202004|SNOMEDCT:20023005|TAO:0001249|VHOG:0000048|Wikipedia:Exocrine_component_of_pancreas|XAO:0000137|ZFA:0001249
anatomy,UBERON:0000019,camera-type eye,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:16198,eye,biolink:AnatomicalEntity,UBERON:0000019|UMLS:C0015392|UMLS:C1280202|NCIT:C12401|AAO:0010340|BIRNLEX:1169|EHDAA2:0000484|EHDAA:936|EMAPA:16198|FMA:12513|MA:0000261|SCTID:181143004|SNOMEDCT:81745001|TAO:0000107|VHOG:0000275|XAO:0000179|ZFA:0000107
anatomy,UBERON:0000020,sense organ,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35955,sensory organ,biolink:AnatomicalEntity,UBERON:0000020|UMLS:C0036665|UMLS:C0935626|MESH:D012679|NCIT:C33224|AEO:0000094|BSA:0000121|EHDAA2:0001824|EHDAA:500|EMAPA:35955|FBbt:00005155|FMA:75259|FMA:7648|GAID:63|HAO:0000930|MA:0000017|SCTID:244485009|VHOG:0001407|WBbt:0006929
anatomy,UBERON:0000026,appendage,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:37283,appendage,biolink:AnatomicalEntity,UBERON:0000026|UMLS:C0598782|NCIT:C61460|AEO:0000193|BILA:0000018|CARO:0010003|EFO:0000799|EHDAA2:0003193|EMAPA:37283|EV:0100155|FBbt:00007000|HAO:0000144|MAT:0000023|MIAA:0000023|VSAO:0000075|Wikipedia:Appendage|XAO:0000218
