pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
anatomy,EMAPA:16032,first polar body,biolink:AnatomicalEntity,1,EMAPA:16032,true,false,
anatomy,EMAPA:16033,1-cell stage embryo,biolink:AnatomicalEntity,1,EMAPA:16033,true,false,
anatomy,EMAPA:16034,second polar body,biolink:AnatomicalEntity,1,EMAPA:16034,true,false,
anatomy,EMAPA:16040,compacted morula,biolink:AnatomicalEntity,1,EMAPA:16040,true,false,
anatomy,EMAPA:16043,extraembryonic cavity,biolink:AnatomicalEntity,1,EMAPA:16043,true,false,
anatomy,EMAPA:16060,body cavity or lining,biolink:AnatomicalEntity,1,EMAPA:16060,true,false,
anatomy,EMAPA:16061,proamniotic cavity embryonic part,biolink:AnatomicalEntity,1,EMAPA:16061,true,false,
anatomy,EMAPA:16064,proamniotic cavity extraembryonic part,biolink:AnatomicalEntity,1,EMAPA:16064,true,false,
anatomy,EMAPA:16066,primary trophoblast giant cell,biolink:AnatomicalEntity,1,EMAPA:16066,true,false,
anatomy,EMAPA:16071,embryo mesoderm,biolink:AnatomicalEntity,1,EMAPA:16071,true,false,
anatomy,EMAPA:16077,amniotic fold ectoderm,biolink:AnatomicalEntity,1,EMAPA:16077,true,false,
anatomy,EMAPA:16078,amniotic fold mesoderm,biolink:AnatomicalEntity,1,EMAPA:16078,true,false,
anatomy,EMAPA:16082,cavity within amniotic fold,biolink:AnatomicalEntity,1,EMAPA:16082,true,false,
anatomy,EMAPA:16095,future spinal cord neural plate,biolink:AnatomicalEntity,1,EMAPA:16095,true,false,
anatomy,EMAPA:16108,allantois mesoderm,biolink:AnatomicalEntity,1,EMAPA:16108,true,false,
anatomy,EMAPA:16116,primordial germ cell of yolk sac,biolink:AnatomicalEntity,1,EMAPA:16116,true,false,
anatomy,EMAPA:16120,1st branchial groove ectoderm,biolink:AnatomicalEntity,1,EMAPA:16120,true,false,
anatomy,EMAPA:16122,1st branchial membrane ectoderm,biolink:AnatomicalEntity,1,EMAPA:16122,true,false,
anatomy,EMAPA:16123,1st branchial membrane endoderm,biolink:AnatomicalEntity,1,EMAPA:16123,true,false,
anatomy,EMAPA:16126,1st branchial arch ectoderm,biolink:AnatomicalEntity,1,EMAPA:16126,true,false,
anatomy,EMAPA:16127,1st branchial arch endoderm,biolink:AnatomicalEntity,1,EMAPA:16127,true,false,
anatomy,EMAPA:16134,pericardio-peritoneal component,biolink:AnatomicalEntity,1,EMAPA:16134,true,false,
anatomy,EMAPA:16135,pericardio-peritoneal component cavity,biolink:AnatomicalEntity,1,EMAPA:16135,true,false,
anatomy,EMAPA:16136,pericardio-peritoneal component mesothelium,biolink:AnatomicalEntity,1,EMAPA:16136,true,false,
anatomy,EMAPA:16141,future midbrain floor plate,biolink:AnatomicalEntity,1,EMAPA:16141,true,false,
anatomy,EMAPA:16142,future midbrain neural fold,biolink:AnatomicalEntity,1,EMAPA:16142,true,false,
anatomy,EMAPA:16143,future midbrain neural crest,biolink:AnatomicalEntity,1,EMAPA:16143,true,false,
anatomy,EMAPA:16144,future prosencephalon,biolink:AnatomicalEntity,1,EMAPA:16144,true,false,
anatomy,EMAPA:16145,future prosencephalon floor plate,biolink:AnatomicalEntity,1,EMAPA:16145,true,false,
anatomy,EMAPA:16146,future prosencephalon neural fold,biolink:AnatomicalEntity,1,EMAPA:16146,true,false,
anatomy,EMAPA:16147,future prosencephalon neural crest,biolink:AnatomicalEntity,1,EMAPA:16147,true,false,
anatomy,EMAPA:16149,anterior pro-rhombomere,biolink:AnatomicalEntity,1,EMAPA:16149,true,false,
anatomy,EMAPA:16150,anterior pro-rhombomere floor plate,biolink:AnatomicalEntity,1,EMAPA:16150,true,false,
anatomy,EMAPA:16151,anterior pro-rhombomere neural fold,biolink:AnatomicalEntity,1,EMAPA:16151,true,false,
anatomy,EMAPA:16152,anterior pro-rhombomere neural crest,biolink:AnatomicalEntity,1,EMAPA:16152,true,false,
anatomy,EMAPA:16153,future hindbrain neural ectoderm,biolink:AnatomicalEntity,1,EMAPA:16153,true,false,
anatomy,EMAPA:16154,future hindbrain floor plate,biolink:AnatomicalEntity,1,EMAPA:16154,true,false,
anatomy,EMAPA:16155,future hindbrain neural fold,biolink:AnatomicalEntity,1,EMAPA:16155,true,false,
anatomy,EMAPA:16156,future hindbrain neural crest,biolink:AnatomicalEntity,1,EMAPA:16156,true,false,
anatomy,EMAPA:16157,posterior pro-rhombomere,biolink:AnatomicalEntity,1,EMAPA:16157,true,false,
anatomy,EMAPA:16158,posterior pro-rhombomere floor plate,biolink:AnatomicalEntity,1,EMAPA:16158,true,false,
anatomy,EMAPA:16159,posterior pro-rhombomere neural fold,biolink:AnatomicalEntity,1,EMAPA:16159,true,false,
anatomy,EMAPA:16160,posterior pro-rhombomere neural crest,biolink:AnatomicalEntity,1,EMAPA:16160,true,false,
anatomy,EMAPA:16161,pre-otic sulcus,biolink:AnatomicalEntity,1,EMAPA:16161,true,false,
anatomy,EMAPA:16162,future spinal cord neural fold,biolink:AnatomicalEntity,1,EMAPA:16162,true,false,
anatomy,EMAPA:16173,somite 01,biolink:GrossAnatomicalStructure,1,EMAPA:16173,true,false,
anatomy,EMAPA:16174,somite 02,biolink:GrossAnatomicalStructure,1,EMAPA:16174,true,false,
anatomy,EMAPA:16175,somite 03,biolink:GrossAnatomicalStructure,1,EMAPA:16175,true,false,
anatomy,EMAPA:16176,somite 04,biolink:GrossAnatomicalStructure,1,EMAPA:16176,true,false,
anatomy,EMAPA:16185,somite 05,biolink:GrossAnatomicalStructure,1,EMAPA:16185,true,false,
anatomy,EMAPA:16186,somite 06,biolink:GrossAnatomicalStructure,1,EMAPA:16186,true,false,
anatomy,EMAPA:16187,somite 07,biolink:GrossAnatomicalStructure,1,EMAPA:16187,true,false,
anatomy,EMAPA:16188,somite 08,biolink:GrossAnatomicalStructure,1,EMAPA:16188,true,false,
