semantic_type,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids
anatomy,EMAPA:16032,first polar body,biolink:AnatomicalEntity,1,EMAPA:16032
anatomy,EMAPA:16033,1-cell stage embryo,biolink:AnatomicalEntity,1,EMAPA:16033
anatomy,EMAPA:16034,second polar body,biolink:AnatomicalEntity,1,EMAPA:16034
anatomy,EMAPA:16040,compacted morula,biolink:AnatomicalEntity,1,EMAPA:16040
anatomy,EMAPA:16043,extraembryonic cavity,biolink:AnatomicalEntity,1,EMAPA:16043
anatomy,EMAPA:16056,intermediate endoderm,biolink:AnatomicalEntity,1,EMAPA:16056
anatomy,EMAPA:16060,body cavity or lining,biolink:AnatomicalEntity,1,EMAPA:16060
anatomy,EMAPA:16061,proamniotic cavity embryonic part,biolink:AnatomicalEntity,1,EMAPA:16061
anatomy,EMAPA:16064,proamniotic cavity extraembryonic part,biolink:AnatomicalEntity,1,EMAPA:16064
anatomy,EMAPA:16066,primary trophoblast giant cell,biolink:AnatomicalEntity,1,EMAPA:16066
anatomy,EMAPA:16071,embryo mesoderm,biolink:AnatomicalEntity,1,EMAPA:16071
anatomy,EMAPA:16077,amniotic fold ectoderm,biolink:AnatomicalEntity,1,EMAPA:16077
anatomy,EMAPA:16078,amniotic fold mesoderm,biolink:AnatomicalEntity,1,EMAPA:16078
anatomy,EMAPA:16082,cavity within amniotic fold,biolink:AnatomicalEntity,1,EMAPA:16082
anatomy,EMAPA:16095,future spinal cord neural plate,biolink:AnatomicalEntity,1,EMAPA:16095
anatomy,EMAPA:16108,allantois mesoderm,biolink:AnatomicalEntity,1,EMAPA:16108
anatomy,EMAPA:16114,chorion mesoderm,biolink:AnatomicalEntity,1,EMAPA:16114
anatomy,EMAPA:16116,primordial germ cell of yolk sac,biolink:AnatomicalEntity,1,EMAPA:16116
anatomy,EMAPA:16120,1st branchial groove ectoderm,biolink:AnatomicalEntity,1,EMAPA:16120
anatomy,EMAPA:16121,1st branchial membrane,biolink:AnatomicalEntity,1,EMAPA:16121
anatomy,EMAPA:16122,1st branchial membrane ectoderm,biolink:AnatomicalEntity,1,EMAPA:16122
anatomy,EMAPA:16123,1st branchial membrane endoderm,biolink:AnatomicalEntity,1,EMAPA:16123
anatomy,EMAPA:16124,1st branchial pouch,biolink:AnatomicalEntity,1,EMAPA:16124
anatomy,EMAPA:16126,1st branchial arch ectoderm,biolink:AnatomicalEntity,1,EMAPA:16126
anatomy,EMAPA:16127,1st branchial arch endoderm,biolink:AnatomicalEntity,1,EMAPA:16127
anatomy,EMAPA:16131,pericardial component,biolink:AnatomicalEntity,1,EMAPA:16131
anatomy,EMAPA:16134,pericardio-peritoneal component,biolink:AnatomicalEntity,1,EMAPA:16134
anatomy,EMAPA:16135,pericardio-peritoneal component cavity,biolink:AnatomicalEntity,1,EMAPA:16135
anatomy,EMAPA:16136,pericardio-peritoneal component mesothelium,biolink:AnatomicalEntity,1,EMAPA:16136
anatomy,EMAPA:16141,future midbrain floor plate,biolink:AnatomicalEntity,1,EMAPA:16141
anatomy,EMAPA:16142,future midbrain neural fold,biolink:AnatomicalEntity,1,EMAPA:16142
anatomy,EMAPA:16143,future midbrain neural crest,biolink:AnatomicalEntity,1,EMAPA:16143
anatomy,EMAPA:16144,future prosencephalon,biolink:AnatomicalEntity,1,EMAPA:16144
anatomy,EMAPA:16145,future prosencephalon floor plate,biolink:AnatomicalEntity,1,EMAPA:16145
anatomy,EMAPA:16146,future prosencephalon neural fold,biolink:AnatomicalEntity,1,EMAPA:16146
anatomy,EMAPA:16147,future prosencephalon neural crest,biolink:AnatomicalEntity,1,EMAPA:16147
anatomy,EMAPA:16149,anterior pro-rhombomere,biolink:AnatomicalEntity,1,EMAPA:16149
anatomy,EMAPA:16150,anterior pro-rhombomere floor plate,biolink:AnatomicalEntity,1,EMAPA:16150
anatomy,EMAPA:16151,anterior pro-rhombomere neural fold,biolink:AnatomicalEntity,1,EMAPA:16151
anatomy,EMAPA:16152,anterior pro-rhombomere neural crest,biolink:AnatomicalEntity,1,EMAPA:16152
anatomy,EMAPA:16153,future hindbrain neural ectoderm,biolink:AnatomicalEntity,1,EMAPA:16153
anatomy,EMAPA:16154,future hindbrain floor plate,biolink:AnatomicalEntity,1,EMAPA:16154
anatomy,EMAPA:16155,future hindbrain neural fold,biolink:AnatomicalEntity,1,EMAPA:16155
anatomy,EMAPA:16156,future hindbrain neural crest,biolink:AnatomicalEntity,1,EMAPA:16156
anatomy,EMAPA:16157,posterior pro-rhombomere,biolink:AnatomicalEntity,1,EMAPA:16157
anatomy,EMAPA:16158,posterior pro-rhombomere floor plate,biolink:AnatomicalEntity,1,EMAPA:16158
