semantic_type	subject	subject_label	predicate	object	object_label	asserted_by	status
anatomy	UBERON:0000002	uterine cervix	xref	EMAPA:29927	cervix uteri	UBERON	made_real
anatomy	UBERON:0000003	naris	xref	EMAPA:17847	naris	UBERON	made_real
anatomy	UBERON:0000004	nose	xref	EMAPA:16542	nose	UBERON	made_real
anatomy	UBERON:0000006	islet of Langerhans	xref	EMAPA:32927	islets of Langerhans	UBERON	made_real
anatomy	UBERON:0000007	pituitary gland	xref	EMAPA:35998	pituitary gland	UBERON	made_real
anatomy	UBERON:0000010	peripheral nervous system	xref	EMAPA:16665	peripheral nervous system	UBERON	made_real
anatomy	UBERON:0000011	parasympathetic nervous system	xref	EMAPA:17270	parasympathetic nervous system	UBERON	made_real
anatomy	UBERON:0000013	sympathetic nervous system	xref	EMAPA:16985	sympathetic nervous system	UBERON	made_real
anatomy	UBERON:0000016	endocrine pancreas	xref	EMAPA:35305	endocrine pancreas	UBERON	made_real
anatomy	UBERON:0000017	exocrine pancreas	xref	EMAPA:35328	exocrine pancreas	UBERON	made_real
anatomy	UBERON:0000019	camera-type eye	xref	EMAPA:16198	eye	UBERON	made_real
anatomy	UBERON:0000020	sense organ	xref	EMAPA:35955	sensory organ	UBERON	made_real
anatomy	UBERON:0000026	appendage	xref	EMAPA:37283	appendage	UBERON	made_real
anatomy	UBERON:0000029	lymph node	xref	EMAPA:35523	lymph node	UBERON	made_real
anatomy	UBERON:0000031	lamina propria of trachea	xref	EMAPA:35877	trachea lamina propria	UBERON	made_real
anatomy	UBERON:0000033	head	xref	EMAPA:31858	head	UBERON	made_real
anatomy	UBERON:0000035	primary ovarian follicle	xref	EMAPA:35631	ovary primary follicle	UBERON	made_real
anatomy	UBERON:0000036	secondary ovarian follicle	xref	EMAPA:35632	ovary secondary follicle	UBERON	made_real
anatomy	UBERON:0000037	tertiary ovarian follicle	xref	EMAPA:30763	ovary tertiary follicle	UBERON	made_real
anatomy	UBERON:0000039	follicular antrum	xref	EMAPA:37867	ovary follicular antrum	UBERON	made_real
anatomy	UBERON:0000043	tendon	xref	EMAPA:35854	tendon	UBERON	made_real
anatomy	UBERON:0000044	dorsal root ganglion	xref	EMAPA:16667	spinal ganglion	UBERON	made_real
anatomy	UBERON:0000044	dorsal root ganglion	xref	EMAPA:16668	dorsal root ganglion	UBERON	made_real
anatomy	UBERON:0000044	dorsal root ganglion	xref	EMAPA:18372	tail dorsal root ganglion	UBERON	made_real
anatomy	UBERON:0000045	ganglion	xref	EMAPA:32846	ganglion	UBERON	made_real
anatomy	UBERON:0000052	fornix of brain	xref	EMAPA:35352	fornix	UBERON	made_real
anatomy	UBERON:0000053	macula lutea	xref	EMAPA:36516	macula of retina	UBERON	made_real
anatomy	UBERON:0000056	ureter	xref	EMAPA:17950	ureter	UBERON	made_real
anatomy	UBERON:0000057	urethra	xref	EMAPA:30901	urethra	UBERON	made_real
anatomy	UBERON:0000059	large intestine	xref	EMAPA:19252	large intestine	UBERON	made_real
anatomy	UBERON:0000061	anatomical structure	xref	EMAPA:0	Anatomical structure	UBERON	made_real
anatomy	UBERON:0000062	organ	xref	EMAPA:35949	organ	UBERON	made_real
anatomy	UBERON:0000065	respiratory tract	xref	EMAPA:16737	respiratory tract	UBERON	made_real
anatomy	UBERON:0000076	external ectoderm	xref	EMAPA:16096	surface ectoderm	UBERON	made_real
anatomy	UBERON:0000079	male reproductive system	xref	EMAPA:17968	male reproductive system	UBERON	made_real
anatomy	UBERON:0000080	mesonephros	xref	EMAPA:16744	mesonephros	UBERON	made_real
