pipeline,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,would_be_added,needs_biolink_registration,biolink_registration_note,equivalent_ids
disease,DOID:0050465,Muir-Torre syndrome,biolink:Disease,expanded,preexisting,GARD:6821,Muir-Torré syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0050465|OMIM:158320|UMLS:C1321489|MESH:D055653|MEDDRA:10063042|NCIT:C84905|SNOMEDCT:403824007|GARD:6821|MIM:158320|SNOMEDCT_US_2025_09_01:403824007
disease,DOID:0050693,Brooke-Spiegler syndrome,biolink:Disease,expanded,preexisting,GARD:10179,Brooke-Spiegler syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0050693|OMIM:605041|UMLS:C1857941|MEDDRA:10087912|NCIT:C43352|SNOMEDCT:703531009|GARD:10179|MIM:605041|ORDO:79493|SNOMEDCT_US_2025_09_01:703531009
disease,DOID:0050769,N syndrome,biolink:Disease,expanded,preexisting,GARD:3902,N syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0050769|OMIM:310465|UMLS:C2936859|MESH:C536108|SNOMEDCT:723410002|GARD:3902|MIM:310465|ORDO:2608
disease,DOID:0070026,Revesz syndrome,biolink:Disease,expanded,preexisting,GARD:4695,Revesz syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0070026|GARD:4695|MIM:268130
disease,DOID:0070688,autosomal recessive congenital indifference to pain,biolink:Disease,expanded,preexisting,GARD:12267,"Channelopathy-associated congenital insensitivity to pain, autosomal recessive",biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0070688|UMLS:C5680180|SNOMEDCT:1279831004|GARD:12267|MIM:243000|ORDO:88642|SNOMEDCT_US_2025_09_01:1279831004
disease,DOID:0070735,auditory neuropathy and optic atrophy,biolink:Disease,expanded,preexisting,GARD:17983,Auditory neuropathy-optic atrophy syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0070735|GARD:17983|MIM:617717|ORDO:542585|SNOMEDCT_US_2026_03_01:1222649004
disease,DOID:0080533,Carney-Stratakis syndrome,biolink:Disease,expanded,preexisting,GARD:10643,Carney-Stratakis syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0080533|OMIM:606864|UMLS:C1847319|MESH:C564650|NCIT:C94831|SNOMEDCT:722377004|GARD:10643|MIM:606864|ORDO:97286
disease,DOID:0080688,mosaic variegated aneuploidy syndrome,biolink:Disease,expanded,preexisting,GARD:3007,Mosaic variegated aneuploidy syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0080688|OMIM:257300|UMLS:C1850343|MESH:C536987|NCIT:C128192|GARD:3007|MIM:PS257300|ORDO:1052
disease,DOID:0111252,vestibular schwannomatosis,biolink:Disease,expanded,preexisting,GARD:7193,"Neurofibromatosis, type 2",biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0111252|OMIM:101000|UMLS:C0027832|MESH:D016518|MEDDRA:10029271|NCIT:C3274|SNOMEDCT:92503002|ICD10:Q85.02|ICD9:237.72|GARD:7193|MIM:101000|ORDO:637|SNOMEDCT_US_2025_09_01:700060008
disease,DOID:0111511,melanoma and neural system tumor syndrome,biolink:Disease,expanded,preexisting,GARD:8468,Melanoma and neural system tumor syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0111511|OMIM:155755|UMLS:C1835042|MESH:C536149|NCIT:C176905|SNOMEDCT:717968005|GARD:8468|MIM:155755|ORDO:252206|SNOMEDCT_US_2025_09_01:717968005
disease,DOID:0111683,neurofibromatosis-Noonan syndrome,biolink:Disease,expanded,preexisting,GARD:372,Neurofibromatosis-Noonan syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0111683|OMIM:601321|UMLS:C2931482|MESH:C537393|SNOMEDCT:715344006|GARD:372|MIM:601321|ORDO:638|SNOMEDCT_US_2025_09_01:715344006
disease,DOID:0112133,severe congenital neutropenia 3,biolink:Disease,expanded,preexisting,GARD:302,Kostmann syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:0112133|GARD:302|MIM:610738|ORDO:99749
disease,DOID:14515,WAGR syndrome,biolink:Disease,expanded,preexisting,GARD:5528,11p partial monosomy syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:14515|OMIM:194072|UMLS:C0206115|MESH:D017624|MEDDRA:10091877|NCIT:C3718|SNOMEDCT:4135001|SNOMEDCT:715215007|GARD:5528|MIM:194072|SNOMEDCT_US_2025_09_01:715215007
disease,DOID:2512,nevoid basal cell carcinoma syndrome,biolink:Disease,expanded,preexisting,GARD:7166,Gorlin syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:2512|OMIM:109400|UMLS:C0004779|MESH:D001478|MEDDRA:10004151|MEDDRA:10062804|MEDDRA:10078877|MEDDRA:10078878|NCIT:C2892|SNOMEDCT:69408002|GARD:7166|MIM:PS109400|ORDO:377|SNOMEDCT_US_2025_09_01:69408002
disease,DOID:2729,dyskeratosis congenita,biolink:Disease,expanded,preexisting,GARD:10905,Dyskeratosis congenita,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:2729|UMLS:C0265965|MESH:D019871|MEDDRA:10062759|NCIT:C111802|SNOMEDCT:74911008|GARD:10905|MIM:PS127550|ORDO:1775|SNOMEDCT_US_2025_09_01:74911008
disease,DOID:3012,Li-Fraumeni syndrome,biolink:Disease,expanded,preexisting,GARD:6902,Li-Fraumeni syndrome,biolink:Disease,false,true,prefix GARD not in id_prefixes for biolink:Disease — register in the Biolink Model before Babel can emit this identifier,DOID:3012|OMIM:151623|UMLS:C0085390|UMLS:C2675080|MESH:C567189|MESH:D016864|MEDDRA:10066795|NCIT:C3476|SNOMEDCT:428850001|GARD:6902|MIM:PS151623|ORDO:524|SNOMEDCT_US_2025_09_01:428850001
