pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	DOID:0050012	chikungunya	xref	GARD:6038	Chikungunya fever	DOID	from_other_source
disease	DOID:0050026	human monocytic ehrlichiosis	xref	GARD:72	Human monocytic ehrlichiosis	DOID	from_other_source
disease	DOID:0050052	Rocky Mountain spotted fever	xref	GARD:7585	Rocky Mountain spotted fever	DOID	from_other_source
disease	DOID:0050083	Keshan disease	xref	GARD:8761	Keshan disease	DOID	from_other_source
disease	DOID:0050120	hemophagocytic lymphohistiocytosis	xref	GARD:6589	Familial hemophagocytic lymphohistiocytosis	DOID	from_other_source
disease	DOID:0050157	cryptogenic organizing pneumonia	xref	GARD:1620	Bronchiolitis obliterans organizing pneumonia	DOID	from_other_source
disease	DOID:0050167	autoimmune polyendocrine syndrome type 1	xref	GARD:8466	Polyglandular autoimmune syndrome, type 1	DOID	from_other_source
disease	DOID:0050168	autoimmune polyendocrine syndrome type 2	xref	GARD:7611	Polyglandular autoimmune syndrome, type 2	DOID	from_other_source
disease	DOID:0050169	cutaneous lupus erythematosus	xref	GARD:6225	Cutaneous lupus erythematosus	DOID	from_other_source
disease	DOID:0050175	tick-borne encephalitis	xref	GARD:5216	Tick-borne encephalitis	DOID	from_other_source
disease	DOID:0050202	Lujo hemorrhagic fever	xref	GARD:21410	Lujo hemorrhagic fever	DOID	from_other_source
disease	DOID:0050242	primary amebic meningoencephalitis	xref	GARD:9554	Primary amebic meningoencephalitis	DOID	from_other_source
disease	DOID:0050246	granulomatous amebic encephalitis	xref	GARD:12651	Granulomatous amebic encephalitis	DOID	from_other_source
disease	DOID:0050256	angiostrongyliasis	xref	GARD:683	Angiostrongyliasis	DOID	from_other_source
disease	DOID:0050266	tungiasis	xref	GARD:393	Tungiasis	DOID	from_other_source
disease	DOID:0050328	congenital hypothyroidism	xref	GARD:1487	Congenital hypothyroidism	DOID	from_other_source
disease	DOID:0050335	bradyopsia	xref	GARD:12299	Bradyopsia	DOID	from_other_source
disease	DOID:0050424	familial adenomatous polyposis	xref	GARD:6408	Familial multiple polyposis syndrome	DOID	from_other_source
disease	DOID:0050426	Stevens-Johnson syndrome	xref	GARD:7700	Stevens-Johnson syndrome	DOID	from_other_source
disease	DOID:0050427	xeroderma pigmentosum	xref	GARD:7910	Xeroderma pigmentosum	DOID	from_other_source
disease	DOID:0050429	Hailey-Hailey disease	xref	GARD:6559	Familial benign pemphigus	DOID	from_other_source
disease	DOID:0050433	fatal familial insomnia	xref	GARD:6429	Fatal familial insomnia	DOID	from_other_source
disease	DOID:0050434	Andersen-Tawil syndrome	xref	GARD:9453	Andersen Tawil syndrome	DOID	from_other_source
disease	DOID:0050436	mulibrey nanism	xref	GARD:95	Mulibrey nanism syndrome	DOID	from_other_source
disease	DOID:0050437	Danon disease	xref	GARD:9730	Danon disease	DOID	from_other_source
disease	DOID:0050438	Frasier syndrome	xref	GARD:2375	Frasier syndrome	DOID	from_other_source
disease	DOID:0050439	Usher syndrome	xref	GARD:7843	Usher syndrome	DOID	from_other_source
disease	DOID:0050440	familial partial lipodystrophy	xref	GARD:11962	Familial partial lipodystrophy	DOID	from_other_source
disease	DOID:0050445	X-linked hypophosphatemic rickets	xref	GARD:12943	Familial X-linked hypophosphatemic vitamin D refractory rickets	DOID	from_other_source
disease	DOID:0050448	white sponge nevus	xref	GARD:8501	White sponge nevus	DOID	from_other_source
disease	DOID:0050449	pachyonychia congenita	xref	GARD:10753	Pachyonychia congenita syndrome	DOID	from_other_source
disease	DOID:0050450	Gitelman syndrome	xref	GARD:8547	Familial hypokalemia-hypomagnesemia	DOID	from_other_source
disease	DOID:0050451	Brugada syndrome	xref	GARD:1030	Brugada syndrome	DOID	from_other_source
disease	DOID:0050452	mevalonic aciduria	xref	GARD:3588	Mevalonic aciduria	DOID	from_other_source
disease	DOID:0050453	lissencephaly	xref	GARD:12291	Lissencephaly	DOID	from_other_source
disease	DOID:0050456	Buruli ulcer disease	xref	GARD:9520	Buruli ulcer	DOID	from_other_source
disease	DOID:0050457	Sertoli cell-only syndrome	xref	GARD:8406	Congenital absence of germinal epithelium of testes	DOID	from_other_source
disease	DOID:0050458	juvenile myelomonocytic leukemia	xref	GARD:9884	Juvenile myelomonocytic leukemia	DOID	from_other_source
disease	DOID:0050460	Wolf-Hirschhorn syndrome	xref	GARD:7896	4p partial monosomy syndrome	DOID	from_other_source
disease	DOID:0050461	aspartylglucosaminuria	xref	GARD:5854	Aspartylglucosaminuria	DOID	from_other_source
disease	DOID:0050463	campomelic dysplasia	xref	GARD:10027	Camptomelic dysplasia	DOID	from_other_source
disease	DOID:0050464	Farber lipogranulomatosis	xref	GARD:6426	Farber lipogranulomatosis	DOID	from_other_source
disease	DOID:0050465	Muir-Torre syndrome	xref	GARD:6821	Muir-Torré syndrome	DOID	from_other_source
disease	DOID:0050466	Loeys-Dietz syndrome	xref	GARD:10788	Loeys-Dietz syndrome	DOID	from_other_source
disease	DOID:0050468	yellow nail syndrome	xref	GARD:184	Yellow nail syndrome	DOID	from_other_source
disease	DOID:0050469	Costello syndrome	xref	GARD:1550	Costello syndrome	DOID	from_other_source
disease	DOID:0050471	Carney complex	xref	GARD:1119	Carney complex	DOID	from_other_source
