compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,MONDO:0000088,precocious puberty,biolink:Disease,17,(dropped),,dropped,,,0,2,"MEDDRA:10044701 """"; MEDDRA:10058084 """""
Disease.txt,MONDO:0000088,precocious puberty,biolink:Disease,17,MONDO:0000088,precocious puberty,kept,Disease.txt,biolink:Disease,15,15,"HP:0000826 ""Precocious puberty""; MEDDRA:10000359 """"; MEDDRA:10000360 """"; MEDDRA:10014054 """"; MEDDRA:10026944 """""
Disease.txt,MONDO:0000127,geleophysic dysplasia,biolink:Disease,8,(dropped),,dropped,,,0,1,"MEDDRA:10063361 """""
Disease.txt,MONDO:0000127,geleophysic dysplasia,biolink:Disease,8,MONDO:0000127,geleophysic dysplasia,kept,Disease.txt,biolink:Disease,7,7,"DOID:0111724 ""geleophysic dysplasia""; MONDO:0000127 ""geleophysic dysplasia""; OMIM.PS:231050 """"; SNOMEDCT:28557005 """"; UMLS:C3489726 ""Geleophysic dysplasia"""
Disease.txt,MONDO:0000330,endemic typhus,biolink:Disease,11,(dropped),,dropped,,,0,1,"MEDDRA:10028282 """""
Disease.txt,MONDO:0000330,endemic typhus,biolink:Disease,11,MONDO:0000330,endemic typhus,kept,Disease.txt,biolink:Disease,10,10,"DOID:0050481 ""endemic typhus""; MEDDRA:10028281 """"; MEDDRA:10039133 """"; MESH:D014437 ""Typhus, Endemic Flea-Borne""; MONDO:0000330 ""endemic typhus"""
Disease.txt,MONDO:0000645,fallopian tube benign neoplasm,biolink:Disease,8,(dropped),,dropped,,,0,1,"MEDDRA:10053865 """""
Disease.txt,MONDO:0000645,fallopian tube benign neoplasm,biolink:Disease,8,MONDO:0000645,fallopian tube benign neoplasm,kept,Disease.txt,biolink:Disease,7,7,"DOID:0060111 ""fallopian tube benign neoplasm""; MONDO:0000645 ""fallopian tube benign neoplasm""; NCIT:C4517 ""Benign Fallopian Tube Neoplasm""; SNOMEDCT:92100009 """"; UMLS:C0346190 ""Benign neoplasm of fallopian tube"""
Disease.txt,MONDO:0000703,collagenous colitis,biolink:Disease,10,(dropped),,dropped,,,0,1,"MEDDRA:10048928 """""
Disease.txt,MONDO:0000703,collagenous colitis,biolink:Disease,10,MONDO:0000703,collagenous colitis,kept,Disease.txt,biolink:Disease,9,9,"DOID:0060183 ""collagenous colitis""; EFO:1001293 ""obsolete_collagenous colitis""; ICD10:K52.831 """"; MESH:D046729 ""Colitis, Collagenous""; MONDO:0000703 ""collagenous colitis"""
Disease.txt,MONDO:0000704,lymphocytic colitis,biolink:Disease,11,(dropped),,dropped,,,0,1,"MEDDRA:10025268 """""
Disease.txt,MONDO:0000704,lymphocytic colitis,biolink:Disease,11,MONDO:0000704,lymphocytic colitis,kept,Disease.txt,biolink:Disease,10,10,"DOID:0060184 ""lymphocytic colitis""; EFO:1001294 ""obsolete_lymphocytic colitis""; ICD10:K52.832 """"; MESH:D046730 ""Colitis, Lymphocytic""; MONDO:0000704 ""lymphocytic colitis"""
Disease.txt,MONDO:0000705,Clostridium difficile colitis,biolink:Disease,26,(dropped),,dropped,,,0,1,"MEDDRA:10009657 """""
Disease.txt,MONDO:0000705,Clostridium difficile colitis,biolink:Disease,26,MONDO:0000705,Clostridium difficile colitis,kept,Disease.txt,biolink:Disease,25,25,"DOID:0060185 ""Clostridium difficile colitis""; HP:0032168 ""Clostridium difficile colitis""; ICD10:A04.7 """"; MEDDRA:10006833 """"; MEDDRA:10009899 """""
Disease.txt,MONDO:0000709,Crohn ileitis,biolink:Disease,14,MONDO:0000709,Crohn ileitis,kept,Disease.txt,biolink:Disease,10,10,"DOID:0060189 ""ileitis""; MEDDRA:10011406 """"; MEDDRA:10021314 """"; MESH:D007079 ""Ileitis""; MONDO:0000709 ""Crohn ileitis"""
Disease.txt,MONDO:0000709,Crohn ileitis,biolink:Disease,14,HP:0032564,Ileitis,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,4,4,"HP:0032564 ""Ileitis""; MEDDRA:10021312 """"; NCIT:C84782 ""Ileitis""; UMLS:C0020877 ""Ileitis"""
Disease.txt,MONDO:0000739,uvulitis,biolink:Disease,8,(dropped),,dropped,,,0,1,"MEDDRA:10051962 """""
Disease.txt,MONDO:0000739,uvulitis,biolink:Disease,8,MONDO:0000739,uvulitis,kept,Disease.txt,biolink:Disease,7,7,"DOID:0060310 ""uvulitis""; ICD10:K12.2 """"; MONDO:0000739 ""uvulitis""; NCIT:C128385 ""Uvulitis""; SNOMEDCT:300932000 """""
Disease.txt,MONDO:0000740,adenoid hypertrophy,biolink:Disease,11,(dropped),,dropped,,,0,1,"MEDDRA:10001229 """""
Disease.txt,MONDO:0000740,adenoid hypertrophy,biolink:Disease,11,MONDO:0000740,adenoid hypertrophy,kept,Disease.txt,biolink:Disease,10,10,"DOID:0060311 ""adenoid hypertrophy""; HP:0040261 ""Increased size of nasopharyngeal adenoids""; ICD10:J35.2 """"; ICD9:474.12 """"; MONDO:0000740 ""adenoid hypertrophy"""
Disease.txt,MONDO:0000827,salmonellosis,biolink:Disease,15,(dropped),,dropped,,,0,1,"MEDDRA:10039447 """""
Disease.txt,MONDO:0000827,salmonellosis,biolink:Disease,15,MONDO:0000827,salmonellosis,kept,Disease.txt,biolink:Disease,14,14,"DOID:0060859 ""salmonellosis""; ICD10:A02.0 """"; ICD9:003.0 """"; MEDDRA:10039430 """"; MEDDRA:10039436 """""
Disease.txt,MONDO:0000845,fibrous dysplasia,biolink:Disease,13,(dropped),,dropped,,,0,1,"MEDDRA:10016664 """""
Disease.txt,MONDO:0000845,fibrous dysplasia,biolink:Disease,13,MONDO:0000845,fibrous dysplasia,kept,Disease.txt,biolink:Disease,12,12,"DOID:0080031 ""fibrous dysplasia""; HP:0010734 ""Fibrous dysplasia of the bones""; MESH:D005357 ""Fibrous Dysplasia of Bone""; MONDO:0000845 ""fibrous dysplasia""; NCIT:C34609 ""Fibrous Dysplasia"""
Disease.txt,MONDO:0000889,haemophilus meningitis,biolink:Disease,17,MONDO:0000889,haemophilus meningitis,kept,Disease.txt,biolink:Disease,14,14,"DOID:0080179 ""haemophilus meningitis""; EFO:1000955 ""obsolete_Haemophilus influenzae meningitis""; ICD10:G00.0 """"; ICD9:320.0 """"; MEDDRA:10018955 """""
Disease.txt,MONDO:0000889,haemophilus meningitis,biolink:Disease,17,UMLS:C0276028,Haemophilus influenzae meningitis,regrouped,Disease.txt,biolink:Disease,3,3,"MEDDRA:10018953 """"; MEDDRA:10060626 """"; UMLS:C0276028 ""Haemophilus influenzae meningitis"""
Disease.txt,MONDO:0001347,facioscapulohumeral muscular dystrophy,biolink:Disease,11,(dropped),,dropped,,,0,1,"MEDDRA:10064087 """""
Disease.txt,MONDO:0001347,facioscapulohumeral muscular dystrophy,biolink:Disease,11,MONDO:0001347,facioscapulohumeral muscular dystrophy,kept,Disease.txt,biolink:Disease,10,10,"DOID:11727 ""facioscapulohumeral muscular dystrophy""; ICD10:G71.02 """"; MESH:D020391 ""Muscular Dystrophy, Facioscapulohumeral""; MONDO:0001347 ""facioscapulohumeral muscular dystrophy""; NCIT:C84704 ""Facioscapulohumeral Muscular Dystrophy"""
Disease.txt,MONDO:0001444,Chagas disease,biolink:Disease,13,(dropped),,dropped,,,0,1,"MEDDRA:10001935 """""
Disease.txt,MONDO:0001444,Chagas disease,biolink:Disease,13,MONDO:0001444,Chagas disease,kept,Disease.txt,biolink:Disease,12,12,"DOID:12140 ""Chagas disease""; ICD10:B57 """"; KEGG.DISEASE:05142 """"; MEDDRA:10008384 """"; MEDDRA:10044706 """""
Disease.txt,MONDO:0001561,pyloric stenosis,biolink:Disease,20,MONDO:0001561,pyloric stenosis,kept,Disease.txt,biolink:Disease,15,15,"DOID:12639 ""pyloric stenosis""; DOID:3122 ""gastric outlet obstruction""; EFO:0009626 ""obsolete_pyloric stenosis""; HP:0002021 ""Pyloric stenosis""; ICD10:K31.1 """""
Disease.txt,MONDO:0001561,pyloric stenosis,biolink:Disease,20,UMLS:C0162651,Gastric outlet obstruction,regrouped,Disease.txt,biolink:Disease,5,5,"MEDDRA:10029968 """"; MEDDRA:10062499 """"; SNOMEDCT:244815007 """"; UMLS:C0162651 ""Gastric outlet obstruction""; UMLS:C1541124 ""Pyloric obstruction"""
Disease.txt,MONDO:0001569,acoustic neuroma,biolink:Disease,13,(dropped),,dropped,,,0,1,"MEDDRA:10000523 """""
Disease.txt,MONDO:0001569,acoustic neuroma,biolink:Disease,13,MONDO:0001569,acoustic neuroma,kept,Disease.txt,biolink:Disease,12,12,"DOID:12689 ""acoustic neuroma""; HP:0009588 ""Vestibular schwannoma""; MEDDRA:10000522 """"; MEDDRA:10048925 """"; MEDDRA:10083886 """""
Disease.txt,MONDO:0001586,mucopolysaccharidosis type 1,biolink:Disease,9,(dropped),,dropped,,,0,1,"MEDDRA:10056886 """""
Disease.txt,MONDO:0001586,mucopolysaccharidosis type 1,biolink:Disease,9,MONDO:0001586,mucopolysaccharidosis type 1,kept,Disease.txt,biolink:Disease,8,8,"DOID:12802 ""mucopolysaccharidosis I""; MESH:D008059 ""Mucopolysaccharidosis I""; MONDO:0001586 ""mucopolysaccharidosis type 1""; NCIT:C85053 ""Mucopolysaccharidosis Type I""; SNOMEDCT:75610003 """""
Disease.txt,MONDO:0001882,bacteriuria,biolink:Disease,9,(dropped),,dropped,,,0,1,"MEDDRA:10004056 """""
Disease.txt,MONDO:0001882,bacteriuria,biolink:Disease,9,MONDO:0001882,bacteriuria,kept,Disease.txt,biolink:Disease,8,8,"DOID:1412 ""bacteriuria""; HP:0012461 ""Bacteriuria""; ICD10:R82.71 """"; MESH:D001437 ""Bacteriuria""; MONDO:0001882 ""bacteriuria"""
Disease.txt,MONDO:0001956,capillary leak syndrome,biolink:Disease,14,(dropped),,dropped,,,0,1,"MEDDRA:10007196 """""
Disease.txt,MONDO:0001956,capillary leak syndrome,biolink:Disease,14,MONDO:0001956,capillary leak syndrome,kept,Disease.txt,biolink:Disease,13,13,"DOID:14400 ""capillary leak syndrome""; EFO:1001284 ""obsolete_capillary leak syndrome""; HP:0030005 ""Capillary leak""; MEDDRA:10068429 """"; MESH:D019559 ""Capillary Leak Syndrome"""
Disease.txt,MONDO:0001971,farmer's lung disease,biolink:Disease,12,(dropped),,dropped,,,0,1,"MEDDRA:10016221 """""
Disease.txt,MONDO:0001971,farmer's lung disease,biolink:Disease,12,MONDO:0001971,farmer's lung disease,kept,Disease.txt,biolink:Disease,11,11,"DOID:14453 ""farmer's lung""; ICD10:J67.0 """"; ICD9:495.0 """"; MEDDRA:10016222 """"; MEDDRA:10073657 """""
Disease.txt,MONDO:0001999,idiopathic pulmonary arterial hypertension,biolink:Disease,11,(dropped),,dropped,,,0,1,"MEDDRA:10065151 """""
Disease.txt,MONDO:0001999,idiopathic pulmonary arterial hypertension,biolink:Disease,11,MONDO:0001999,idiopathic pulmonary arterial hypertension,kept,Disease.txt,biolink:Disease,10,10,"DOID:14557 ""primary pulmonary hypertension""; ICD10:I27.0 """"; ICD9:416.0 """"; MONDO:0001999 ""idiopathic pulmonary arterial hypertension""; NCIT:C168400 ""Primary Pulmonary Hypertension"""
Disease.txt,MONDO:0002142,undifferentiated pleomorphic sarcoma,biolink:Disease,18,(dropped),,dropped,,,0,1,"MEDDRA:10025552 """""
Disease.txt,MONDO:0002142,undifferentiated pleomorphic sarcoma,biolink:Disease,18,MONDO:0002142,undifferentiated pleomorphic sarcoma,kept,Disease.txt,biolink:Disease,17,17,"DOID:1907 ""malignant fibrous histiocytoma""; EFO:1001972 ""obsolete_undifferentiated pleomorphic sarcoma""; MEDDRA:10016665 """"; MEDDRA:10025553 """"; MEDDRA:10025556 """""
Disease.txt,MONDO:0002145,disorder of sexual differentiation,biolink:Disease,10,(dropped),,dropped,,,0,1,"MEDDRA:10070597 """""
