compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,MONDO:0000811,anomalous left coronary artery from the pulmonary artery,biolink:Disease,11,MONDO:0000811,anomalous left coronary artery from the pulmonary artery,kept,Disease.txt,biolink:Disease,10,10,"DOID:0060562 ""anomalous left coronary artery from the pulmonary artery""; HP:0011638 ""Anomalous origin of left coronary artery from the pulmonary artery""; MEDDRA:10066223 """"; MEDDRA:10084540 """"; MESH:D063748 ""Bland White Garland Syndrome"""
Disease.txt,MONDO:0000811,anomalous left coronary artery from the pulmonary artery,biolink:Disease,11,MP:0010475,anomalous pulmonary origin of left coronary artery,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0010475 ""anomalous pulmonary origin of left coronary artery"""
Disease.txt,MONDO:0000819,anencephaly,biolink:Disease,15,MONDO:0000819,anencephaly,kept,Disease.txt,biolink:Disease,14,14,"DOID:0060668 ""anencephaly""; HP:0002323 ""Anencephaly""; ICD10:Q00.0 """"; MEDDRA:10002317 """"; MEDDRA:10002318 """""
Disease.txt,MONDO:0000819,anencephaly,biolink:Disease,15,MP:0001890,anencephaly,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0001890 ""anencephaly"""
Disease.txt,MONDO:0001044,esophageal atresia,biolink:Disease,20,MONDO:0001044,esophageal atresia,kept,Disease.txt,biolink:Disease,19,19,"DOID:10485 ""esophageal atresia""; HP:0002032 ""Esophageal atresia""; ICD10:Q39.0 """"; MEDDRA:10003651 """"; MEDDRA:10003652 """""
Disease.txt,MONDO:0001044,esophageal atresia,biolink:Disease,20,MP:0003276,esophageal atresia,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0003276 ""esophageal atresia"""
Disease.txt,MONDO:0001046,imperforate anus,biolink:Disease,18,MONDO:0001046,imperforate anus,kept,Disease.txt,biolink:Disease,17,17,"DOID:10488 ""imperforate anus""; HP:0002023 ""Anal atresia""; ICD10:Q42.3 """"; MEDDRA:10002120 """"; MEDDRA:10002853 """""
Disease.txt,MONDO:0001046,imperforate anus,biolink:Disease,18,MP:0003130,anal atresia,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0003130 ""anal atresia"""
Disease.txt,MONDO:0001149,microcephaly,biolink:Disease,11,MONDO:0001149,microcephaly,kept,Disease.txt,biolink:Disease,10,10,"DOID:10907 ""microcephaly""; HP:0000252 ""Microcephaly""; ICD10:Q02 """"; ICD9:742.1 """"; MESH:D008831 ""Microcephaly"""
Disease.txt,MONDO:0001149,microcephaly,biolink:Disease,11,MP:0000433,microcephaly,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0000433 ""microcephaly"""
Disease.txt,MONDO:0001370,pericardial effusion,biolink:Disease,11,MONDO:0001370,pericardial effusion,kept,Disease.txt,biolink:Disease,10,10,"DOID:118 ""pericardial effusion""; HP:0001698 ""Pericardial effusion""; MEDDRA:10014311 """"; MEDDRA:10034474 """"; MESH:D010490 ""Pericardial Effusion"""
Disease.txt,MONDO:0001370,pericardial effusion,biolink:Disease,11,MP:0005312,pericardial effusion,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0005312 ""pericardial effusion"""
Disease.txt,MONDO:0001476,coloboma,biolink:Disease,13,MONDO:0001476,coloboma,kept,Disease.txt,biolink:Disease,12,12,"DOID:12270 ""coloboma""; HP:0000589 ""Coloboma""; ICD10:Q13.0 """"; MEDDRA:10009934 """"; MEDDRA:10009937 """""
Disease.txt,MONDO:0001476,coloboma,biolink:Disease,13,MP:0005262,coloboma,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0005262 ""coloboma"""
Disease.txt,MONDO:0001561,pyloric stenosis,biolink:Disease,21,MONDO:0001561,pyloric stenosis,kept,Disease.txt,biolink:Disease,20,20,"DOID:12639 ""pyloric stenosis""; DOID:3122 ""gastric outlet obstruction""; EFO:0009626 ""obsolete_pyloric stenosis""; HP:0002021 ""Pyloric stenosis""; ICD10:K31.1 """""
Disease.txt,MONDO:0001561,pyloric stenosis,biolink:Disease,21,MP:0003307,pyloric stenosis,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0003307 ""pyloric stenosis"""
Disease.txt,MONDO:0001941,blindness (disorder),biolink:Disease,17,MONDO:0001941,blindness (disorder),kept,Disease.txt,biolink:Disease,16,16,"DOID:1432 ""blindness""; HP:0000618 ""Blindness""; ICD10:H54 """"; ICD9:369 """"; MEDDRA:10005161 """""
Disease.txt,MONDO:0001941,blindness (disorder),biolink:Disease,17,MP:0002001,blindness,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0002001 ""blindness"""
Disease.txt,MONDO:0002070,ventricular septal defect,biolink:Disease,21,MONDO:0002070,ventricular septal defect,kept,Disease.txt,biolink:Disease,20,20,"DOID:1657 ""ventricular septal defect""; HP:0001629 ""Ventricular septal defect""; ICD10:Q21.0 """"; ICD9:745.4 """"; MEDDRA:10010671 """""
Disease.txt,MONDO:0002070,ventricular septal defect,biolink:Disease,21,MP:0010402,ventricular septal defect,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0010402 ""ventricular septal defect"""
Disease.txt,MONDO:0002406,dermatitis,biolink:Disease,16,MONDO:0002406,dermatitis,kept,Disease.txt,biolink:Disease,15,15,"DOID:2723 ""dermatitis""; HP:0011123 ""Inflammatory abnormality of the skin""; ICD10:L30.9 """"; MEDDRA:10012431 """"; MEDDRA:10012478 """""
Disease.txt,MONDO:0002406,dermatitis,biolink:Disease,16,MP:0004947,skin inflammation,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0004947 ""skin inflammation"""
Disease.txt,MONDO:0002870,tricuspid valve insufficiency,biolink:Disease,14,MONDO:0002870,tricuspid valve insufficiency,kept,Disease.txt,biolink:Disease,13,13,"DOID:4080 ""tricuspid valve insufficiency""; HP:0005180 ""Tricuspid regurgitation""; MEDDRA:10044634 """"; MEDDRA:10044635 """"; MEDDRA:10044640 """""
Disease.txt,MONDO:0002870,tricuspid valve insufficiency,biolink:Disease,14,MP:0006044,tricuspid valve regurgitation,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0006044 ""tricuspid valve regurgitation"""
Disease.txt,MONDO:0003329,ureteral obstruction,biolink:Disease,16,MONDO:0003329,ureteral obstruction,kept,Disease.txt,biolink:Disease,15,15,"DOID:5199 ""ureteral obstruction""; HP:0006000 ""Ureteral obstruction""; ICD9:593.4 """"; MEDDRA:10029970 """"; MEDDRA:10030007 """""
Disease.txt,MONDO:0003329,ureteral obstruction,biolink:Disease,16,MP:0003587,ureter obstruction,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0003587 ""ureter obstruction"""
Disease.txt,MONDO:0004747,cleft lip,biolink:Disease,20,MONDO:0004747,cleft lip,kept,Disease.txt,biolink:Disease,19,19,"DOID:9296 ""cleft lip""; EFO:0003959 ""cleft lip""; HP:0000204 ""Cleft upper lip""; ICD10:Q36 """"; ICD9:749.1 """""
Disease.txt,MONDO:0004747,cleft lip,biolink:Disease,20,MP:0005170,cleft upper lip,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0005170 ""cleft upper lip"""
Disease.txt,MONDO:0004910,mitral valve prolapse,biolink:Disease,14,MONDO:0004910,mitral valve prolapse,kept,Disease.txt,biolink:Disease,13,13,"DOID:988 ""mitral valve prolapse""; HP:0001634 ""Mitral valve prolapse""; MEDDRA:10016786 """"; MEDDRA:10027717 """"; MEDDRA:10027730 """""
Disease.txt,MONDO:0004910,mitral valve prolapse,biolink:Disease,14,MP:0006120,mitral valve prolapse,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0006120 ""mitral valve prolapse"""
Disease.txt,MONDO:0004994,cardiomyopathy,biolink:Disease,22,MONDO:0004994,cardiomyopathy,kept,Disease.txt,biolink:Disease,21,21,"DOID:0050700 ""cardiomyopathy""; EFO:0000318 ""obsolete_cardiomyopathy""; HP:0001638 ""Cardiomyopathy""; ICD10:I42 """"; ICD9:425 """""
Disease.txt,MONDO:0004994,cardiomyopathy,biolink:Disease,22,MP:0005330,cardiomyopathy,moved,PhenotypicFeature.txt,biolink:PhenotypicFeature,1,1,"MP:0005330 ""cardiomyopathy"""
