pipeline,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,would_be_added,needs_biolink_registration,biolink_registration_note,equivalent_ids
disease,DOID:0050545,,,expanded,added,MP:0004133,,biolink:PhenotypicFeature,,,,DOID:0050545|EFO:0009081|Fyler:0190|Fyler:190|GARD:10875|HP:0030853|MEDDRA:10059119|MEDDRA:10067265|MEDDRA:10083670|MEDGEN:465273|MESH:D059446|MIM:PS306955|MONDO:0018677|MP:0004133|MPATH:712|NCIT:C117273|NCIT:C87083|OMIM.PS:306955|ORDO:450|SNOMEDCT:14821001|UMLS:C0266642|UMLS:C3178805|http://id.who.int/icd/entity/780273165|orphanet:157769|orphanet:450
disease,DOID:0050651,,,expanded,added,MP:0010412,,biolink:PhenotypicFeature,,,,DOID:0050651|Fyler:0606|Fyler:1100|Fyler:606|GARD:802|HP:0006695|ICD10:Q21.2|ICD10CM:Q21.2|ICD9:745.6|MEDDRA:10014656|MEDDRA:10014658|MEDDRA:10057460|MESH:D004694|MIM:606215|MIM:614430|MIM:614474|MONDO:0020290|MP:0010412|MP:0011667|NCIT:C101029|OMIM.PS:606215|ORDO:98722|SNOMEDCT:15459006|SNOMEDCT_US_2025_09_01:204322008|UMLS:C0014116|UMLS:C1389016|UMLS:C4732742|orphanet:98722
disease,DOID:0050651,,,expanded,added,MP:0011667,,biolink:PhenotypicFeature,,,,DOID:0050651|Fyler:0606|Fyler:1100|Fyler:606|GARD:802|HP:0006695|ICD10:Q21.2|ICD10CM:Q21.2|ICD9:745.6|MEDDRA:10014656|MEDDRA:10014658|MEDDRA:10057460|MESH:D004694|MIM:606215|MIM:614430|MIM:614474|MONDO:0020290|MP:0010412|MP:0011667|NCIT:C101029|OMIM.PS:606215|ORDO:98722|SNOMEDCT:15459006|SNOMEDCT_US_2025_09_01:204322008|UMLS:C0014116|UMLS:C1389016|UMLS:C4732742|orphanet:98722
disease,DOID:0050700,,,expanded,added,MP:0005330,,biolink:PhenotypicFeature,,,,DOID:0050700|EFO:0000767|Fyler:1840|HP:0001638|ICD10:I42|ICD9:425|ICD9:425.9|MEDDRA:10007635|MEDDRA:10007636|MEDDRA:10007640|MEDDRA:10007641|MEDDRA:10007642|MEDDRA:10039826|MEDDRA:10052650|MEDDRA:10061029|MEDDRA:10061033|MEDDRA:10072122|MEDDRA:10088193|MEDGEN:18634|MESH:D009202|MONDO:0005110|MP:0005330|NCIT:C34830|NCIT:C53654|SNOMEDCT:85898001|SNOMEDCT:89461002|SNOMEDCT_US_2025_09_01:266301006|SNOMEDCT_US_2025_09_01:89461002|SNOMEDCT_US_2025_09_01:89600009|UMLS:C0033141|UMLS:C0036529|UMLS:C0878544
disease,DOID:0060249,,,expanded,added,MP:0000161,,biolink:PhenotypicFeature,,,,DOID:0060249|EFO:0004273|Fyler:4160|HP:0002650|ICD10:M41.9|ICD10CM:M41|MEDDRA:10039722|MEDGEN:11348|MESH:D012600|MONDO:0005392|MP:0000161|NCIT:C78603|SNOMEDCT:111266001|SNOMEDCT:298382003|SNOMEDCT:64217002|SNOMEDCT_US_2025_09_01:36773001|UMLS:C0036439|UMLS:C0037932|UMLS:C0700208|http://id.who.int/icd/entity/1925604007|https://icd.who.int/browse10/2019/en#/M41
disease,DOID:0060321,,,expanded,added,MP:0003052,,biolink:PhenotypicFeature,,,,DOID:0060321|DOID:0060327|Fyler:4404|HP:0001539|ICD10:Q79.2|ICD9:756.72|MEDDRA:10030308|MEDDRA:10030309|MEDGEN:162756|MESH:D000099245|MIM:164750|MONDO:0019015|MP:0003052|NCIT:C98997|SNOMEDCT:18735004|SNOMEDCT_US_2025_09_01:49324006|SNOMEDCT_US_2025_09_01:5867007|UMLS:C0795690|UMLS:C1306503|http://id.who.int/icd/entity/1168696429|orphanet:660
disease,DOID:0060562,,,expanded,added,MP:0010475,,biolink:PhenotypicFeature,,,,DOID:0060562|Fyler:3101|HP:0011638|MEDDRA:10066223|MEDDRA:10084540|MEDGEN:760471|MESH:D063748|MONDO:0000811|MP:0010475|SNOMEDCT:450301003|UMLS:C1735886|UMLS:C3472166
disease,DOID:0060668,,,expanded,added,MP:0001890,,biolink:PhenotypicFeature,,,,DOID:0060668|Fyler:4332|GARD:5808|HP:0002323|ICD10:Q00.0|ICD10CM:Q00.0|MEDDRA:10002317|MEDDRA:10002318|MEDDRA:10002320|MEDGEN:8068|MESH:D000757|MIM:206500|MONDO:0000819|MP:0001890|NCIT:C84560|OMIM.PS:206500|ORDO:1048|SNOMEDCT:609417004|SNOMEDCT:89369001|UMLS:C0002902|http://id.who.int/icd/entity/1292761836
disease,DOID:0060688,,,expanded,added,MP:0010530,,biolink:PhenotypicFeature,,,,DOID:0060688|Fyler:2201|HP:0002408|ICD10:Q28.2|MEDDRA:10056371|MEDGEN:214590|MESH:D002538|MIM:108010|MONDO:0007154|MP:0010530|NCIT:C2936|OMIM:108010|ORDO:46724|SNOMEDCT:234142008|UMLS:C0007772|UMLS:C0917804|http://id.who.int/icd/entity/153256729|orphanet:46724
disease,DOID:0060770,,,expanded,added,MP:0011665,,biolink:PhenotypicFeature,,,,DOID:0060770|DOID:0060772|Fyler:0700|Fyler:700|HP:0031348|ICD10:Q20.3|MEDGEN:758887|MIM:608808|MIM:613854|MONDO:0019443|MP:0011665|NCIT:C99096|OMIM:608808|ORDO:860|SNOMEDCT:285251000119101|UMLS:C3531771|orphanet:860
disease,DOID:0080169,,,expanded,added,MP:0006123,,biolink:PhenotypicFeature,,,,DOID:0080169|EPCC:06.01.01|Fyler:0400|Fyler:400|GARD:5274|HP:0011662|MEDDRA:10049767|MEDGEN:67034|MESH:D018785|MIM:605067|MONDO:0011514|MP:0006123|NCIT:C85202|OMIM:605067|SNOMEDCT:253455004|SNOMEDCT:63042009|UMLS:C0243002|http://id.who.int/icd/entity/845891723|orphanet:1209
disease,DOID:0080171,,,expanded,added,MP:0003321,,biolink:PhenotypicFeature,,,,DOID:0080171|Fyler:4202|GARD:7792|HP:0002575|MEDDRA:10044310|MEDDRA:10044311|MEDDRA:10044317|MEDDRA:10072784|MEDGEN:21228|MESH:C531835|MESH:D014138|MIM:189960|MONDO:0008586|MP:0003321|OMIM:189960|SNOMEDCT:95435007|UMLS:C0040588|UMLS:C1861028|UMLS:C4732737|http://id.who.int/icd/entity/1582061097|orphanet:1199
disease,DOID:0080216,,,expanded,added,MP:0003272,,biolink:PhenotypicFeature,,,,DOID:0080216|Fyler:4406|GARD:54|HP:0002247|MEDDRA:10013812|MEDDRA:10013813|MEDGEN:75602|MESH:C535720|MIM:223400|MONDO:0009126|MP:0003272|NCIT:C101025|OMIM:223400|SNOMEDCT:51118003|UMLS:C0266174|UMLS:C2930994|http://id.who.int/icd/entity/295550633|orphanet:1203
disease,DOID:0080324,,,expanded,added,MP:0010431,,biolink:PhenotypicFeature,,,,DOID:0080324|DOID:13515|DOID:758|EPCC:03.01.03|Fyler:0150|Fyler:150|GARD:4883|GARD:7830|HP:0011538|ICD10:Q85.1|ICD10:Q89.3|ICD10CM:Q89.3|ICD9:759.3|ICD9:759.5|MEDDRA:10015057|MEDDRA:10015058|MEDDRA:10040761|MEDDRA:10045138|MEDDRA:10058894|MEDDRA:10080584|MEDGEN:1642262|MESH:C565346|MESH:D012857|MESH:D014402|MIM:191100|MIM:270100|MIM:PS191100|MONDO:0010029|MP:0010431|NCIT:C3424|NCIT:C75122|NCIT:C87121|OMIM:191100|SNOMEDCT:24614000|SNOMEDCT:27317008|SNOMEDCT:43876007|SNOMEDCT:7199000|SNOMEDCT:871616009|SNOMEDCT_US_2025_09_01:157033002|UMLS:C0037221|UMLS:C0041341|UMLS:C1854465|UMLS:C4023312|UMLS:C4551493|http://id.who.int/icd/entity/797648408|orphanet:101063
disease,DOID:0110106,,,expanded,added,MP:0010403,,biolink:PhenotypicFeature,,,,DOID:0110106|DOID:0110107|DOID:0110108|DOID:0110109|DOID:0110110|DOID:0110111|DOID:0110112|DOID:0110113|DOID:0110114|DOID:1882|EFO:1000825|Fyler:2050|HP:0001631|ICD10:Q21.1|ICD10CM:Q21.1|MEDDRA:10003664|MEDDRA:10003666|MEDDRA:10010377|MEDDRA:10019308|MEDDRA:10040055|MEDGEN:6753|MESH:D006344|MIM:108800|MIM:108900|MIM:607941|MIM:611363|MIM:612794|MIM:613087|MIM:614089|MIM:614433|MIM:614475|MIM:PS108800|MONDO:0006664|MP:0010403|NCIT:C84473|OMIM.PS:108800|ORDO:1478|ORDO:1479|SNOMEDCT:253366007|SNOMEDCT:405752007|SNOMEDCT:70142008|SNOMEDCT_US_2025_09_01:156915002|UMLS:C0018817|http://id.who.int/icd/entity/1285985084|orphanet:1478
disease,DOID:0110213,,,expanded,added,MP:0000111,,biolink:PhenotypicFeature,,,,DOID:0110213|DOID:0110214|DOID:674|Fyler:4876|HP:0000175|ICD10:Q35|ICD10:Q35.1|ICD10:Q35.3|ICD10:Q35.5|ICD10:Q35.7|ICD10:Q35.9|ICD9:749.0|MEDDRA:10009269|MEDDRA:10009283|MEDDRA:10033529|MEDDRA:10068904|MEDGEN:332392|MESH:C562950|MESH:D002972|MIM:119540|MIM:119570|MONDO:0007336|MP:0000111|NCIT:C87069|OMIM:119540|ORDO:2014|ORDO:99772|SNOMEDCT:63567004|SNOMEDCT:87979003|SNOMEDCT_US_2025_09_01:156940009|UMLS:C0008925|UMLS:C1837218|UMLS:C2981150
disease,DOID:0110423,,,expanded,added,MP:0002795,,biolink:PhenotypicFeature,,,,DOID:0110423|DOID:0110424|DOID:0110426|DOID:0110427|DOID:0110428|DOID:0110429|DOID:0110430|DOID:0110431|DOID:0110432|DOID:0110433|DOID:0110434|DOID:0110435|DOID:0110436|DOID:0110437|DOID:0110438|DOID:0110439|DOID:0110441|DOID:0110442|DOID:0110443|DOID:0110444|DOID:0110445|DOID:0110446|DOID:0110447|DOID:0110448|DOID:0110449|DOID:0110450|DOID:0110451|DOID:0110452|DOID:0110453|DOID:0110454|DOID:0110455|DOID:0110456|DOID:0110457|DOID:0110458|DOID:0110459|DOID:0110460|DOID:0110461|DOID:12930|EFO:0000407|Fyler:1843|GARD:221|HP:0001644|ICD10:I42.0|ICD10CM:I42.0|KEGG.DISEASE:05414|MEDDRA:10010681|MEDDRA:10056370|MEDDRA:10056419|MEDGEN:2880|MESH:C580047|MESH:D002311|MIM:302045|MIM:600884|MIM:601154|MIM:601493|MIM:601494|MIM:604145|MIM:604288|MIM:604765|MIM:605582|MIM:606685|MIM:607482|MIM:608569|MIM:609909|MIM:609915|MIM:611407|MIM:611615|MIM:611878|MIM:611879|MIM:611880|MIM:612158|MIM:612877|MIM:613122|MIM:613172|MIM:613252|MIM:613286|MIM:613424|MIM:613426|MIM:613642|MIM:613694|MIM:613697|MIM:613881|MIM:614672|MIM:615184|MIM:615235|MIM:615248|MIM:615916|MIM:PS115200|MONDO:0005021|MP:0002795|NCIT:C84673|ORDO:217604|SNOMEDCT:195021004|SNOMEDCT:399020009|SNOMEDCT_US_2025_09_01:74368002|UMLS:C0007193|http://id.who.int/icd/entity/1916294688|orphanet:217604
disease,DOID:0111716,,,expanded,added,MP:0001297,,biolink:PhenotypicFeature,,,,DOID:0111716|DOID:10629|EFO:0005569|Fyler:4877|GARD:12085|HP:0000568|ICD10:Q11.2|ICD9:743.06|ICD9:743.1|MEDDRA:10010544|MEDDRA:10011497|MEDDRA:10027547|MEDDRA:10027548|MEDDRA:10027550|MEDDRA:10040702|MEDGEN:10033|MESH:D008850|MONDO:0021129|MP:0001297|NCIT:C124520|NCIT:C98989|ORDO:98562|SNOMEDCT:204108000|SNOMEDCT:61142002|SNOMEDCT_US_2025_09_01:156902006|SNOMEDCT_US_2025_09_01:62589005|UMLS:C0026010|UMLS:C0311249|UMLS:C4280625|UMLS:C4280808
disease,DOID:10485,,,expanded,added,MP:0003276,,biolink:PhenotypicFeature,,,,DOID:10485|Fyler:4412|GARD:6381|HP:0002032|ICD10:Q39.0|MEDDRA:10003651|MEDDRA:10003652|MEDDRA:10015471|MEDDRA:10021530|MEDDRA:10030146|MEDDRA:10055460|MEDDRA:10055495|MEDDRA:10056097|MEDDRA:10072767|MEDDRA:10072768|MEDGEN:4545|MESH:D004933|MONDO:0001044|MP:0003276|NCIT:C87072|SNOMEDCT:26179002|SNOMEDCT_US_2025_09_01:156947007|UMLS:C0014850
