pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
disease,MP:0003632,abnormal nervous system morphology,biolink:PhenotypicFeature,3,MP:0003632|MGI:2173613|MGI:2173617,true,false,MGI
disease,MP:0003633,abnormal nervous system physiology,biolink:PhenotypicFeature,3,MP:0003633|MGI:2173615|MGI:2173618,true,false,MGI
disease,MP:0000230,abnormal systemic arterial blood pressure,biolink:PhenotypicFeature,2,MP:0000230|MGI:2173589,true,false,MGI
disease,MP:0000462,abnormal digestive system morphology,biolink:PhenotypicFeature,2,MP:0000462|MGI:2173601,true,false,MGI
disease,MP:0001544,abnormal cardiovascular system physiology,biolink:PhenotypicFeature,2,MP:0001544|MGI:2173590,true,false,MGI
disease,MP:0001663,abnormal digestive system physiology,biolink:PhenotypicFeature,2,MP:0001663|MGI:2173602,true,false,MGI
disease,MP:0001963,abnormal hearing physiology,biolink:PhenotypicFeature,2,MP:0001963|MGI:2173555,true,false,MGI
disease,MP:0002061,abnormal aggression-related behavior,biolink:PhenotypicFeature,2,MP:0002061|MGI:2173566,true,false,MGI
disease,MP:0002062,abnormal associative learning,biolink:PhenotypicFeature,2,MP:0002062|MGI:2173567,true,false,MGI
disease,MP:0002063,abnormal learning/memory/conditioning,biolink:PhenotypicFeature,2,MP:0002063|MGI:2173568,true,false,MGI
disease,MP:0002064,seizures,biolink:PhenotypicFeature,2,MP:0002064|MGI:2173569,true,false,MGI
disease,MP:0002065,abnormal fear/anxiety-related behavior,biolink:PhenotypicFeature,2,MP:0002065|MGI:2173570,true,false,MGI
disease,MP:0002066,abnormal motor capabilities/coordination/movement,biolink:PhenotypicFeature,2,MP:0002066|MGI:2173571,true,false,MGI
disease,MP:0002067,abnormal sensory capabilities/reflexes/nociception,biolink:PhenotypicFeature,2,MP:0002067|MGI:2173572,true,false,MGI
disease,MP:0002068,abnormal parental behavior,biolink:PhenotypicFeature,2,MP:0002068|MGI:2173573,true,false,MGI
disease,MP:0002069,abnormal consumption behavior,biolink:PhenotypicFeature,2,MP:0002069|MGI:2173574,true,false,MGI
disease,MP:0002073,abnormal hair growth,biolink:PhenotypicFeature,2,MP:0002073|MGI:2173539,true,false,MGI
disease,MP:0002074,abnormal hair texture,biolink:PhenotypicFeature,2,MP:0002074|MGI:2173540,true,false,MGI
disease,MP:0002075,abnormal coat/hair pigmentation,biolink:PhenotypicFeature,2,MP:0002075|MGI:2173541,true,false,MGI
disease,MP:0002078,abnormal glucose homeostasis,biolink:PhenotypicFeature,2,MP:0002078|MGI:2173579,true,false,MGI
