pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
disease,CL:0000057,,,5,CL:0000057|GO:0010761|GO:0048144|MP:0011702|MP:0011706,,,
disease,CL:0000165,,,3,CL:0000165|FMA:83810|MP:0010913,,,
disease,CL:0000210,,,2,CL:0000210|MP:0001004,,,
disease,CL:0000517,,,3,CL:0000517|MP:0004778|MP:0008243,,,
disease,CL:0000573,,,2,CL:0000573|MP:0001006,,,
disease,CL:0000604,,,2,CL:0000604|MP:0001005,,,
disease,CL:0000623,,,9,CL:0000623|FMA:63147|FMA:83601|MP:0005068|MP:0008043|MP:0008044|MP:0008045|MP:0008046|MP:0010766,,,
disease,CL:0000626,,,3,CL:0000626|MP:0009942|NLX:nifext_123,,,
disease,CL:0000670,,,2,CL:0000670|MP:0008391,,,
disease,CL:0000792,,,4,CL:0000792|MP:0008397|MP:0010168|MP:0010169,,,
disease,CL:0000793,,,2,CL:0000793|MP:0008400,,,
disease,CL:0000794,,,2,CL:0000794|MP:0002436,,,
disease,CL:0000795,,,2,CL:0000795|MP:0008398,,,
disease,CL:0000796,,,2,CL:0000796|MP:0008401,,,
disease,CL:0000797,,,2,CL:0000797|MP:0008399,,,
disease,CL:0000806,,,3,CL:0000806|MP:0010131|MP:0010132,,,
disease,CL:0000807,,,3,CL:0000807|MP:0010133|MP:0010134,,,
disease,CL:0000808,,,3,CL:0000808|MP:0010135|MP:0010136,,,
disease,CL:0000813,,,5,CL:0000813|MP:0008048|MP:0008049|MP:0008050|MP:0010833,,,
disease,CL:0000815,,,2,CL:0000815|MP:0004941,,,
disease,CL:0000893,,,3,CL:0000893|MP:0000714|MP:0000715,,,
disease,CL:0000894,,,3,CL:0000894|MP:0010129|MP:0010130,,,
disease,CL:0000897,,,4,CL:0000897|MP:0010834|MP:0010835|MP:0010836,,,
disease,CL:0000904,,,4,CL:0000904|MP:0010840|MP:0010841|MP:0010842,,,
disease,CL:0000905,,,4,CL:0000905|MP:0010843|MP:0010844|MP:0010845,,,
disease,CL:0000907,,,4,CL:0000907|MP:0010846|MP:0010847|MP:0010848,,,
disease,CL:0000909,,,4,CL:0000909|MP:0010837|MP:0010838|MP:0010839,,,
disease,CL:0000913,,,4,CL:0000913|MP:0010849|MP:0010850|MP:0010851,,,
disease,CL:0000958,,,5,CL:0000958|MP:0009919|MP:0009922|MP:0009923|MP:0009924,,,
disease,CL:0000959,,,5,CL:0000959|MP:0009920|MP:0009925|MP:0009926|MP:0009927,,,
disease,CL:0000960,,,5,CL:0000960|MP:0009921|MP:0010228|MP:0010229|MP:0010230,,,
disease,CL:0001031,,,5,CL:0001031|MP:0002762|MP:0004098|MP:0008924|MP:0008925,,,
disease,CL:0001033,,,2,CL:0001033|MP:0009938,,,
disease,CL:0002038,,,7,CL:0002038|MP:0010184|MP:0010185|MP:0010186|MP:0010187|MP:0010188|MP:0010189,,,
disease,CL:0002062,,,5,CL:0002062|FMA:62500|MP:0002274|MP:0010816|MP:0010817,,,
disease,CL:0002063,,,6,CL:0002063|FMA:62501|MP:0002275|MP:0010810|MP:0010811|MP:0010812,,,
disease,CL:0002066,,,6,CL:0002066|FMA:14118|MP:0010914|MP:0010915|MP:0010916|MP:0010917,,,
disease,CL:0002084,,,2,CL:0002084|MP:0011739,,,
disease,CL:0002343,,,5,CL:0002343|MP:0008047|MP:0008876|MP:0009099|MP:0009394,,,
disease,CL:0002351,,,5,CL:0002351|MP:0011908|MP:0011909|MP:0011910|MP:0011911,,,
disease,CL:0002353,,,2,CL:0002353|MP:0011246,,,
disease,CL:0002355,,,2,CL:0002355|MP:0004230,,,
disease,CL:0002357,,,7,CL:0002357|MP:0011240|MP:0011241|MP:0011242|MP:0011243|MP:0011244|MP:0011245,,,
disease,CL:1000036,,,4,CL:1000036|MP:0010040|MP:0010041|MP:0010042,,,
disease,CL:1000428,,,3,CL:1000428|FMA:70541|MP:0011004,,,
disease,FMA:19039,,,3,FMA:19039|MA:0001169|MP:0011211,,,
disease,FMA:3740,,,2,FMA:3740|MP:0011572,,,
disease,FMA:54832,,,3,FMA:54832|MA:0002899|MP:0011210,,,
disease,FMA:70572,,,2,FMA:70572|MP:0010183,,,
disease,FMA:70963,,,2,FMA:70963|MP:0011159,,,
disease,Fyler:0102,,,4,Fyler:0102|Fyler:102|MP:0011253|MPATH:714,,,
disease,Fyler:0159,,,3,Fyler:0159|Fyler:159|MP:0011510,,,
disease,Fyler:0160,,,3,Fyler:0160|Fyler:160|MP:0011511,,,
disease,Fyler:0192,,,3,Fyler:0192|Fyler:192|MP:0000542,,,
disease,Fyler:0602,,,3,Fyler:0602|Fyler:602|MP:0011666,,,
disease,Fyler:0610,,,3,Fyler:0610|Fyler:610|MP:0011668,,,
disease,Fyler:1124,,,2,Fyler:1124|MP:0011671,,,
disease,Fyler:1125,,,2,Fyler:1125|MP:0011672,,,
disease,Fyler:1132,,,2,Fyler:1132|MP:0011673,,,
disease,Fyler:1170,,,2,Fyler:1170|MP:0010607,,,
disease,Fyler:1440,,,2,Fyler:1440|MP:0010590,,,
disease,Fyler:1460,,,2,Fyler:1460|MP:0010481,,,
disease,Fyler:1470,,,2,Fyler:1470|MP:0010448,,,
disease,Fyler:1508,,,2,Fyler:1508|MP:0000286,,,
disease,Fyler:1639,,,2,Fyler:1639|MP:0010449,,,
disease,Fyler:1811,,,2,Fyler:1811|MP:0010446,,,
disease,Fyler:1817,,,2,Fyler:1817|MP:0002753,,,
disease,Fyler:2271,,,2,Fyler:2271|MP:0011674,,,
disease,Fyler:2340,,,2,Fyler:2340|MP:0010447,,,
disease,Fyler:2703,,,2,Fyler:2703|MP:0010469,,,
disease,Fyler:2705,,,2,Fyler:2705|MP:0010464,,,
disease,Fyler:2753,,,2,Fyler:2753|MP:0010474,,,
disease,Fyler:2770,,,2,Fyler:2770|MP:0010635,,,
disease,Fyler:2852,,,2,Fyler:2852|MP:0011571,,,
disease,Fyler:4042,,,2,Fyler:4042|MP:0004038,,,
disease,Fyler:4134,,,3,Fyler:4134|MA:0000316|MP:0000438,,,
disease,Fyler:4170,,,2,Fyler:4170|MP:0000572,,,
