pipeline,predicate,prefix_1,prefix_2,asserted_by,status,xref_count,subject,subject_label,object,object_label
disease,xref,MGI,MP,MP,added,70,MP:0000230,abnormal systemic arterial blood pressure,MGI:2173589,
disease,xref,MGI,MP,MP,added,70,MP:0002063,abnormal learning/memory/conditioning,MGI:2173568,
disease,xref,MGI,MP,MP,added,70,MP:0002073,abnormal hair growth,MGI:2173539,
disease,xref,MGI,MP,MP,added,70,MP:0002083,premature death,MGI:2173528,
disease,xref,MGI,MP,MP,added,70,MP:0002095,abnormal skin pigmentation,MGI:2173544,
disease,xref,MGI,MP,MP,added,70,MP:0002110,abnormal digit morphology,MGI:2173550,
disease,xref,MGI,MP,MP,added,70,MP:0002123,abnormal definitive hematopoiesis,MGI:2173583,
disease,xref,MGI,MP,MP,added,70,MP:0002138,abnormal hepatobiliary system morphology,MGI:2173598,
disease,xref,MGI,MP,MP,added,70,MP:0002160,abnormal reproductive system morphology,MGI:2173620,
disease,xref,MGI,MP,MP,added,70,MP:0002447,abnormal erythrocyte morphology,MGI:2173584,
disease,xref,HP,MP,HP,from_other_source,9,HP:0011112,Abnormal circulating cytokine concentration,MP:0010210,abnormal circulating cytokine level
disease,xref,HP,MP,HP,from_other_source,9,HP:0011113,Abnormality of cytokine secretion,MP:0003009,abnormal cytokine secretion
disease,xref,HP,MP,HP,from_other_source,9,HP:0011118,Abnormality of tumor necrosis factor secretion,MP:0008556,abnormal tumor necrosis factor secretion
disease,xref,HP,MP,HP,from_other_source,9,HP:0011123,Inflammatory abnormality of the skin,MP:0004947,skin inflammation
disease,xref,HP,MP,HP,from_other_source,9,HP:0011281,Abnormality of urine catecholamine level,MP:0011478,abnormal urine catecholamine level
disease,xref,HP,MP,HP,from_other_source,9,HP:0011849,Abnormal bone ossification,MP:0008271,abnormal bone ossification
disease,xref,HP,MP,HP,from_other_source,9,HP:0012337,Abnormal homeostasis,MP:0001764,abnormal homeostasis
disease,xref,HP,MP,HP,from_other_source,9,HP:0012632,Abnormal intraocular pressure,MP:0005257,abnormal intraocular pressure
disease,xref,HP,MP,HP,from_other_source,9,HP:0040270,Impaired glucose tolerance,MP:0005291,abnormal glucose tolerance
disease,xref,MP,MPATH,MP,added,4,MP:0002766,situs inversus,MPATH:720,
disease,xref,MP,MPATH,MP,added,4,MP:0002767,situs ambiguus,MPATH:711,
disease,xref,MP,MPATH,MP,added,4,MP:0004133,heterotaxia,MPATH:712,
disease,xref,MP,MPATH,MP,added,4,MP:0011253,situs inversus with levocardia,MPATH:714,
disease,xref,HP,MP,MP,added,2,MP:0012051,spasticity,HP:0001257,Spasticity
disease,xref,HP,MP,MP,added,2,MP:0030178,abnormal scalp morphology,HP:0001965,Abnormal scalp morphology
disease,xref,MP,UMLS,MP,added,2,MP:0009203,external male genitalia hypoplasia,UMLS:C0341787,Bifid scrotum
disease,xref,MP,UMLS,MP,added,2,MP:0012051,spasticity,UMLS:C0026838,Muscle Spasticity
