pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	HP:0011112	Abnormal circulating cytokine concentration	xref	MP:0010210	abnormal circulating cytokine level	HP	from_other_source
disease	HP:0011113	Abnormality of cytokine secretion	xref	MP:0003009	abnormal cytokine secretion	HP	from_other_source
disease	HP:0011118	Abnormality of tumor necrosis factor secretion	xref	MP:0008556	abnormal tumor necrosis factor secretion	HP	from_other_source
disease	HP:0011123	Inflammatory abnormality of the skin	xref	MP:0004947	skin inflammation	HP	from_other_source
disease	HP:0011281	Abnormality of urine catecholamine level	xref	MP:0011478	abnormal urine catecholamine level	HP	from_other_source
disease	HP:0011849	Abnormal bone ossification	xref	MP:0008271	abnormal bone ossification	HP	from_other_source
disease	HP:0012337	Abnormal homeostasis	xref	MP:0001764	abnormal homeostasis	HP	from_other_source
disease	HP:0012632	Abnormal intraocular pressure	xref	MP:0005257	abnormal intraocular pressure	HP	from_other_source
disease	HP:0040270	Impaired glucose tolerance	xref	MP:0005291	abnormal glucose tolerance	HP	from_other_source
disease	MP:0000026	abnormal inner ear morphology	xref	GO:0042472		MP	added
disease	MP:0000081	premature cranial suture closure	xref	Fyler:4336		MP	added
disease	MP:0000111	cleft palate	xref	Fyler:4876		MP	added
disease	MP:0000137	abnormal vertebrae morphology	xref	Fyler:4108		MP	added
disease	MP:0000161	scoliosis	xref	Fyler:4160		MP	added
disease	MP:0000202	abnormal circulating alkaline phosphatase level	xref	GO:0004035		MP	added
disease	MP:0000230	abnormal systemic arterial blood pressure	xref	MGI:2173589		MP	added
disease	MP:0000266	abnormal heart morphology	xref	GO:0007505		MP	added
disease	MP:0000272	abnormal aorta morphology	xref	Fyler:1453		MP	added
disease	MP:0000272	abnormal aorta morphology	xref	MA:0000062		MP	added
disease	MP:0000273	overriding aortic valve	xref	Fyler:1432		MP	added
disease	MP:0000276	heart right ventricle hypertrophy	xref	Fyler:3609		MP	added
disease	MP:0000281	abnormal interventricular septum morphology	xref	Fyler:1815		MP	added
disease	MP:0000282	abnormal interatrial septum morphology	xref	Fyler:2002		MP	added
disease	MP:0000284	double outlet right ventricle	xref	Fyler:0600		MP	added
disease	MP:0000284	double outlet right ventricle	xref	Fyler:600		MP	added
disease	MP:0000286	abnormal mitral valve morphology	xref	Fyler:1508		MP	added
disease	MP:0000288	abnormal pericardium morphology	xref	Fyler:1900		MP	added
disease	MP:0000297	abnormal atrioventricular cushion morphology	xref	GO:0007505		MP	added
disease	MP:0000433	microcephaly	xref	Fyler:4310		MP	added
disease	MP:0000434	megacephaly	xref	Fyler:4335		MP	added
disease	MP:0000438	abnormal cranium morphology	xref	Fyler:4134		MP	added
disease	MP:0000438	abnormal cranium morphology	xref	MA:0000316		MP	added
disease	MP:0000452	abnormal mouth morphology	xref	Fyler:4874		MP	added
disease	MP:0000462	abnormal digestive system morphology	xref	MGI:2173601		MP	added
disease	MP:0000519	hydronephrosis	xref	Fyler:4502		MP	added
disease	MP:0000520	absent kidney	xref	Fyler:4503		MP	added
disease	MP:0000542	left-sided isomerism	xref	Fyler:0192		MP	added
disease	MP:0000542	left-sided isomerism	xref	Fyler:192		MP	added
disease	MP:0000561	adactyly	xref	Fyler:4173		MP	added
disease	MP:0000562	polydactyly	xref	Fyler:4103		MP	added
disease	MP:0000564	syndactyly	xref	Fyler:4174		MP	added
disease	MP:0000572	abnormal autopod morphology	xref	Fyler:4170		MP	added
disease	MP:0000576	clubfoot	xref	Fyler:4171		MP	added
disease	MP:0000598	abnormal liver morphology	xref	Fyler:4447		MP	added
disease	MP:0000644	dextrocardia	xref	Fyler:0110		MP	added
disease	MP:0000644	dextrocardia	xref	Fyler:110		MP	added
disease	MP:0000650	mesocardia	xref	Fyler:0140		MP	added
disease	MP:0000650	mesocardia	xref	Fyler:140		MP	added
disease	MP:0000690	absent spleen	xref	Fyler:4771		MP	added
disease	MP:0000714	increased thymocyte number	xref	CL:0000893		MP	added
disease	MP:0000715	decreased thymocyte number	xref	CL:0000893		MP	added
disease	MP:0000757	herniated abdominal wall	xref	Fyler:4414		MP	added
disease	MP:0000819	abnormal olfactory bulb morphology	xref	MA:0000194		MP	added
disease	MP:0000864	abnormal cerebellum vermis morphology	xref	MA:0000202		MP	added
disease	MP:0000906	abnormal trigeminal V mesencephalic nucleus morphology	xref	MA:0001057		MP	added
disease	MP:0000913	abnormal brain development	xref	GO:0007420		MP	added
disease	MP:0000920	abnormal myelination	xref	GO:0042552		MP	added
disease	MP:0001004	abnormal retina photoreceptor morphology	xref	CL:0000210		MP	added
