gene_id,symbol,tax_id,dropped_synonym,shredded_from,raw_synonyms_field
814788,CYP71B9,3702,cytochrome P450,"cytochrome P450, family 71, subfamily B, polypeptide 9",''cytochrome P450|T8K22.12|T8K22_12|cytochrome P450|family 71|polypeptide 9|polypeptide 9''|subfamily B
814788,CYP71B9,3702,family 71,"cytochrome P450, family 71, subfamily B, polypeptide 9",''cytochrome P450|T8K22.12|T8K22_12|cytochrome P450|family 71|polypeptide 9|polypeptide 9''|subfamily B
814788,CYP71B9,3702,polypeptide 9,"cytochrome P450, family 71, subfamily B, polypeptide 9",''cytochrome P450|T8K22.12|T8K22_12|cytochrome P450|family 71|polypeptide 9|polypeptide 9''|subfamily B
814788,CYP71B9,3702,subfamily B,"cytochrome P450, family 71, subfamily B, polypeptide 9",''cytochrome P450|T8K22.12|T8K22_12|cytochrome P450|family 71|polypeptide 9|polypeptide 9''|subfamily B
815066,CYP705A6,3702,cytochrome P450,"cytochrome P450, family 705, subfamily A, polypeptide 6",''cytochrome P450|F5G3.8|F5G3_8|cytochrome P450|family 705|polypeptide 6|polypeptide 6''|subfamily A
815066,CYP705A6,3702,family 705,"cytochrome P450, family 705, subfamily A, polypeptide 6",''cytochrome P450|F5G3.8|F5G3_8|cytochrome P450|family 705|polypeptide 6|polypeptide 6''|subfamily A
815066,CYP705A6,3702,polypeptide 6,"cytochrome P450, family 705, subfamily A, polypeptide 6",''cytochrome P450|F5G3.8|F5G3_8|cytochrome P450|family 705|polypeptide 6|polypeptide 6''|subfamily A
815066,CYP705A6,3702,subfamily A,"cytochrome P450, family 705, subfamily A, polypeptide 6",''cytochrome P450|F5G3.8|F5G3_8|cytochrome P450|family 705|polypeptide 6|polypeptide 6''|subfamily A
815843,NF-YB7,3702,nuclear factor Y,"nuclear factor Y, subunit B7",''nuclear factor Y|T10F5.11|T10F5_11|nuclear factor Y|subunit B7|subunit B7''
815843,NF-YB7,3702,subunit B7,"nuclear factor Y, subunit B7",''nuclear factor Y|T10F5.11|T10F5_11|nuclear factor Y|subunit B7|subunit B7''
815896,CYP705A13,3702,cytochrome P450,"cytochrome P450, family 705, subfamily A, polypeptide 13",''cytochrome P450|T22C12.3|T22C12_3|cytochrome P450|family 705|polypeptide 13|polypeptide 13''|subfamily A
815896,CYP705A13,3702,family 705,"cytochrome P450, family 705, subfamily A, polypeptide 13",''cytochrome P450|T22C12.3|T22C12_3|cytochrome P450|family 705|polypeptide 13|polypeptide 13''|subfamily A
815896,CYP705A13,3702,polypeptide 13,"cytochrome P450, family 705, subfamily A, polypeptide 13",''cytochrome P450|T22C12.3|T22C12_3|cytochrome P450|family 705|polypeptide 13|polypeptide 13''|subfamily A
815896,CYP705A13,3702,subfamily A,"cytochrome P450, family 705, subfamily A, polypeptide 13",''cytochrome P450|T22C12.3|T22C12_3|cytochrome P450|family 705|polypeptide 13|polypeptide 13''|subfamily A
816316,PIN1AT,3702,NIMA-interacting 1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",''peptidylprolyl cis/trans isomerase|NIMA-interacting 1|NIMA-interacting 1''|PROLYL CIS/TRANS ISOMERASE|T27K22.9|T27K22_9|peptidylprolyl cis/trans isomerase
816316,PIN1AT,3702,peptidylprolyl cis/trans isomerase,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1",''peptidylprolyl cis/trans isomerase|NIMA-interacting 1|NIMA-interacting 1''|PROLYL CIS/TRANS ISOMERASE|T27K22.9|T27K22_9|peptidylprolyl cis/trans isomerase
816705,GRP7,3702,and rna binding 2,"cold, circadian rhythm, and rna binding 2",''cold|ATGPR7|ATGRP7|CCR2|F2G1.4|GLYCINE RICH PROTEIN 7|GLYCINE-RICH RNA-BINDING PROTEIN 7|GR-RBP7|and rna binding 2|and rna binding 2''|circadian rhythm|cold
816705,GRP7,3702,circadian rhythm,"cold, circadian rhythm, and rna binding 2",''cold|ATGPR7|ATGRP7|CCR2|F2G1.4|GLYCINE RICH PROTEIN 7|GLYCINE-RICH RNA-BINDING PROTEIN 7|GR-RBP7|and rna binding 2|and rna binding 2''|circadian rhythm|cold
816705,GRP7,3702,cold,"cold, circadian rhythm, and rna binding 2",''cold|ATGPR7|ATGRP7|CCR2|F2G1.4|GLYCINE RICH PROTEIN 7|GLYCINE-RICH RNA-BINDING PROTEIN 7|GR-RBP7|and rna binding 2|and rna binding 2''|circadian rhythm|cold
