Compendium Filenames,Mapping Source,Number of Mappings
"AnatomicalEntity.txt
Cell.txt
CellularComponent.txt
GrossAnatomicalStructure.txt",umls.build_sets(),"159,283 cross-references involving 299,578 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'SNOMEDCT_US': 'SNOMEDCT', 'MSH': 'MESH', 'NCI': 'NCIT', 'GO': 'GO', 'FMA': 'FMA'} with cui_prefix set to UMLS
 - FMA, UMLS: 103,206
 - SNOMEDCT, UMLS: 39,926
 - NCIT, UMLS: 8,945
 - GO, UMLS: 5,412
 - MESH, UMLS: 1,794"
"AnatomicalEntity.txt
Cell.txt
CellularComponent.txt
GrossAnatomicalStructure.txt",build_anatomy_obo_relationships(),"38,905 cross-references involving 48,695 distinct CURIEs from get_subclasses_and_xrefs() of UBERON:0001062, GO:0005575, and EMAPA:0
 - EMAPA, UBERON: 4,356
 - SCTID, UBERON: 4,117
 - UBERON, Wikipedia: 3,514
 - UBERON, UMLS: 3,090
 - MA, UBERON: 3,065
 - 78 other prefix pairs: 20,763"
"AnatomicalEntity.txt
Cell.txt
CellularComponent.txt
GrossAnatomicalStructure.txt",build_wikidata_cell_relationships(),"597 cross-references involving 1,194 distinct CURIEs from wd:P7963 (""Cell Ontology ID"") and wd:P2892 (""UMLS CUI"") from Wikidata
 - CL, UMLS: 597"
"AnatomicalEntity.txt
Cell.txt
CellularComponent.txt
GrossAnatomicalStructure.txt",build_anatomy_obo_relationships(),"305 cross-references involving 598 distinct CURIEs from get_subclasses_and_xrefs() of UBERON:0001062, GO:0005575, and EMAPA:0
 - GO, Wikipedia: 255
 - GO, VZ: 23
 - CORUM, GO: 12
 - GO, MetaCyc: 7
 - GO, SO: 3
 - 4 other prefix pairs: 5"
"AnatomicalEntity.txt
Cell.txt
CellularComponent.txt
GrossAnatomicalStructure.txt",build_anatomy_obo_relationships(),"0 cross-references involving 0 distinct CURIEs from get_subclasses_and_xrefs() of UBERON:0001062, GO:0005575, and EMAPA:0
"
"AnatomicalEntity.txt
Cell.txt
CellularComponent.txt
GrossAnatomicalStructure.txt",build_anatomy_obo_relationships(),"0 cross-references involving 0 distinct CURIEs from get_subclasses_and_xrefs() of UBERON:0001062, GO:0005575, and EMAPA:0
"
"BiologicalProcess.txt
MolecularActivity.txt
Pathway.txt",umls.build_sets(),"53,274 cross-references involving 87,176 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'GO': 'GO'} with cui_prefix set to UMLS
 - GO, UMLS: 53,274"
"BiologicalProcess.txt
MolecularActivity.txt
Pathway.txt",build_process_obo_relationships(),"29,148 cross-references involving 36,850 distinct CURIEs from Extract GO-GO relationships from UberGraph with get_subclasses_and_xrefs() from GO:0007165, GO:0008150 and GO:0003674,with other_prefixes dict_values(['WIKIPATHWAYS', 'REACT', 'TCDB'])
 - GO, REACT: 7,895
 - GO, RHEA: 7,746
 - GO, MetaCyc: 5,681
 - EC, GO: 4,830
 - GO, KEGG.REACTION: 1,767
 - 21 other prefix pairs: 1,229"
"BiologicalProcess.txt
MolecularActivity.txt
Pathway.txt",Rhea.pull_rhea_ec_concs(),"7,928 cross-references involving 13,834 distinct CURIEs from pull_rhea_ec_concs() extracts the EC number/accession number mappings from the Rhea RDF file (babel_downloads/RHEA/rhea.rdf).
 - EC, RHEA: 7,928"
CellLine.txt,Cell Line Ontology,
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",make_pubchem_cas_concord(),"4,575,716 cross-references involving 8,807,131 distinct CURIEs from make_pubchem_cas_concord() creates xrefs from PUBCHEM identifiers in the PubChem synonyms file (babel_downloads/PUBCHEM.COMPOUND/synonyms) to Chemical Abstracts Service (CAS) identifiers.
 - CAS, PUBCHEM.COMPOUND: 4,575,716"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",umls.build_sets(),"273,709 cross-references involving 536,552 distinct CURIEs from umls.build_sets() using UMLS MRCONSO with prefixes: {'MSH': 'MESH', 'DRUGBANK': 'DRUGBANK', 'RXNORM': 'RXCUI'} with cui_prefix set to UMLS
 - MESH, UMLS: 148,797
 - RXCUI, UMLS: 116,826
 - DRUGBANK, UMLS: 8,086"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",make_chebi_relations(),"198,782 cross-references involving 378,812 distinct CURIEs from make_chebi_relations() creates xrefs from the ChEBI database (babel_downloads/CHEBI/ChEBI_complete.sdf) to PUBCHEM.COMPOUND and KEGG.COMPOUND.
 - CHEBI, PUBCHEM.COMPOUND: 181,136
 - CHEBI, KEGG.COMPOUND: 17,646"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",make_pubchem_mesh_concord(),"77,741 cross-references involving 155,482 distinct CURIEs from make_pubchem_mesh_concord() loads MeSH labels from babel_downloads/MESH/labels, then creates xrefs from PubChem identifiers in the PubChem input file (babel_downloads/PUBCHEM.COMPOUND/CID-MeSH) to those MeSH identifiers using the labels as keys.
 - MESH, PUBCHEM.COMPOUND: 77,741"
"ChemicalEntity.txt
ChemicalMixture.txt
ComplexMolecularMixture.txt
Drug.txt
Food.txt
MolecularMixture.txt
Polypeptide.txt
SmallMolecule.txt",get_mesh_relationships(),"45,225 cross-references involving 90,444 distinct CURIEs from get_mesh_relationships() iterates through the MeSH registry, filters it to the MeSH IDs in babel_outputs/intermediate/chemicals/ids/MESH, then writes out CAS mappings to babel_outputs/intermediate/chemicals/concords/mesh_cas
 - CAS, MESH: 45,225"
