Filename,Clique leader prefix,CURIE prefix,Previous,Current,Absolute change,Percent change,Summary
Protein,UniProtKB,UniProtKB,253706683,149881839,-103824844,-40.9%,"103,824,844 fewer UniProtKB identifiers in Protein cliques led by UniProtKB"
Gene,NCBIGene,NCBIGene,61965428,70201057,8235629,+13.3%,"8,235,629 more NCBIGene identifiers in Gene cliques led by NCBIGene"
SmallMolecule,PUBCHEM.COMPOUND,INCHIKEY,104132990,111532924,7399934,+7.1%,"7,399,934 more INCHIKEY identifiers in SmallMolecule cliques led by PUBCHEM.COMPOUND"
Protein,UniProtKB,ENSEMBL,19666567,16737814,-2928753,-14.9%,"2,928,753 fewer ENSEMBL identifiers in Protein cliques led by UniProtKB"
MolecularMixture,PUBCHEM.COMPOUND,INCHIKEY,9808252,11577457,1769205,+18.0%,"1,769,205 more INCHIKEY identifiers in MolecularMixture cliques led by PUBCHEM.COMPOUND"
Publication,PMID,PMID,39165656,40819774,1654118,+4.2%,"1,654,118 more PMID identifiers in Publication cliques led by PMID"
Publication,PMID,doi,30244747,31884189,1639442,+5.4%,"1,639,442 more doi identifiers in Publication cliques led by PMID"
ChemicalEntity,PUBCHEM.COMPOUND,PUBCHEM.COMPOUND,1647436,14115,-1633321,-99.1%,"1,633,321 fewer PUBCHEM.COMPOUND identifiers in ChemicalEntity cliques led by PUBCHEM.COMPOUND"
ChemicalEntity,PUBCHEM.COMPOUND,INCHIKEY,1645289,14095,-1631194,-99.1%,"1,631,194 fewer INCHIKEY identifiers in ChemicalEntity cliques led by PUBCHEM.COMPOUND"
SmallMolecule,PUBCHEM.COMPOUND,PUBCHEM.COMPOUND,110418245,111949385,1531140,+1.4%,"1,531,140 more PUBCHEM.COMPOUND identifiers in SmallMolecule cliques led by PUBCHEM.COMPOUND"
Protein,ENSEMBL,ENSEMBL,1614135,3052956,1438821,+89.1%,"1,438,821 more ENSEMBL identifiers in Protein cliques led by ENSEMBL"
Publication,PMID,PMC,10363570,11265870,902300,+8.7%,"902,300 more PMC identifiers in Publication cliques led by PMID"
Gene,MGI,MGI,39799,577746,537947,+1351.7%,"537,947 more MGI identifiers in Gene cliques led by MGI"
SmallMolecule,PUBCHEM.COMPOUND,CHEMBL.COMPOUND,2176855,2593171,416316,+19.1%,"416,316 more CHEMBL.COMPOUND identifiers in SmallMolecule cliques led by PUBCHEM.COMPOUND"
Gene,NCBIGene,ENSEMBL,13220523,13607551,387028,+2.9%,"387,028 more ENSEMBL identifiers in Gene cliques led by NCBIGene"
umls,UMLS,UMLS,897846,1274014,376168,+41.9%,"376,168 more UMLS identifiers in umls cliques led by UMLS"
PhenotypicFeature,UMLS,UMLS,328353,14832,-313521,-95.5%,"313,521 fewer UMLS identifiers in PhenotypicFeature cliques led by UMLS"
SmallMolecule,PUBCHEM.COMPOUND,CAS,3674235,3976404,302169,+8.2%,"302,169 more CAS identifiers in SmallMolecule cliques led by PUBCHEM.COMPOUND"
MolecularMixture,PUBCHEM.COMPOUND,PUBCHEM.COMPOUND,11572175,11768872,196697,+1.7%,"196,697 more PUBCHEM.COMPOUND identifiers in MolecularMixture cliques led by PUBCHEM.COMPOUND"
OrganismTaxon,NCBITaxon,NCBITaxon,2691993,2859704,167711,+6.2%,"167,711 more NCBITaxon identifiers in OrganismTaxon cliques led by NCBITaxon"
Gene,ENSEMBL,ENSEMBL,3579085,3677365,98280,+2.7%,"98,280 more ENSEMBL identifiers in Gene cliques led by ENSEMBL"
ChemicalEntity,CHEMBL.COMPOUND,INCHIKEY,128913,32356,-96557,-74.9%,"96,557 fewer INCHIKEY identifiers in ChemicalEntity cliques led by CHEMBL.COMPOUND"
SmallMolecule,CHEMBL.COMPOUND,CHEMBL.COMPOUND,676,91553,90877,+13443.3%,"90,877 more CHEMBL.COMPOUND identifiers in SmallMolecule cliques led by CHEMBL.COMPOUND"
SmallMolecule,CHEMBL.COMPOUND,INCHIKEY,661,90720,90059,+13624.7%,"90,059 more INCHIKEY identifiers in SmallMolecule cliques led by CHEMBL.COMPOUND"
ChemicalEntity,MESH,MESH,168448,84823,-83625,-49.6%,"83,625 fewer MESH identifiers in ChemicalEntity cliques led by MESH"
ChemicalEntity,CHEMBL.COMPOUND,CHEMBL.COMPOUND,134470,54691,-79779,-59.3%,"79,779 fewer CHEMBL.COMPOUND identifiers in ChemicalEntity cliques led by CHEMBL.COMPOUND"
