Metric,Previous,Current,Absolute change,Percent change
All CURIEs,688983999,605864191,-83119808,-12.1%
All cliques (approx),490293340,388490111,-101803229,-20.8%
AnatomicalEntity CURIEs,249584,252287,2703,+1.1%
BiologicalProcess CURIEs,67929,65256,-2673,-3.9%
Cell CURIEs,13175,13952,777,+5.9%
CellLine CURIEs,38810,38896,86,+0.2%
CellularComponent CURIEs,14696,14818,122,+0.8%
ChemicalEntity CURIEs,4046131,518554,-3527577,-87.2%
ChemicalMixture CURIEs,530,609,79,+14.9%
ComplexMolecularMixture CURIEs,276,1470,1194,+432.6%
Disease CURIEs,632330,639398,7068,+1.1%
Drug CURIEs,360925,358459,-2466,-0.7%
Food CURIEs,0,932,932,NEW
Gene CURIEs,79427652,88740328,9312676,+11.7%
GeneFamily CURIEs,28050,28463,413,+1.5%
GrossAnatomicalStructure CURIEs,15709,25867,10158,+64.7%
MacromolecularComplex CURIEs,1258,20579,19321,+1535.9%
MolecularActivity CURIEs,206636,213714,7078,+3.4%
MolecularMixture CURIEs,21879355,23892388,2013033,+9.2%
OrganismTaxon CURIEs,3543867,3745133,201266,+5.7%
Pathway CURIEs,53125,53772,647,+1.2%
PhenotypicFeature CURIEs,483108,103707,-379401,-78.5%
Polypeptide CURIEs,166,5,-161,-97.0%
Protein CURIEs,275514857,170218499,-105296358,-38.2%
Publication CURIEs,79773973,83969833,4195860,+5.3%
SmallMolecule CURIEs,221734011,231673258,9939247,+4.5%
umls CURIEs,897846,1274014,376168,+41.9%
