Prefix,CURIE count,Approx distinct CURIE count,Filenames
UniProtKB,"149,881,839","147,722,249","- Protein: 149,881,839 CURIEs"
PUBCHEM.COMPOUND,"124,014,846","115,448,324","- SmallMolecule: 112,200,166 CURIEs
- MolecularMixture: 11,800,563 CURIEs
- ChemicalEntity: 14,116 CURIEs
- ComplexMolecularMixture: 1 CURIEs"
INCHIKEY,"123,545,520","83,982,421","- SmallMolecule: 111,886,154 CURIEs
- MolecularMixture: 11,603,917 CURIEs
- ChemicalEntity: 55,437 CURIEs
- ChemicalMixture: 11 CURIEs
- ComplexMolecularMixture: 1 CURIEs"
NCBIGene,"70,201,057","69,075,944","- Gene: 70,201,057 CURIEs"
ENSEMBL,"37,075,686","47,698,460","- Protein: 19,790,770 CURIEs
- Gene: 17,284,916 CURIEs"
PMID,"40,819,774","40,028,767","- Publication: 40,819,774 CURIEs"
doi,"31,884,189","34,507,918","- Publication: 31,884,189 CURIEs"
PMC,"11,265,870","11,680,166","- Publication: 11,265,870 CURIEs"
CAS,"4,466,355","4,755,432","- SmallMolecule: 4,137,747 CURIEs
- MolecularMixture: 324,187 CURIEs
- ChemicalEntity: 4,403 CURIEs
- ComplexMolecularMixture: 10 CURIEs
- Food: 8 CURIEs"
CHEMBL.COMPOUND,"2,921,845","3,524,521","- SmallMolecule: 2,747,146 CURIEs
- MolecularMixture: 119,275 CURIEs
- ChemicalEntity: 55,422 CURIEs
- Food: 2 CURIEs"
UMLS,"3,486,239","3,316,648","- umls: 1,274,014 CURIEs
- OrganismTaxon: 814,777 CURIEs
- Disease: 358,656 CURIEs
- Drug: 259,078 CURIEs
- ChemicalEntity: 227,690 CURIEs
- Protein: 167,965 CURIEs
- AnatomicalEntity: 141,073 CURIEs
- SmallMolecule: 72,936 CURIEs
- Gene: 47,237 CURIEs
- BiologicalProcess: 41,146 CURIEs
- PhenotypicFeature: 28,761 CURIEs
- MolecularActivity: 28,584 CURIEs
- CellularComponent: 8,439 CURIEs
- Cell: 6,462 CURIEs
- MolecularMixture: 6,287 CURIEs
- GrossAnatomicalStructure: 2,384 CURIEs
- ComplexMolecularMixture: 462 CURIEs
- Food: 283 CURIEs
- Polypeptide: 5 CURIEs"
NCBITaxon,"2,859,704","2,855,451","- OrganismTaxon: 2,859,704 CURIEs"
MGI,"635,946","659,289","- Gene: 635,946 CURIEs"
RGD,"366,481","348,539","- Gene: 366,481 CURIEs"
MESH,"364,643","330,665","- Protein: 108,188 CURIEs
- ChemicalEntity: 86,458 CURIEs
- SmallMolecule: 78,520 CURIEs
- OrganismTaxon: 70,652 CURIEs
- Disease: 11,292 CURIEs
- MolecularMixture: 6,542 CURIEs
- GrossAnatomicalStructure: 781 CURIEs
- PhenotypicFeature: 731 CURIEs
- AnatomicalEntity: 608 CURIEs
- Cell: 330 CURIEs
- CellularComponent: 278 CURIEs
- ComplexMolecularMixture: 219 CURIEs
- Food: 37 CURIEs
- Drug: 5 CURIEs
- ChemicalMixture: 2 CURIEs"
PR,"254,242","263,304","- Protein: 254,242 CURIEs"
HMDB,"217,920","239,722","- SmallMolecule: 217,461 CURIEs
- MolecularMixture: 367 CURIEs
- ChemicalEntity: 92 CURIEs"
CHEBI,"220,476","195,882","- SmallMolecule: 186,978 CURIEs
- ChemicalEntity: 29,095 CURIEs
- MolecularMixture: 3,911 CURIEs
- ChemicalMixture: 490 CURIEs
- Food: 2 CURIEs"
UNII,"142,954","147,307","- SmallMolecule: 97,202 CURIEs
- ChemicalEntity: 24,337 CURIEs
- MolecularMixture: 21,376 CURIEs
- Food: 22 CURIEs
- ComplexMolecularMixture: 16 CURIEs
- ChemicalMixture: 1 CURIEs"
RXCUI,"125,926","130,525","- Drug: 99,375 CURIEs
- ChemicalEntity: 16,967 CURIEs
- MolecularMixture: 4,549 CURIEs
- SmallMolecule: 4,374 CURIEs
- ComplexMolecularMixture: 377 CURIEs
- Food: 284 CURIEs"
SNOMEDCT,"108,976","120,270","- Disease: 101,001 CURIEs
- PhenotypicFeature: 6,164 CURIEs
- Cell: 1,246 CURIEs
- CellularComponent: 565 CURIEs"
REACT,"115,278","117,279","- MolecularActivity: 91,955 CURIEs
- Pathway: 22,806 CURIEs
- BiologicalProcess: 517 CURIEs"
FMA,"98,634","112,973","- AnatomicalEntity: 98,634 CURIEs"
RHEA,"74,232","107,717","- MolecularActivity: 74,232 CURIEs"
NCIT,"74,045","57,570","- Disease: 27,904 CURIEs
- PhenotypicFeature: 22,756 CURIEs
- Protein: 13,003 CURIEs
- AnatomicalEntity: 4,248 CURIEs
- Cell: 2,597 CURIEs
- GrossAnatomicalStructure: 2,084 CURIEs
- CellularComponent: 1,453 CURIEs"
WormBase,"49,529","53,167","- Gene: 49,529 CURIEs"
MEDDRA,"53,808","52,344","- Disease: 47,399 CURIEs
- PhenotypicFeature: 6,409 CURIEs"
HGNC,"45,130","44,699","- Gene: 45,130 CURIEs"
GO,"38,263","44,259","- BiologicalProcess: 23,593 CURIEs
- MolecularActivity: 10,052 CURIEs
- CellularComponent: 4,075 CURIEs
- Pathway: 543 CURIEs"
ZFIN,"37,976","39,000","- Gene: 37,976 CURIEs"
CLO,"38,896","38,162","- CellLine: 38,896 CURIEs"
FB,"32,160","33,151","- Gene: 32,160 CURIEs"
MONDO,"27,931","30,629","- Disease: 27,931 CURIEs"
SMPDB,"30,248","28,798","- Pathway: 30,248 CURIEs"
PANTHER.FAMILY,"26,140","26,453","- GeneFamily: 26,140 CURIEs"
OMIM,"28,272","24,306","- Gene: 17,907 CURIEs
- Disease: 10,365 CURIEs"
DRUGBANK,"19,928","19,054","- SmallMolecule: 13,830 CURIEs
- Protein: 2,492 CURIEs
- ChemicalEntity: 2,420 CURIEs
- MolecularMixture: 513 CURIEs
- ComplexMolecularMixture: 383 CURIEs
- Food: 289 CURIEs
- Drug: 1 CURIEs"
ComplexPortal,"20,579","18,725","- MacromolecularComplex: 20,579 CURIEs"
GTOPDB,"13,857","17,979","- SmallMolecule: 13,631 CURIEs
- ChemicalEntity: 162 CURIEs
- MolecularMixture: 64 CURIEs"
medgen,"21,238","17,338","- Disease: 21,238 CURIEs"
UBERON,"14,912","16,330","- GrossAnatomicalStructure: 10,708 CURIEs
- AnatomicalEntity: 4,195 CURIEs
- CellularComponent: 7 CURIEs
- Cell: 2 CURIEs"
HP,"18,805","15,137","- PhenotypicFeature: 16,401 CURIEs
- Disease: 2,404 CURIEs"
KEGG.COMPOUND,"15,021","14,634","- SmallMolecule: 12,809 CURIEs
- ChemicalEntity: 1,563 CURIEs
- MolecularMixture: 542 CURIEs
- ChemicalMixture: 105 CURIEs
- Food: 2 CURIEs"
MP,"14,750","14,280","- PhenotypicFeature: 14,750 CURIEs"
dictyBase,"13,892","13,488","- Gene: 13,892 CURIEs"
EFO,"10,206","12,651","- PhenotypicFeature: 7,735 CURIEs
- Disease: 2,471 CURIEs"
orphanet,"11,195","11,139","- Disease: 11,195 CURIEs"
DOID,"12,210","9,843","- Disease: 12,210 CURIEs"
