token,rows,rows_where_token_is_the_symbol,example_gene_id,example_tax_id,example_full_name
RNA polymerase beta'' subunit,10414,0,63351922,2709,RNA polymerase beta'' subunit
transcription factor TFIIIB component B'' homolog,1142,0,102613204,2711,transcription factor TFIIIB component B''
U2 small nuclear ribonucleoprotein B'',1037,0,102612402,2711,U2 small nuclear ribonucleoprotein B''
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma,922,0,100199816,6087,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta,781,0,100211564,6087,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha,772,0,100162850,7029,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha
V-type proton ATPase 21 kDa proteolipid subunit c'',691,0,100209012,6087,V-type proton ATPase 21 kDa proteolipid subunit c''
DNA-directed RNA polymerase subunit A'',671,0,24793234,2162,DNA-directed RNA polymerase subunit A''
DNA-directed RNA polymerase subunit B'',466,0,24793237,2162,DNA-directed RNA polymerase subunit B''
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like,446,0,135348851,6063,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma-like
CRISPR-associated endonuclease Cas3'',318,0,56452402,192,CRISPR-associated endonuclease Cas3''
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like,301,0,145191143,6082,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like,279,0,102622417,2711,cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1-like
probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2,266,0,102607891,2711,probable serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit TON2
serine/threonine protein phosphatase 2A regulatory subunit B''beta-like,252,0,102625238,2711,serine/threonine protein phosphatase 2A regulatory subunit B''beta-like
H(+)-transporting V0 sector ATPase subunit c'',240,0,30986702,4903,H(+)-transporting V0 sector ATPase subunit c''
malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase-like,209,0,102611729,2711,malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase-like
U2 small nuclear ribonucleoprotein B''-like,204,0,143849026,3420,U2 small nuclear ribonucleoprotein B''-like
V-type proton ATPase 21 kDa proteolipid subunit c''-like,192,0,135339517,6063,V-type proton ATPase 21 kDa proteolipid subunit c''-like
pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like,183,0,125491531,3555,pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like
malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like,181,0,143848696,3420,malonyl-coenzyme:anthocyanin 5-O-glucoside-6'''-O-malonyltransferase-like
V-type proton ATPase subunit c''2,179,0,102611677,2711,V-type proton ATPase subunit c''1
kdo(2)-lipid A phosphoethanolamine 7''-transferase,179,0,86998977,546,kdo(2)-lipid A phosphoethanolamine 7''-transferase
DNA-directed RNA polymerase subunit beta''-like,177,0,131033488,3369,DNA-directed RNA polymerase subunit beta''-like
coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1-like,171,0,102629630,2711,coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1-like
probable serine/threonine protein phosphatase 2A regulatory subunit B''delta,161,0,107893188,3635,probable serine/threonine protein phosphatase 2A regulatory subunit B''delta
malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like,152,0,143849405,3420,malonyl-coenzyme A:anthocyanin 3-O-glucoside-6''-O-malonyltransferase-like
serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit alpha-like,150,0,124110383,6454,serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
ADP-ribose 1''-phosphate phosphatase,126,0,30988674,4903,ADP-ribose 1''-phosphate phosphatase
serine/threonine protein phosphatase 2A regulatory subunit B''beta,120,0,112278804,3218,serine/threonine protein phosphatase 2A regulatory subunit B''beta
RNA polymerase subunit beta'',109,0,36487185,3218,RNA polymerase subunit beta''
V-type proton ATPase subunit c''1,103,0,102611677,2711,V-type proton ATPase subunit c''1
malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase,99,0,102610186,2711,malonyl-CoA:anthocyanidin 5-O-glucoside-6''-O-malonyltransferase
cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1,98,0,115698903,3483,cyanidin 3-O-galactoside 2''-O-xylosyltransferase FGGT1
DNA-directed RNA polymerase subunit beta'',94,0,131057470,3369,DNA-directed RNA polymerase subunit beta''
coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1,94,0,107896906,3635,coumaroyl-CoA:anthocyanidin 3-O-glucoside-6''-O-coumaroyltransferase 1
transcription factor TFIIIB component B'',83,0,102613204,2711,transcription factor TFIIIB component B''
U2 small nuclear ribonucleoprotein B'' 2-like,78,0,133792774,3486,U2 small nuclear ribonucleoprotein B'' 2-like
